Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,notes_durations
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m02.krn,-0.16,0.9233722529404214,0.9401764263616192,7
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","7
",Sonata,vivaldi-op01n07m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","7
",Sonata,vivaldi-op01n07m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","5
",Sonata,vivaldi-op01n05m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","11
",Sonata,vivaldi-op01n11m03.krn,0.48,0.9744462226923613,0.9678024743703756,3
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m04.krn,1.33,0.9719313586490144,0.9697821398316392,4
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m03.krn,0.37,0.9910284358897796,0.9819293407136588,3
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","7
",Sonata,vivaldi-op01n07m02.krn,0.52,0.935071188991693,0.7768053605035294,12
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","1
",Sonata,vivaldi-op01n01m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m05.krn,0.36,0.945277412635205,0.9941955344006994,7
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","10
",Sonata,vivaldi-op01n10m03.krn,1.17,0.9728674466627888,0.9782648259789518,3
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","11
",Sonata,vivaldi-op01n11m02.krn,0.7,0.9934412794881674,0.9782004770872652,4
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m02.krn,0.81,0.7495645648367195,0.7517551410827209,7
