Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,J,J_interp10
bach,"1685/03/31-1750/07/28
","Contrapunctus 18 (XII), a 4. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018b.krn,0.948679323566603,0.9737147463207447
bach,"1685/03/31-1750/07/28
","Contrpunctus XV (The Art of the Fugue
)",,,,Fugue,artfugue-015.krn,0.9629707869431384,0.9852680372600147
bach,"1685/03/31-1750/07/28
","Contrapunctus XIII (The Art of the Fugue
)",,,,Fugue,artfugue-013.krn,0.9569406391065367,0.9550692561519993
bach,"1685/03/31-1750/07/28
","Contrapunctus 16 (XIII), a 3. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016b.krn,0.9852089621486888,0.9875267870186771
bach,"1685/03/31-1750/07/28
","Contrapunctus 10, a 4, alla Decima
 (The Art of the Fugue
)",,,,Fugue,artfugue-010.krn,0.866848175946388,0.5022993106567477
bach,"1685/03/31-1750/07/28
","Contrapunctus 8, a 3.
 (The Art of the Fugue
)",,,,Fugue,artfugue-008.krn,0.9411185113553258,0.7157628679443322
bach,"1685/03/31-1750/07/28
","Contrapunctus 3, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-003.krn,0.8706425276697946,0.8880391898679836
bach,"1685/03/31-1750/07/28
","14 (XVII). Canon alla Decima. Contrapunto all a Terza
 (The Art of the Fugue
)",,,,Fugue,artfugue-014.krn,0.9950298122164523,0.7475681715543065
bach,"1685/03/31-1750/07/28
","Contrapunctus 2, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-002.krn,0.6112107988493185,0.6157634637487677
bach,"1685/3//-1750/7/28/
","Prelude in F Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p11.krn,0.1177680062878459,0.11520813578254663
bach,,"Fuga 18, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f18.krn,0.9658582717096938,0.9641384292880596
bach,,"Fuga 17, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f17.krn,0.8117224077018539,0.5291851933600236
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p22.krn,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in G Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p15.krn,0.9823765438601176,0.9902928208516453
bach,,"Fuga 6, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f06.krn,0.9868426475791308,0.7354081771809755
bach,,"Fuga 7, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f07.krn,0.9628686587541029,0.9794908203417835
bach,,"Fuga 20, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f20.krn,0.9857546881625755,0.8127765499259005
bach,,"Fuga 2, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f02.krn,0.9878619830611247,0.6652277090607628
bach,,"Prelude No. 11 in F major
",,,,Prelude,wtc2p11.krn,0.9885041521141468,0.9933283869701616
bach,"1685/3//-1750/7/28/
","Prelude in B Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p23.krn,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p22.krn,0.9675958074851846,0.9815517626101086
bach,,"Fuga 7, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f07.krn,0.8833437676806801,0.8602060651008094
bach,,"Fuga 10, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f10.krn,0.018046679005086275,0.009416657333387923
bach,,"Fuga 2, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f02.krn,0.9487148580113689,0.7220047938524113
bach,,"Fuga 15, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f15.krn,0.5468802909825696,0.29340544829806947
bach,,"Fuga 9, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f09.krn,0.07519745201519179,0.03182653564648197
bach,,"Fuga 5, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f05.krn,0.9855901744951286,0.7432259759815298
bach,"1685/3//-1750/7/28/
","Prelude in A-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p17.krn,0.9331013819655201,0.9607626152579998
bach,,"Fuga 16, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f16.krn,0.9103795241019278,0.7114702707251723
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p21.krn,0.15531127917798415,0.15001442299379786
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p06.krn,0.7614362258291597,0.7971524173250225
bach,,"Fuga 17, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f17.krn,0.6340580741071692,0.28206036855314454
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p20.krn,0.9327136425994337,0.9326274572196205
bach,,"Fuga 6, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f06.krn,0.9871415328058886,0.9883932111128426
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p06.krn,0.9576164423720386,0.953153258903435
bach,"1685/3//-1750/7/28/
","Prelude in C Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p02.krn,0.9325424139698986,0.9063568632615234
bach,,"Fuga 1, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f01.krn,0.9278445339877761,0.5062844429529987
bach,"1685/3//-1750/7/28/
","Prelude in A Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p19.krn,0.9775091178414382,0.9765823028418558
bach,,"Fuga 1, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f01.krn,0.9686809441179289,0.8043876316019357
bach,,"Fuga 11, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f11.krn,0.8406785937053357,0.4642484771478368
bach,"1685/3//-1750/7/28/
","Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p03.krn,0.04905488784788037,0.051796060707094416
bach,"1685/3//-1750/7/28/
","Prelude in E Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p10.krn,0.9744967724149847,0.9984224367918844
bach,"1685/3//-1750/7/28/
","Prelude in D-sharp Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p08.krn,0.9772881506779766,0.984900802515477
bach,"1685/3//-1750/7/28/
","Prelude in B Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p24.krn,0.9770150414200633,0.9751726239757345
bach,,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p17.krn,0.9857997186573159,0.9889945265959025
