Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,Beta_new
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","1
",Sonata,vivaldi-op01n01m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m02.krn,1.01,0.9822512678981904,0.9819313521819324,1.09
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m01.krn,1.07,0.977615134784914,0.8743848333764364,-0.01
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m02.krn,-0.16,0.9233722529404214,0.9401764263616192,-0.02
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","7
",Sonata,vivaldi-op01n07m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","7
",Sonata,vivaldi-op01n07m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","5
",Sonata,vivaldi-op01n05m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","11
",Sonata,vivaldi-op01n11m03.krn,0.48,0.9744462226923613,0.9678024743703756,0.49
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m04.krn,1.33,0.9719313586490144,0.9697821398316392,1.2
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m03.krn,0.37,0.9910284358897796,0.9819293407136588,0.57
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","7
",Sonata,vivaldi-op01n07m02.krn,0.52,0.935071188991693,0.7768053605035294,0.6
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","1
",Sonata,vivaldi-op01n01m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m05.krn,0.36,0.945277412635205,0.9941955344006994,0.45
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","10
",Sonata,vivaldi-op01n10m03.krn,1.17,0.9728674466627888,0.9782648259789518,0.87
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","11
",Sonata,vivaldi-op01n11m02.krn,0.7,0.9934412794881674,0.9782004770872652,0.67
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","4
",Sonata,vivaldi-op01n04m02.krn,0.81,0.7495645648367195,0.7517551410827209,0.68
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","6
",Sonata,vivaldi-op01n06m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","5
",Sonata,vivaldi-op01n05m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m03.krn,0.21,0.9371820170139148,0.9740199858176004,0.13
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","3
",Sonata,vivaldi-op01n03m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","5
",Sonata,vivaldi-op01n05m02.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m04.krn,0.22,0.9538156133709372,0.9480481910611772,0.15
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m02.krn,0.53,0.9901062644742008,0.9707961100882384,0.41
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","8
",Sonata,vivaldi-op01n08m01.krn,1.36,0.5249070639064644,0.5221775568795041,1.33
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","7
",Sonata,vivaldi-op01n07m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m02.krn,0.19,0.9725946711356402,0.9922901933448524,0.16
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","10
",Sonata,vivaldi-op01n10m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","9
",Sonata,vivaldi-op01n09m02.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m05.krn,,,,NaN
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m03.krn,0.48,0.9912177578804464,0.9835318645132474,0.47
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","10
",Sonata,vivaldi-op01n10m02.krn,0.78,0.933706283718398,0.939211000805596,0.73
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","5
",Sonata,vivaldi-op01n05m03.krn,0.4,0.972128099375514,0.7516622637394822,0.45
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m04.krn,0.35,0.9570346978714304,0.7303437777431648,0.39
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m01.krn,0.44,0.9910087082570456,0.9845998624084924,0.5
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","8
",Sonata,vivaldi-op01n08m03.krn,,,,NaN
webern,1883.0,"I
 (Variations for Piano
)","Sehr m&auml;&szlig;ig [eighth-dot] = ca 40
","27
",,,webern-op27n1.krn,,,,NaN
webern,1883.0,"III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3-rows.krn,-0.22,0.986947176420621,0.827032526809839,-0.23
webern,1883.0,"III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3.krn,-0.22,0.986947176420621,0.827032526809839,-0.23
webern,1883.0,"II
 (Variations for Piano
)","Sehr schnell [quarter] = ca 160
","27
",,,webern-op27n2.krn,,,,NaN
liszt,1811.0,"Ballade No. 2 in B Minor, S. 171
",,,,Ballad,ballade2.krn,0.93,0.9417130695657774,0.9461594599040284,0.93
bach,1685.0,"Contrapunctus 7, a 4. per Augment et Diminut
 (The Art of the Fugue
)",,,,Fugue,artfugue-007.krn,0.53,0.9003234464850053,0.9051249830099488,0.62
bach,1685.0,"Contrapunctus 18 (XII), a 4. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018a.krn,0.2,0.948679323566603,0.9737147463207448,0.43
bach,1685.0,"Contrapunctus 16 (XIII), a 3. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016a.krn,0.57,0.984354615878664,0.9877222998750366,0.56
bach,1685.0,"Contrapunctus XII (The Art of the Fugue
)",,,,Fugue,artfugue-012.krn,1.0,0.9806006612710162,0.965227318495295,1.01
bach,1685.0,"Contrapunctus 1, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-001.krn,0.57,0.7185321246278162,0.7322916079383206,0.42
bach,1685.0,"Contrapunctus 11, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-011.krn,0.21,0.9688999311949368,0.8096287569705121,0.2
bach,1685.0,"Contrapunctus 5, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-005.krn,0.61,0.7432882823826983,0.7493057629670807,0.52
bach,1685.0,"Contrapunctus XIX (The Art of the Fugue
)",,,,Fugue,artfugue-019.krn,0.13,0.9844208631193542,0.8040283881893439,0.19
bach,1685.0,"Contrapunctus 9, a 4, alla Duodecima
 (The Art of the Fugue
)",,,,Fugue,artfugue-009.krn,0.03,0.8907301230843164,0.5706517372284476,0.22
bach,1685.0,"Contrapunctus 6, a 4, in Stile francese
 (The Art of the Fugue
)",,,,Fugue,artfugue-006.krn,0.16,0.9790937483619528,0.9635951958470704,0.11
bach,1685.0,"Contrapunctus 4, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-004.krn,0.13,0.714784089636481,0.7124874955871507,0.3
bach,1685.0,"Contrapunctus 18 (XII), a 4. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018b.krn,0.2,0.948679323566603,0.9737147463207448,0.43
bach,1685.0,"Contrpunctus XV (The Art of the Fugue
)",,,,Fugue,artfugue-015.krn,0.59,0.9629707869431384,0.9852680372600148,0.54
bach,1685.0,"Contrapunctus XIII (The Art of the Fugue
)",,,,Fugue,artfugue-013.krn,0.96,0.9569406391065368,0.9550692561519992,0.64
bach,1685.0,"Contrapunctus 16 (XIII), a 3. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016b.krn,0.58,0.9852089621486888,0.9875267870186772,0.57
bach,1685.0,"Contrapunctus 10, a 4, alla Decima
 (The Art of the Fugue
)",,,,Fugue,artfugue-010.krn,0.14,0.866848175946388,0.5022993106567477,0.32
bach,1685.0,"Contrapunctus 8, a 3.
 (The Art of the Fugue
)",,,,Fugue,artfugue-008.krn,1.0,0.9411185113553258,0.7157628679443322,0.81
bach,1685.0,"Contrapunctus 3, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-003.krn,0.17,0.8706425276697946,0.8880391898679836,0.41
bach,1685.0,"14 (XVII). Canon alla Decima. Contrapunto all a Terza
 (The Art of the Fugue
)",,,,Fugue,artfugue-014.krn,0.78,0.9950298122164524,0.7475681715543065,0.99
bach,1685.0,"Contrapunctus 2, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-002.krn,0.3,0.6112107988493185,0.6157634637487677,0.37
bach,1685.0,"Prelude in F Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p11.krn,0.51,0.1177680062878459,0.1152081357825466,-0.02
bach,1685.0,"Fuga 18, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f18.krn,0.31,0.9658582717096938,0.9641384292880596,0.38
bach,1685.0,"Fuga 17, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f17.krn,0.52,0.8117224077018539,0.5291851933600236,0.49
bach,1685.0,"Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p22.krn,,,,NaN
bach,1685.0,"Prelude in G Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p15.krn,1.23,0.9823765438601176,0.9902928208516452,1.26
bach,1685.0,"Fuga 6, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f06.krn,1.04,0.9868426475791308,0.7354081771809755,0.96
bach,1685.0,"Fuga 7, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f07.krn,0.06,0.9628686587541028,0.9794908203417836,0.11
bach,1685.0,"Fuga 20, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f20.krn,0.56,0.9857546881625756,0.8127765499259005,0.63
bach,1685.0,"Fuga 2, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f02.krn,0.81,0.9878619830611248,0.6652277090607628,0.71
bach,1685.0,"Prelude No. 11 in F major
",,,,Prelude,wtc2p11.krn,0.71,0.9885041521141468,0.9933283869701616,0.74
bach,1685.0,"Prelude in B Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p23.krn,,,,NaN
bach,1685.0,"Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p22.krn,0.69,0.9675958074851846,0.9815517626101086,0.69
bach,1685.0,"Fuga 7, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f07.krn,0.69,0.8833437676806801,0.8602060651008094,0.66
bach,1685.0,"Fuga 10, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f10.krn,1.05,0.0180466790050862,0.0094166573333879,0.05
bach,1685.0,"Fuga 2, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f02.krn,0.42,0.9487148580113688,0.7220047938524113,0.51
bach,1685.0,"Fuga 15, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f15.krn,1.32,0.5468802909825696,0.2934054482980694,1.39
bach,1685.0,"Fuga 9, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f09.krn,5.22,0.0751974520151917,0.0318265356464819,1.77
bach,1685.0,"Fuga 5, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f05.krn,0.82,0.9855901744951286,0.7432259759815298,0.86
bach,1685.0,"Prelude in A-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p17.krn,1.0,0.93310138196552,0.9607626152579998,0.9
bach,1685.0,"Fuga 16, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f16.krn,0.29,0.9103795241019278,0.7114702707251723,0.37
bach,1685.0,"Prelude in B-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p21.krn,1.68,0.1553112791779841,0.1500144229937978,1.23
bach,1685.0,"Prelude in D Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p06.krn,1.46,0.7614362258291597,0.7971524173250225,1.13
bach,1685.0,"Fuga 17, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f17.krn,1.18,0.6340580741071692,0.2820603685531445,1.07
bach,1685.0,"Prelude in A Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p20.krn,1.17,0.9327136425994336,0.9326274572196204,0.95
bach,1685.0,"Fuga 6, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f06.krn,1.41,0.9871415328058886,0.9883932111128426,1.44
bach,1685.0,"Prelude in D Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p06.krn,0.71,0.9576164423720386,0.953153258903435,0.64
bach,1685.0,"Prelude in C Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p02.krn,1.49,0.9325424139698986,0.9063568632615234,1.37
bach,1685.0,"Fuga 1, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f01.krn,0.57,0.927844533987776,0.5062844429529987,0.99
bach,1685.0,"Prelude in A Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p19.krn,0.62,0.9775091178414382,0.9765823028418558,0.64
bach,1685.0,"Fuga 1, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f01.krn,0.11,0.9686809441179288,0.8043876316019357,0.18
bach,1685.0,"Fuga 11, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f11.krn,0.88,0.8406785937053357,0.4642484771478368,0.95
bach,1685.0,"Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p03.krn,6.16,0.0490548878478803,0.0517960607070944,1.37
bach,1685.0,"Prelude in E Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p10.krn,0.48,0.9744967724149848,0.9984224367918844,0.54
bach,1685.0,"Prelude in D-sharp Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p08.krn,0.32,0.9772881506779766,0.984900802515477,0.45
bach,1685.0,"Prelude in B Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p24.krn,0.84,0.9770150414200632,0.9751726239757345,0.72
bach,1685.0,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p17.krn,0.26,0.985799718657316,0.9889945265959024,0.49
bach,1685.0,"Prelude in G Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p16.krn,,,,NaN
bach,1685.0,"Fuga 23, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f23.krn,0.33,0.9272113683350912,0.7182506060172106,0.55
bach,1685.0,"Fuga 24, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f24.krn,0.25,0.881309088753166,0.8800448850610562,0.61
bach,1685.0,"Fuga 9, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f09.krn,0.01,0.9555472276699768,0.9695720970516568,0.08
bach,1685.0,"Fuga 4, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f04.krn,0.25,0.9581760839152038,0.9071741932144716,-0.0
bach,1685.0,"Prelude in A Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p20.krn,0.32,0.9682899574692764,0.7961333822750458,0.26
bach,1685.0,"Prelude in E-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p08.krn,0.78,0.9269703850501484,0.9341902548840996,0.77
bach,1685.0,"Fuga 14, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f14.krn,0.29,0.8577763389450189,0.5218251839496162,0.32
bach,1685.0,"Fuga 8, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f08.krn,0.08,0.985443302742195,0.9814834819370516,0.04
bach,1685.0,"Prelude in A Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p19.krn,0.76,0.9701584957074706,0.9971818722476478,0.72
bach,1685.0,"Fuga 12, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f12.krn,0.34,0.9823915569009504,0.7774445330136579,0.55
bach,1685.0,"Fuga 21, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f21.krn,0.3,0.9487568940497668,0.621978480550005,0.71
bach,1685.0,"Fuga 3, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f03.krn,0.23,0.8896788138698416,0.5962035790171222,0.86
bach,1685.0,"Fuga 23, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f23.krn,0.5,0.9515354686673252,0.939645577882186,0.49
bach,1685.0,"Fuga 22, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f22.krn,0.12,0.9596146467422682,0.9497232797468832,0.17
bach,1685.0,"Fuga 13, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f13.krn,0.74,0.9565439375522876,0.64454799158071,0.83
bach,1685.0,"Fuga 4, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f04.krn,0.18,0.9317498419873298,0.9348960582270378,0.05
