composer,birth_year,composer_index,n_notes_shuffle,median_notes_shuffle,iqr_notes_shuffle,mad_notes_shuffle,mean_notes_shuffle,std_notes_shuffle,min_notes_shuffle,max_notes_shuffle,n_intervals_shuffle,median_intervals_shuffle,iqr_intervals_shuffle,mad_intervals_shuffle,mean_intervals_shuffle,std_intervals_shuffle,min_intervals_shuffle,max_intervals_shuffle,n_notes_iaaft,median_notes_iaaft,iqr_notes_iaaft,mad_notes_iaaft,mean_notes_iaaft,std_notes_iaaft,min_notes_iaaft,max_notes_iaaft,n_intervals_iaaft,median_intervals_iaaft,iqr_intervals_iaaft,mad_intervals_iaaft,mean_intervals_iaaft,std_intervals_iaaft,min_intervals_iaaft,max_intervals_iaaft
Byrd,1538,0,53,-18.935829172877316,6.353074778839545,3.1321711074194383,-20.795907871222465,8.414493541681322,-58.66636710310552,-8.979540294980369,53,-9.011700274459649,5.507586044572144,2.3632946426522015,-10.435246443289577,5.579989253041287,-32.442421743163976,-3.0033684347924168,53,-26.911828451293104,10.806921539809618,6.2146208084341445,-27.835342392594182,9.841644402784352,-53.873225034346305,-12.771336213791736,53,-1.6474666102217699,4.244477817380466,2.164012853371584,-2.7360003303498854,4.778751680232283,-28.356977146317774,2.61391692832127
Buxtehude,1637,1,46,-19.737288625711383,15.56693882043442,6.654896871056781,-18.267496911170355,9.767131190252801,-41.40182906731628,3.6235125741356926,46,-9.544806463323315,10.026618428270847,5.111929718246925,-12.327131855090318,8.348682378512171,-41.210663440749386,1.5778293224961608,46,-24.40957846728714,19.406786898275165,9.065849381242044,-25.644914861573987,12.710356737913798,-48.65453592288244,2.362464766876326,46,-4.100121707605777,9.765323232325377,4.85096463394263,-5.602385623501851,7.076161128801989,-29.25269490041613,4.663250098054119
Handel,1685,2,68,-28.237395279665346,22.029248790541885,11.282335999608879,-26.294835547946132,16.578494904392986,-67.22441076655734,8.081775786876346,68,-13.326116746522594,14.891503838752834,6.37282027011619,-16.2087257540371,10.889422556802577,-47.67942419377688,1.2846023595553968,68,-35.99255213920619,27.629519904973883,13.983845646094954,-34.382530576453696,21.847375410303577,-96.08530974081506,6.044062155523768,68,-5.531761173339587,9.739338316281563,4.8508497819908625,-7.168456738228253,8.208724510416074,-30.480171776726515,8.583265200515367
Scarlatti,1685,3,100,-24.36720171169576,10.730306889257253,5.471351306671881,-24.506813568936476,8.527076805796497,-48.85740549429598,2.091302766206885,100,-15.422531881763273,10.49083577013263,4.758946404322074,-18.351684103360302,8.67941179828464,-47.96873926819031,-2.6489344308382106,100,-29.16597575545649,15.319178108005222,7.476777001127161,-30.282133648614625,11.312617960961862,-77.20918617225855,1.4680237765631399,100,-7.643085171137123,7.073127243812055,3.1259496513726353,-9.13045396991304,5.964482235392746,-27.09431336664841,2.1825983420650674
Bach,1721,4,517,-27.307847613951157,31.577684609517966,15.729621007387822,-28.914266846932367,21.12865949152187,-92.9501901183625,10.961051796266435,517,-14.530974170759263,18.375237293338273,8.253242812942,-18.163906423771234,14.72062331944769,-95.90855437182331,2.4253574584876927,517,-34.65037233192546,40.693772330201845,20.358758106152486,-38.89287214562459,30.164326994067736,-197.86901063087743,6.307419114858525,517,-6.555754030333583,16.354301573474782,8.014317221472504,-10.359010149818971,13.698909529255646,-81.62447371087197,10.3060058533922
Haydn,1732,5,284,-39.06233397575361,20.018215916436592,9.75549980424184,-41.77228698425828,16.720338813691516,-100.61732205058887,-1.7618689569160924,284,-33.07636409232943,20.568513667041262,10.211069967631323,-36.11654651360184,16.81542956918355,-104.10472668975375,-0.8104561018570885,284,-53.13881522385603,26.81242048730374,13.691335693880262,-56.23021225056638,22.387954781401554,-161.5860098649895,-12.115998528430556,284,-21.581734548585068,19.515795980011745,9.348588506262466,-23.944355477928383,15.117969763014967,-74.90073854001152,5.2503855008606735
Mozart,1756,6,340,-32.44273662378549,22.12024023808087,10.825491149046274,-34.8823600014055,18.566499882259276,-103.77524534067008,8.063854970267542,340,-23.97569556335194,23.376029541617072,11.420799518121928,-26.979954082614416,17.61317451886349,-88.99319767874185,0.45114147346271033,340,-44.20885404426491,34.25633187330444,17.015843362445494,-48.100152483583464,26.41028708191371,-132.1168634627991,4.837118152518152,340,-14.966464374882214,18.118467100825406,8.70932644532152,-17.14164834727147,14.636251650289488,-59.4845831574561,8.321897636536368
Beethoven,1770,7,370,-31.137523229473338,21.001910903055112,10.444722836046866,-33.175117426716504,19.815007352845242,-113.67259634117308,10.712918076621614,370,-26.931532323695222,27.028674793205862,12.814209719635997,-32.09317033698879,23.420817465903973,-182.18599126511967,3.3217047178779993,370,-45.80728132575789,31.09331664620144,15.263398019778723,-49.85085775983971,28.688511662309416,-182.72943181463094,9.593121904922645,370,-17.022635234975915,22.338013273807576,10.905989683516985,-19.64660414683203,18.321047732913552,-110.51964234081036,10.86278742818644
Schubert,1797,8,177,-35.000129424732016,20.401322434911723,9.900286413695078,-38.93931413487431,19.114679675833838,-127.131590143847,-2.3089274461178553,177,-34.339205228686524,22.835059980855696,11.23919659409853,-39.485435240455224,26.496218412538063,-221.94855847960707,-3.775893386853838,177,-49.64055571209043,27.282909205139944,13.566313529260334,-55.71485408889461,29.954523929147374,-220.93897429401719,-4.8777819058112994,177,-21.03802999550558,21.247211702528084,10.435671199281781,-25.108977940246564,18.967984761140194,-127.52555376403915,2.856045591051789
Chopin,1810,9,135,-10.711167627706013,14.482531653657087,6.279875098365993,-14.761685968058028,15.92323658643324,-79.57430791404543,19.94525200052334,135,-7.83813920083246,15.57397380658444,5.408433101115538,-13.72909601532646,14.455040135510691,-65.69722316473323,4.6008638119810055,135,-12.909838256350074,20.376769797142565,7.916688737425265,-19.21710023965926,18.382507544319715,-84.13331034069395,14.836705172879938,135,-3.329862869680598,12.129723766767398,5.022284566029801,-7.237221618644365,13.673747872812825,-61.38577206984244,14.703363171523112
