contrast,composer,birth_year,composer_index,n_pairs,median_MIDI,median_intervals,median_diff_a_minus_b,iqr_MIDI,iqr_intervals,iqr_ratio_a_over_b,iqr_ratio_ci_low,iqr_ratio_ci_high,iqr_more_compressed,mad_MIDI,mad_intervals,mad_ratio_a_over_b,mad_ratio_ci_low,mad_ratio_ci_high,mad_more_compressed,wasserstein_w1,wasserstein_shape_w1,wilcoxon_stat,wilcoxon_p,sign_p,n_pos_diff,n_neg_diff,n_zero_diff
representations_within_iaaft,Byrd,1538,0,53,-26.911828451293104,-1.6474666102217699,-24.734419355610544,10.806921539809618,4.244477817380466,2.5461133276647088,1.5991356066845563,4.380956126713493,intervals,6.2146208084341445,2.164012853371584,2.8718040185166256,1.657086224790654,4.255102512214954,intervals,25.099342062244293,0.3736675079561007,0.0,2.386484752546066e-10,2.220446049250313e-16,0,53,0
representations_within_iaaft,Buxtehude,1637,1,46,-24.40957846728714,-4.100121707605777,-18.828535103798018,19.406786898275165,9.765323232325377,1.9873163884667344,1.3442453842051514,3.322810684706286,intervals,9.065849381242044,4.85096463394263,1.8688755877145529,1.3716214538610956,3.23258304571279,intervals,20.04252923807213,0.2498847870096703,0.0,2.842170943040401e-14,2.842170943040401e-14,0,46,0
representations_within_iaaft,Handel,1685,2,68,-35.99255213920619,-5.531761173339587,-24.563946667296108,27.629519904973883,9.739338316281563,2.8368990795591045,2.057718133220892,4.561867986724507,intervals,13.983845646094954,4.8508497819908625,2.8827620467677666,1.81566325400317,5.630198017326834,intervals,27.21407383822546,0.4688212443733949,3.0,8.734003900758252e-13,4.675621868843738e-19,1,67,0
representations_within_iaaft,Scarlatti,1685,3,100,-29.16597575545649,-7.643085171137123,-20.92452567199045,15.319178108005222,7.073127243812055,2.1658281520959837,1.6783126651350286,2.8779563248810835,intervals,7.476777001127161,3.1259496513726353,2.391841787293034,1.786801407998838,3.27559746453897,intervals,21.151679678701583,0.3674888505314301,1.0,4.0161556854627e-18,1.5934990285464438e-28,1,99,0
representations_within_iaaft,Bach,1721,4,517,-34.65037233192546,-6.555754030333583,-24.246419621117724,40.693772330201845,16.354301573474782,2.488261094329061,2.1904625153417587,2.8803745246755432,intervals,20.358758106152486,8.014317221472504,2.540298511220134,2.3361227162079223,2.8858265888704278,intervals,28.533861995805616,0.2697853174456256,312.0,1.2937277310906368e-85,4.48821198956237e-129,14,503,0
representations_within_iaaft,Haydn,1732,5,284,-53.13881522385603,-21.581734548585068,-28.22466321181428,26.81242048730374,19.515795980011745,1.3738830081419822,1.0840657387128132,1.7259553799077527,intervals,13.691335693880262,9.348588506262466,1.464535066947129,1.1435303937169665,1.724208616718732,intervals,32.285856772638,0.11696328958341443,206.0,2.2115494182821456e-47,5.3500823061691464e-68,10,274,0
representations_within_iaaft,Mozart,1756,6,340,-44.20885404426491,-14.966464374882214,-25.008700763525205,34.25633187330444,18.118467100825406,1.890685988095751,1.5508478970325406,2.3340514399699703,intervals,17.015843362445494,8.70932644532152,1.95374963486253,1.5515691570681038,2.3021975422151275,intervals,30.958504136311994,0.1437002838232616,252.0,1.6092732740531021e-56,1.3800790820762913e-85,9,331,0
representations_within_iaaft,Beethoven,1770,7,370,-45.80728132575789,-17.022635234975915,-25.945045096659424,31.09331664620144,22.338013273807576,1.3919463770155376,1.1581733700936694,1.6787220936398497,intervals,15.263398019778723,10.905989683516985,1.3995426790883,1.2200590688832358,1.6735492306022723,intervals,30.20425361300768,0.15592495338972337,912.0,3.2725212454836325e-59,4.96817785607347e-79,20,350,0
representations_within_iaaft,Schubert,1797,8,177,-49.64055571209043,-21.03802999550558,-27.358649848070314,27.282909205139944,21.247211702528084,1.2840700976257373,0.9845467287367492,1.7773451248725627,intervals,13.566313529260334,10.435671199281781,1.2999943434586185,0.9970161193183691,1.7456087071051563,intervals,30.605876148648047,0.20484474653477802,177.0,1.672829536794038e-29,7.123906083955162e-38,10,167,0
representations_within_iaaft,Chopin,1810,9,135,-12.909838256350074,-3.329862869680598,-9.35460633027574,20.376769797142565,12.129723766767398,1.679903861699649,1.2151374397100836,2.341134782485743,intervals,7.916688737425265,5.022284566029801,1.5763122605542716,1.0873261893946067,2.125481329872192,intervals,11.98185405807203,0.30484476781351855,132.0,1.231370790709554e-22,1.962657178574568e-26,10,125,0
representations_within_iaaft,Schumann,1810,10,41,-35.48135515642382,-10.158003357368786,-22.87046863615344,28.66183929155783,20.96880107382618,1.3668802136396012,0.8571093828538426,2.337660960926372,intervals,14.747400715434559,10.852444626157906,1.3589012635815296,0.8558995544065391,2.382084238688433,intervals,23.55767164283551,0.3501365385332504,56.0,5.829951987834647e-08,7.84157236921601e-07,5,36,0
representations_within_iaaft,Liszt,1811,11,73,-30.79659762860619,-8.506265406664443,-20.828783452608754,30.402888789750357,14.673673782143933,2.0719343527145164,1.527475025145825,2.990043915219882,intervals,14.811623859345628,7.724426837445563,1.9175045826757773,1.5070546643882008,2.9481591453766853,intervals,22.5871902055127,0.33873324575665154,93.0,4.739190285405132e-12,2.4422670374772693e-16,4,69,0
representations_within_iaaft,Alkan,1813,12,87,-37.90624856229766,-11.2144274768831,-25.775589391850556,20.413700175309668,15.446062380530748,1.32161192104471,0.9490729464114499,2.0623672904832437,intervals,10.240108674727846,7.229369704560014,1.4164594000869497,1.0669180433482104,2.154277470184794,intervals,28.11953706947494,0.2851732092995616,45.0,2.566949615403904e-15,3.018846051830852e-20,4,83,0
representations_within_iaaft,Brahms,1833,13,69,-24.702835902899658,-2.8312631769086796,-18.454432056642744,26.388074881284695,17.01725383502011,1.5506658792960004,0.8866128484666818,2.9131162627263514,intervals,14.022741564857895,6.32058812820895,2.2185817649269115,1.2081285124391088,3.4375841127979436,intervals,19.687149101893567,0.6451589641329303,54.0,5.321894826302214e-12,4.102799046681871e-12,7,62,0
representations_within_iaaft,Saint,1835,14,33,-36.94108449189073,-8.192323742049323,-22.72128953102646,29.034186969545015,24.38470725183908,1.1906719514688975,0.6594300251091562,1.79235159354342,intervals,14.075657766660775,9.817299330743243,1.4337606802496408,0.7794286481382473,3.6980660130416645,intervals,22.125150043023506,0.6786608988879328,3.0,1.1641532182693481e-09,1.3085082173347473e-07,2,31,0
representations_within_iaaft,Tchaikovsky,1840,15,92,-38.00760021746731,-15.19051182552251,-20.037305262296826,27.95071310571697,24.46906782226278,1.1422876142542084,0.8739503075067391,1.9213478456996036,intervals,14.221759490763151,11.675850504603808,1.218049124999972,0.8991571310662386,1.7830805670688084,intervals,22.51514031920285,0.17390055286649292,367.0,5.20083816971355e-12,4.14424800534892e-17,8,84,0
