composer_i,composer_j,wasserstein_w1,compression_logiqr_distance,iqr_i,iqr_j,mad_i,mad_j
Liszt,Brahms,7.801502877799738,0.2926405576338218,24.650603487709922,18.39650727922452,11.722842601914557,9.479297917633069
Beethoven,Dvorak,7.91904895418928,0.3081814763331123,21.001910903055112,15.431825264925958,10.444722836046866,8.004528444955088
Buxtehude,Liszt,8.010991643022678,0.4596520234837178,15.56693882043442,24.650603487709922,6.654896871056781,11.722842601914557
Bach,Dvorak,8.09157271069575,0.7160187352508669,31.577684609517966,15.431825264925958,15.729621007387822,8.004528444955088
Tchaikovsky,Debussy,8.124569386291894,0.10211435965142357,20.14183376610117,22.307284710312477,11.058503648187722,10.987867487370323
Alkan,Dvorak,8.32209342229232,0.2347185404197054,19.51435781916581,15.431825264925958,8.3739477615471,8.004528444955088
Byrd,Dvorak,8.489852843609052,0.8874930397846617,6.353074778839545,15.431825264925958,3.1321711074194383,8.004528444955088
Handel,Mozart,8.587524453459375,0.00412197642033485,22.029248790541885,22.12024023808087,11.282335999608879,10.825491149046274
Liszt,Tchaikovsky,8.595728265785768,0.20200244835510128,24.650603487709922,20.14183376610117,11.722842601914557,11.058503648187722
Mozart,Saint,8.624924397816535,0.1644940184694077,22.12024023808087,18.76510482555157,10.825491149046274,12.698887902817257
Beethoven,Liszt,8.627802482640444,0.16018795348187975,21.001910903055112,24.650603487709922,10.444722836046866,11.722842601914557
Liszt,Faure,8.682544582563285,0.6299879647415705,24.650603487709922,13.128867315786522,11.722842601914557,6.234423822295781
Scarlatti,Faure,8.728494909289427,0.20174126042473706,10.730306889257253,13.128867315786522,5.471351306671881,6.234423822295781
Handel,Debussy,8.792299074419233,0.012542232897816863,22.029248790541885,22.307284710312477,11.282335999608879,10.987867487370323
Alkan,Debussy,8.845924453249406,0.13376280069160895,19.51435781916581,22.307284710312477,8.3739477615471,10.987867487370323
Schubert,Alkan,8.990204279691476,0.044449230936112194,20.401322434911723,19.51435781916581,9.900286413695078,8.3739477615471
Haydn,Beethoven,9.08306795944201,0.047970774114187265,20.018215916436592,21.001910903055112,9.75549980424184,10.444722836046866
Bach,Alkan,9.084906149071834,0.4813001948311615,31.577684609517966,19.51435781916581,15.729621007387822,8.3739477615471
Buxtehude,Handel,9.147333173461236,0.34722170188222323,15.56693882043442,22.029248790541885,6.654896871056781,11.282335999608879
Buxtehude,Schumann,9.167269418275692,0.1104413793619492,15.56693882043442,17.38470398582089,6.654896871056781,10.65073158370739
Byrd,Chopin,9.167673579376764,0.8240042967855421,6.353074778839545,14.482531653657087,3.1321711074194383,6.279875098365993
Scarlatti,Liszt,9.208946189655823,0.8317292251663075,10.730306889257253,24.650603487709922,5.471351306671881,11.722842601914557
Mozart,Schumann,9.224075301267634,0.24090229894060888,22.12024023808087,17.38470398582089,10.825491149046274,10.65073158370739
Byrd,Handel,9.40297560223665,1.2434321479981592,6.353074778839545,22.029248790541885,3.1321711074194383,11.282335999608879
Buxtehude,Dvorak,9.537384976321439,0.008717406331274269,15.56693882043442,15.431825264925958,6.654896871056781,8.004528444955088
Schumann,Brahms,9.69269529980576,0.056570086487946813,17.38470398582089,18.39650727922452,10.65073158370739,9.479297917633069
Mozart,Dvorak,9.722214407770654,0.36006108463383235,22.12024023808087,15.431825264925958,10.825491149046274,8.004528444955088
Byrd,Schumann,9.747566921643898,1.0066518254778851,6.353074778839545,17.38470398582089,3.1321711074194383,10.65073158370739
Handel,Alkan,9.900972262260087,0.12122056779379209,22.029248790541885,19.51435781916581,11.282335999608879,8.3739477615471
Scarlatti,Beethoven,9.946598168430649,0.6715412716844278,10.730306889257253,21.001910903055112,5.471351306671881,10.444722836046866
Bach,Schubert,10.025047287941936,0.4368509638950493,31.577684609517966,20.401322434911723,15.729621007387822,9.900286413695078
Scarlatti,Brahms,10.085985975430887,0.5390886675324857,10.730306889257253,18.39650727922452,5.471351306671881,9.479297917633069
Byrd,Liszt,10.106006480584178,1.3558624695996537,6.353074778839545,24.650603487709922,3.1321711074194383,11.722842601914557
Scarlatti,Saint,10.134798672249257,0.5589268615157401,10.730306889257253,18.76510482555157,5.471351306671881,12.698887902817257
Chopin,Liszt,10.18747090838757,0.5318581728141116,14.482531653657087,24.650603487709922,6.279875098365993,11.722842601914557
Schumann,Alkan,10.221031566064784,0.11555975472648194,17.38470398582089,19.51435781916581,10.65073158370739,8.3739477615471
Brahms,Dvorak,10.248865685375792,0.17572887218117028,18.39650727922452,15.431825264925958,9.479297917633069,8.004528444955088
Schumann,Faure,10.268160754826138,0.2807773206198019,17.38470398582089,13.128867315786522,10.65073158370739,6.234423822295781
Handel,Faure,10.272166150372698,0.5175576431400759,22.029248790541885,13.128867315786522,11.282335999608879,6.234423822295781
Scarlatti,Tchaikovsky,10.380302145089198,0.6297267768112063,10.730306889257253,20.14183376610117,5.471351306671881,11.058503648187722
Beethoven,Debussy,10.380947660987296,0.06029986477820204,21.001910903055112,22.307284710312477,10.444722836046866,10.987867487370323
Dvorak,Faure,10.474498578603054,0.1616185349265784,15.431825264925958,13.128867315786522,8.004528444955088,6.234423822295781
Handel,Brahms,10.513217856109144,0.18021023603232722,22.029248790541885,18.39650727922452,11.282335999608879,9.479297917633069
Mozart,Liszt,10.61727280808595,0.10830834518115973,22.12024023808087,24.650603487709922,10.825491149046274,11.722842601914557
Scarlatti,Bach,10.91955142233458,1.0793785306021824,10.730306889257253,31.577684609517966,5.471351306671881,15.729621007387822
Scarlatti,Mozart,11.027025353207161,0.7234208799851478,10.730306889257253,22.12024023808087,5.471351306671881,10.825491149046274
Liszt,Alkan,11.042437864250173,0.23365088939528667,24.650603487709922,19.51435781916581,11.722842601914557,8.3739477615471
Buxtehude,Debussy,11.053575556317924,0.3597639347800401,15.56693882043442,22.307284710312477,6.654896871056781,10.987867487370323
Buxtehude,Saint,11.076543401723939,0.18684965983315038,15.56693882043442,18.76510482555157,6.654896871056781,12.698887902817257
Haydn,Tchaikovsky,11.086969454275579,0.006156279240965734,20.018215916436592,20.14183376610117,9.75549980424184,11.058503648187722
Chopin,Schumann,11.098222980863653,0.18264752869234302,14.482531653657087,17.38470398582089,6.279875098365993,10.65073158370739
Brahms,Debussy,11.10190384090559,0.19275246893014408,18.39650727922452,22.307284710312477,9.479297917633069,10.987867487370323
Scarlatti,Alkan,11.49209209256712,0.5980783357710209,10.730306889257253,19.51435781916581,5.471351306671881,8.3739477615471
Schubert,Saint,11.532299451355932,0.08360070519139295,20.401322434911723,18.76510482555157,9.900286413695078,12.698887902817257
Buxtehude,Bach,11.588422987766943,0.7073013289195926,15.56693882043442,31.577684609517966,6.654896871056781,15.729621007387822
Byrd,Saint,11.700648554876583,1.0830601059490863,6.353074778839545,18.76510482555157,3.1321711074194383,12.698887902817257
Handel,Chopin,11.765796350032234,0.41942785121261705,22.029248790541885,14.482531653657087,11.282335999608879,6.279875098365993
Saint,Faure,11.808198366388053,0.35718560109100306,18.76510482555157,13.128867315786522,12.698887902817257,6.234423822295781
Scarlatti,Chopin,11.965959263922077,0.2998710523521959,10.730306889257253,14.482531653657087,5.471351306671881,6.279875098365993
Faure,Debussy,11.967643584784492,0.5300998760378928,13.128867315786522,22.307284710312477,6.234423822295781,10.987867487370323
Mozart,Debussy,12.214383426186718,0.008420256477482013,22.12024023808087,22.307284710312477,10.825491149046274,10.987867487370323
Scarlatti,Debussy,12.215634740263752,0.7318411364626298,10.730306889257253,22.307284710312477,5.471351306671881,10.987867487370323
Brahms,Saint,12.512813642959966,0.01983819398325437,18.39650727922452,18.76510482555157,9.479297917633069,12.698887902817257
Bach,Brahms,12.521788983068571,0.5402898630696966,31.577684609517966,18.39650727922452,15.729621007387822,9.479297917633069
Handel,Schubert,12.644478586928175,0.0767713368576799,22.029248790541885,20.401322434911723,11.282335999608879,9.900286413695078
Bach,Faure,12.662261871351165,0.8776372701774453,31.577684609517966,13.128867315786522,15.729621007387822,6.234423822295781
Schubert,Dvorak,12.665010983590179,0.2791677713558176,20.401322434911723,15.431825264925958,9.900286413695078,8.004528444955088
Haydn,Alkan,12.827756531409998,0.025492161799219648,20.018215916436592,19.51435781916581,9.75549980424184,8.3739477615471
Bach,Haydn,12.858020137325912,0.45580803303194184,31.577684609517966,20.018215916436592,15.729621007387822,9.75549980424184
Chopin,Dvorak,12.959257550405761,0.06348874299911955,14.482531653657087,15.431825264925958,6.279875098365993,8.004528444955088
Byrd,Bach,13.107261724485152,1.6035117750355286,6.353074778839545,31.577684609517966,3.1321711074194383,15.729621007387822
Byrd,Debussy,13.220704153405059,1.255974380895976,6.353074778839545,22.307284710312477,3.1321711074194383,10.987867487370323
Schubert,Schumann,13.222560918568142,0.16000898566259414,20.401322434911723,17.38470398582089,9.900286413695078,10.65073158370739
Byrd,Tchaikovsky,13.47092370871238,1.1538600212445524,6.353074778839545,20.14183376610117,3.1321711074194383,11.058503648187722
Chopin,Debussy,13.70520286287736,0.4319700841104339,14.482531653657087,22.307284710312477,6.279875098365993,10.987867487370323
Byrd,Beethoven,13.759153813073745,1.195674516117774,6.353074778839545,21.001910903055112,3.1321711074194383,10.444722836046866
Schubert,Liszt,14.109531235523676,0.18920165845917447,20.401322434911723,24.650603487709922,9.900286413695078,11.722842601914557
Bach,Chopin,14.171746936081146,0.7795074782499865,31.577684609517966,14.482531653657087,15.729621007387822,6.279875098365993
Scarlatti,Schubert,14.45357154520465,0.6425275667071331,10.730306889257253,20.401322434911723,5.471351306671881,9.900286413695078
Chopin,Saint,14.526925024088897,0.2590558091635442,14.482531653657087,18.76510482555157,6.279875098365993,12.698887902817257
Schubert,Debussy,14.683922167668895,0.08931356975549676,20.401322434911723,22.307284710312477,9.900286413695078,10.987867487370323
Byrd,Mozart,14.862116723514884,1.247554124418494,6.353074778839545,22.12024023808087,3.1321711074194383,10.825491149046274
Haydn,Saint,14.91093380015091,0.06464363605450041,20.018215916436592,18.76510482555157,9.75549980424184,12.698887902817257
Buxtehude,Beethoven,15.156956887291745,0.29946407000183806,15.56693882043442,21.001910903055112,6.654896871056781,10.444722836046866
Byrd,Alkan,15.209945676262713,1.122211580204367,6.353074778839545,19.51435781916581,3.1321711074194383,8.3739477615471
Buxtehude,Tchaikovsky,15.272214997975183,0.2576495751286165,15.56693882043442,20.14183376610117,6.654896871056781,11.058503648187722
Handel,Haydn,15.47745143631215,0.09572840599457244,22.029248790541885,20.018215916436592,11.282335999608879,9.75549980424184
Tchaikovsky,Faure,15.917845506720562,0.4279855163864692,20.14183376610117,13.128867315786522,11.058503648187722,6.234423822295781
Brahms,Tchaikovsky,16.073750602985164,0.09063810927872051,18.39650727922452,20.14183376610117,9.479297917633069,11.058503648187722
Beethoven,Faure,16.166074886968943,0.46980001125969073,21.001910903055112,13.128867315786522,10.444722836046866,6.234423822295781
Haydn,Schumann,16.18589267196377,0.1410519165257016,20.018215916436592,17.38470398582089,9.75549980424184,10.65073158370739
Beethoven,Brahms,16.190853531455836,0.13245260415194204,21.001910903055112,18.39650727922452,10.444722836046866,9.479297917633069
Haydn,Dvorak,16.534103971585775,0.26021070221892506,20.018215916436592,15.431825264925958,9.75549980424184,8.004528444955088
Buxtehude,Mozart,16.65872023581368,0.3513436783025581,15.56693882043442,22.12024023808087,6.654896871056781,10.825491149046274
Scarlatti,Haydn,17.265473415321807,0.6235704975702405,10.730306889257253,20.018215916436592,5.471351306671881,9.75549980424184
Mozart,Faure,17.45261071618429,0.5216796195604108,22.12024023808087,13.128867315786522,10.825491149046274,6.234423822295781
Haydn,Liszt,17.470628288334364,0.20815872759606702,20.018215916436592,24.650603487709922,9.75549980424184,11.722842601914557
Buxtehude,Alkan,17.718924596439592,0.22600113408843114,15.56693882043442,19.51435781916581,6.654896871056781,8.3739477615471
Mozart,Brahms,18.249684265684124,0.18433221245266207,22.12024023808087,18.39650727922452,10.825491149046274,9.479297917633069
Byrd,Schubert,18.265674090229755,1.1666608111404793,6.353074778839545,20.401322434911723,3.1321711074194383,9.900286413695078
Alkan,Faure,18.31825977165157,0.3963370753462838,19.51435781916581,13.128867315786522,8.3739477615471,6.234423822295781
Beethoven,Chopin,18.41343145865848,0.3716702193322319,21.001910903055112,14.482531653657087,10.444722836046866,6.279875098365993
Haydn,Debussy,18.478187704758128,0.1082706388923893,20.018215916436592,22.307284710312477,9.75549980424184,10.987867487370323
Alkan,Brahms,18.513005597790897,0.05898966823853513,19.51435781916581,18.39650727922452,8.3739477615471,9.479297917633069
Chopin,Tchaikovsky,18.77802594108751,0.32985572445901035,14.482531653657087,20.14183376610117,6.279875098365993,11.058503648187722
Mozart,Chopin,20.120674033347484,0.4235498276329519,22.12024023808087,14.482531653657087,10.825491149046274,6.279875098365993
Buxtehude,Schubert,20.671817223703957,0.27045036502454334,15.56693882043442,20.401322434911723,6.654896871056781,9.900286413695078
Byrd,Haydn,21.048083584221857,1.1477037420035867,6.353074778839545,20.018215916436592,3.1321711074194383,9.75549980424184
Chopin,Alkan,21.22473553955192,0.29820728341882496,14.482531653657087,19.51435781916581,6.279875098365993,8.3739477615471
Schubert,Faure,21.2922495695096,0.440786306282396,20.401322434911723,13.128867315786522,9.900286413695078,6.234423822295781
Schubert,Brahms,21.681679065893174,0.10343889917464733,20.401322434911723,18.39650727922452,9.900286413695078,9.479297917633069
Buxtehude,Haydn,23.504790073087932,0.2514932958876508,15.56693882043442,20.018215916436592,6.654896871056781,9.75549980424184
Haydn,Faure,24.121126361586818,0.42182923714550347,20.018215916436592,13.128867315786522,9.75549980424184,6.234423822295781
Schubert,Chopin,24.17762816681628,0.34265651435493716,20.401322434911723,14.482531653657087,9.900286413695078,6.279875098365993
Haydn,Brahms,25.096234015479283,0.08448183003775478,20.018215916436592,18.39650727922452,9.75549980424184,9.479297917633069
Haydn,Chopin,27.010601016200255,0.3236994452180446,20.018215916436592,14.482531653657087,9.75549980424184,6.279875098365993
