Byrd,Buxtehude,Handel,Scarlatti,Bach,Haydn,Mozart,Beethoven,Schubert,Chopin,Schumann,Liszt,Alkan,Brahms,Saint,Tchaikovsky,Dvorak,Faure,Debussy
0.0,4.292468476834026,11.51887146553874,3.0062728695282424,17.315928851668563,28.39948491209446,21.10377574115723,23.11315761929718,27.971075088854683,11.44234082992644,15.57469749523635,9.198041715686143,14.024730937390485,8.053860915131127,10.635631109580979,13.290769791139423,14.569693166114547,4.25367170839899,9.408809498083347
4.292468476834026,0.0,10.248628168844506,4.657887402342645,15.123578747238362,30.585297388992394,22.50501369495327,24.38898670709822,30.069939227320628,9.226303834828526,14.832073970847135,8.300218175099138,16.00748008536523,5.7171989475814415,11.09785510577938,14.987092354491582,15.919624208272563,3.528232812023226,7.619027659739826
11.51887146553874,10.248628168844506,0.0,9.595191218330125,6.723097139861103,21.84768167411267,13.717621907129757,15.500465485396072,21.3323235124409,15.177095789007215,5.3943891801906965,3.2935847053358183,7.316772091860827,7.370655891261947,3.96481048987135,6.411210942218705,7.630975102358173,10.50714447850031,3.8484008945355974
3.0062728695282424,4.657887402342645,9.595191218330125,0.0,15.454177385870727,25.94807860195175,18.49015796920854,20.379392187798402,25.432720440279983,12.933582308504992,13.25760689750029,7.483977257561047,11.399328475073732,7.523479323852034,8.571572741402985,10.8231570458392,11.807275652692445,6.227543891411518,7.721570067596261
17.315928851668563,15.123578747238362,6.723097139861103,15.454177385870727,0.0,18.213641928732788,9.879538983441641,11.105102860598066,16.842540754632136,19.675771905965334,5.712124606218329,8.165810171415874,8.81846943115739,12.203444059988435,7.416781770660703,7.173022566684192,12.014155355380975,15.007236392032926,7.9220821723797235
28.39948491209446,30.585297388992394,21.84768167411267,25.94807860195175,18.213641928732788,0.0,8.774436625799062,8.4104700507993,4.86188039045142,37.01311201090712,20.258897333393868,22.38276481733991,14.70599181081129,29.20800478343591,19.556606485169233,15.598205034500811,14.818550688816014,30.102969236549008,23.415130684418664
21.10377574115723,22.50501369495327,13.717621907129757,18.49015796920854,9.879538983441641,8.774436625799062,0.0,2.4175504887628554,7.630845967989395,28.88305224392421,11.877562693623238,14.306825094253933,7.741842586857677,21.077945016453,11.588331041938167,7.867871595984869,9.482553139698593,22.228211342748708,15.285070917435753
23.11315761929718,24.38898670709822,15.500465485396072,20.379392187798402,11.105102860598066,8.4104700507993,2.4175504887628554,0.0,5.996619815164461,30.63375752018045,12.919246432101852,16.248431680483872,9.238056357187045,22.83382839742066,13.597520640163523,9.853965689777837,10.228476322248888,24.23533018442041,17.10307021237613
27.971075088854683,30.069939227320628,21.3323235124409,25.432720440279983,16.842540754632136,4.86188039045142,7.630845967989395,5.996619815164461,0.0,36.49775384923535,18.26861279324432,21.86740665566814,14.062459141955395,28.69264662176414,19.041248323497467,15.082846872829043,14.327903256938885,29.603905716483506,22.899772522746897
11.44234082992644,9.226303834828526,15.177095789007215,12.933582308504992,19.675771905965334,37.01311201090712,28.88305224392421,30.63375752018045,36.49775384923535,0.0,19.32001410816354,14.64191237284804,22.435294707279958,8.563678745360345,17.476910814449337,21.414906976406314,22.194561322091104,8.69517081794487,13.597981326488455
15.57469749523635,14.832073970847135,5.3943891801906965,13.25760689750029,5.712124606218329,20.258897333393868,11.877562693623238,12.919246432101852,18.26861279324432,19.32001410816354,0.0,7.23469146689581,6.823436557988808,11.428913354412016,6.176153325323235,6.697606742875184,9.428179861107845,14.752178456048096,7.440216540286055
9.198041715686143,8.300218175099138,3.2935847053358183,7.483977257561047,8.165810171415874,22.38276481733991,14.306825094253933,16.248431680483872,21.86740665566814,14.64191237284804,7.23469146689581,0.0,7.947459094600191,7.174645760313279,3.3586419040702773,6.838053326552176,7.957741290926627,8.611625881110713,3.3413726825518784
14.024730937390485,16.00748008536523,7.316772091860827,11.399328475073732,8.81846943115739,14.70599181081129,7.741842586857677,9.238056357187045,14.062459141955395,22.435294707279958,6.823436557988808,7.947459094600191,0.0,14.630187479808747,6.185286837587135,3.571685487415107,4.2898084980684565,15.575261410668428,8.837313380791501
8.053860915131127,5.7171989475814415,7.370655891261947,7.523479323852034,12.203444059988435,29.20800478343591,21.077945016453,22.83382839742066,28.69264662176414,8.563678745360345,11.428913354412016,7.174645760313279,14.630187479808747,0.0,9.715698824498743,13.6097997489351,14.389454094619895,6.059805933860869,5.881428289553126
10.635631109580979,11.09785510577938,3.96481048987135,8.571572741402985,7.416781770660703,19.556606485169233,11.588331041938167,13.597520640163523,19.041248323497467,17.476910814449337,6.176153325323235,3.3586419040702773,6.185286837587135,9.715698824498743,0.0,4.108466154699238,7.354471272532932,11.236374714508942,5.29147260094533
13.290769791139423,14.987092354491582,6.411210942218705,10.8231570458392,7.173022566684192,15.598205034500811,7.867871595984869,9.853965689777837,15.082846872829043,21.414906976406314,6.697606742875184,6.838053326552176,3.571685487415107,13.6097997489351,4.108466154699238,0.0,6.223939037396045,14.663957798601274,8.287836967223477
14.569693166114547,15.919624208272563,7.630975102358173,11.807275652692445,12.014155355380975,14.818550688816014,9.482553139698593,10.228476322248888,14.327903256938885,22.194561322091104,9.428179861107845,7.957741290926627,4.2898084980684565,14.389454094619895,7.354471272532932,6.223939037396045,0.0,15.72381117720151,9.543460110577005
4.25367170839899,3.528232812023226,10.50714447850031,6.227543891411518,15.007236392032926,30.102969236549008,22.228211342748708,24.23533018442041,29.603905716483506,8.69517081794487,14.752178456048096,8.611625881110713,15.575261410668428,6.059805933860869,11.236374714508942,14.663957798601274,15.72381117720151,0.0,7.751767027224778
9.408809498083347,7.619027659739826,3.8484008945355974,7.721570067596261,7.9220821723797235,23.415130684418664,15.285070917435753,17.10307021237613,22.899772522746897,13.597981326488455,7.440216540286055,3.3413726825518784,8.837313380791501,5.881428289553126,5.29147260094533,8.287836967223477,9.543460110577005,7.751767027224778,0.0
