contrast,composer,birth_year,composer_index,n_pairs,median_IAAFT,median_shuffle,median_diff_a_minus_b,iqr_IAAFT,iqr_shuffle,iqr_ratio_a_over_b,iqr_ratio_ci_low,iqr_ratio_ci_high,iqr_more_compressed,mad_IAAFT,mad_shuffle,mad_ratio_a_over_b,mad_ratio_ci_low,mad_ratio_ci_high,mad_more_compressed,wasserstein_w1,wasserstein_shape_w1,wilcoxon_stat,wilcoxon_p,sign_p,n_pos_diff,n_neg_diff,n_zero_diff
null_models_within_intervals,Byrd,1538,0,53,-1.6474666102217699,-9.011700274459649,7.484253503058761,4.244477817380466,5.507586044572144,0.7706602825685309,0.4687616378774888,1.1928598146608709,IAAFT,2.164012853371584,2.3632946426522015,0.915676282726654,0.5420546001938705,1.2696818818518607,IAAFT,7.699246112939694,0.4193047873985906,0.0,2.386484752546066e-10,2.220446049250313e-16,53,0,0
null_models_within_intervals,Buxtehude,1637,1,46,-4.100121707605777,-9.544806463323315,5.727634908247861,9.765323232325377,10.026618428270847,0.9739398484329744,0.6456189680324429,1.14559562701137,IAAFT,4.85096463394263,5.111929718246925,0.948949790257721,0.6273727366376486,1.2005447591469196,IAAFT,6.72474623158847,0.2550226787070532,0.0,2.842170943040401e-14,2.842170943040401e-14,46,0,0
null_models_within_intervals,Handel,1685,2,68,-5.531761173339587,-13.326116746522594,7.775205522738583,9.739338316281563,14.891503838752834,0.6540197969083849,0.48060170064353924,0.9561456971874892,IAAFT,4.8508497819908625,6.37282027011619,0.7611778735919728,0.494539400488158,0.9587467058514787,IAAFT,9.040269015808846,0.1915297443803503,0.0,7.64105456650688e-13,6.776263578034403e-21,68,0,0
null_models_within_intervals,Scarlatti,1685,3,100,-7.643085171137123,-15.422531881763273,8.800659938453457,7.073127243812055,10.49083577013263,0.6742196140320128,0.4586299261443112,0.819973256798813,IAAFT,3.1259496513726353,4.758946404322074,0.656857502856861,0.5116350924367887,0.8662354243512608,IAAFT,9.22123013344726,0.23295171539439563,0.0,3.8965598450959084e-18,1.5777218104420236e-30,100,0,0
null_models_within_intervals,Bach,1721,4,517,-6.555754030333583,-14.530974170759263,6.744344619925496,16.354301573474782,18.375237293338273,0.8900185239732301,0.814441414708201,1.005077425564551,IAAFT,8.014317221472504,8.253242812942,0.9710507012958792,0.8677172321707258,1.0641298196805604,IAAFT,7.804896273952265,0.1049678542198501,444.0,2.774297057772523e-85,1.5082094766183774e-127,502,15,0
null_models_within_intervals,Haydn,1732,5,284,-21.581734548585068,-33.07636409232943,9.047605392902323,19.515795980011745,20.568513667041262,0.9488189713622147,0.768585701761627,1.1857186781836326,IAAFT,9.348588506262466,10.211069967631323,0.9155346634483078,0.7783598860775889,1.1434125804667055,IAAFT,12.172191035673464,0.08832489934800297,92.0,6.668522617929323e-48,1.8112628387119895e-72,277,7,0
null_models_within_intervals,Mozart,1756,6,340,-14.966464374882214,-23.97569556335194,7.463709217697657,18.118467100825406,23.376029541617072,0.7750874488145446,0.6615041995908568,0.8850696688887146,IAAFT,8.70932644532152,11.420799518121928,0.7625846536840101,0.6776355308700949,0.8889414593004047,IAAFT,9.838305735342942,0.13727594890250217,66.0,3.13361866287791e-57,8.931546460001348e-89,333,7,0
null_models_within_intervals,Beethoven,1770,7,370,-17.022635234975915,-26.931532323695222,9.29890613071446,22.338013273807576,27.028674793205862,0.8264561042934533,0.7236346242332965,0.9653096351994239,IAAFT,10.905989683516985,12.814209719635997,0.8510856246409851,0.7328153383748467,0.9544016324554089,IAAFT,12.44656619015677,0.16665868213045887,120.0,5.77492265743401e-62,2.768873211557538e-94,361,9,0
null_models_within_intervals,Schubert,1797,8,177,-21.03802999550558,-34.339205228686524,9.928621835259708,21.247211702528084,22.835059980855696,0.9304644577391598,0.7196204465287661,1.1864826449898833,IAAFT,10.435671199281781,11.23919659409853,0.9285068654072068,0.7201895196735794,1.1640444822530218,IAAFT,14.376457300208662,0.2393721724782301,39.0,1.6473832707962708e-30,4.239946523934861e-43,171,6,0
null_models_within_intervals,Chopin,1810,9,135,-3.329862869680598,-7.83813920083246,5.447216298827339,12.129723766767398,15.57397380658444,0.7788457793372642,0.618378887594973,1.022534236241454,IAAFT,5.022284566029801,5.408433101115538,0.9286025124344996,0.6928535416980669,1.1619695488337651,IAAFT,6.492791184425139,0.3794447037387739,1.0,6.86576345373487e-24,6.244813738743402e-39,134,1,0
null_models_within_intervals,Schumann,1810,10,41,-10.158003357368786,-22.926774548881,10.045119035295993,20.96880107382618,29.463381627935863,0.7116902376862437,0.4593551043529792,1.0369445274126239,IAAFT,10.852444626157906,14.744537688002016,0.7360315294923625,0.4602674961039764,1.2560846362978622,IAAFT,14.243174076180075,0.229385583504355,0.0,9.094947017729282e-13,9.094947017729282e-13,41,0,0
null_models_within_intervals,Liszt,1811,11,73,-8.506265406664443,-19.45181327769565,10.514083678707538,14.673673782143933,27.187473900950586,0.5397218526297466,0.41619745945131387,0.7886750937480528,IAAFT,7.724426837445563,11.956720481889619,0.6460322334326919,0.4268651660381573,0.7999470473293748,IAAFT,13.620433903557618,0.23277426969380483,1.0,1.180508162993433e-13,1.5670109524204556e-20,72,1,0
null_models_within_intervals,Alkan,1813,12,87,-11.2144274768831,-24.459141618287127,13.781568371396588,15.446062380530748,21.27556893613943,0.7259999686444824,0.4334683627352998,0.9683961753528707,IAAFT,7.229369704560014,11.817735616295874,0.6117389946168023,0.39877209683641424,0.9288274989220994,IAAFT,18.071415983255406,0.3144586166976447,0.0,5.460181414946209e-16,1.2924697071141057e-26,87,0,0
null_models_within_intervals,Brahms,1833,13,69,-2.8312631769086796,-9.916563707612996,5.840199134858231,17.01725383502011,20.41971071109775,0.8333738942624459,0.5003316418661757,1.105880798274791,IAAFT,6.32058812820895,8.073969826284033,0.782835242662523,0.5721046145696778,1.0613781969235194,IAAFT,11.474242064377322,0.48848212057526613,0.0,5.214926521052866e-13,3.3881317890172014e-21,69,0,0
null_models_within_intervals,Saint,1835,14,33,-8.192323742049323,-11.71672821560312,5.375049081380132,24.38470725183908,31.179464907748926,0.7820758734630765,0.6156018544975834,0.9990949409948984,IAAFT,9.817299330743243,9.81088793086445,1.0006534984319435,0.615147704020845,1.122288272033203,shuffle,14.247110056553122,1.11371699407318,0.0,2.3283064365386963e-10,2.3283064365386963e-10,33,0,0
null_models_within_intervals,Tchaikovsky,1840,15,92,-15.19051182552251,-28.19688837253568,6.73123259092515,24.46906782226278,29.019916232518096,0.8431818901959514,0.5447739690585233,1.087020455321396,IAAFT,11.675850504603808,14.954325931725855,0.7807674219426564,0.5393638631868359,1.0846200210652521,IAAFT,13.920631680771434,0.20682200084723584,20.0,1.568564647889585e-16,2.1043483669078263e-20,87,5,0
null_models_within_intervals,Dvorak,1841,16,66,-12.25793214672412,-21.493143726227608,10.782178554756165,16.436070400437494,22.907368879336182,0.7175014506036882,0.4282642217423967,1.0403745373112194,IAAFT,8.126385336022174,12.274020101453868,0.6620801716838965,0.4469673739119859,1.0665245505358127,IAAFT,12.72715986290028,0.3212484052997041,0.0,1.6409484676272285e-12,2.710505431213761e-20,66,0,0
null_models_within_intervals,Faure,1845,17,34,-0.8962198596538111,-6.4543963491382375,4.921322917941655,7.305176487742501,8.146322303574351,0.8967453306551864,0.485727152187605,1.252669914196254,IAAFT,2.3812703600816354,3.2342186695649184,0.7362737660536647,0.41042309480215056,1.2556658370820808,IAAFT,5.979426529964204,0.6367232563715287,0.0,1.1641532182693481e-10,1.1641532182693481e-10,34,0,0
null_models_within_intervals,Debussy,1862,18,92,-8.889147056986921,-15.637868114030347,6.325718546597365,21.116439667413808,27.870831211568692,0.7576537458505631,0.5673187767551361,0.9535859605031142,IAAFT,8.923946803830054,11.075433525652487,0.8057424373647096,0.6482469748226428,1.000942661583658,IAAFT,12.679572140177356,0.44798920488835065,0.0,8.149781597324954e-17,4.0389678347315804e-28,92,0,0
