contrast,composer,birth_year,composer_index,n_pairs,median_MIDI,median_intervals,median_diff_a_minus_b,iqr_MIDI,iqr_intervals,iqr_ratio_a_over_b,iqr_ratio_ci_low,iqr_ratio_ci_high,iqr_more_compressed,mad_MIDI,mad_intervals,mad_ratio_a_over_b,mad_ratio_ci_low,mad_ratio_ci_high,mad_more_compressed,wasserstein_w1,wasserstein_shape_w1,wilcoxon_stat,wilcoxon_p,sign_p,n_pos_diff,n_neg_diff,n_zero_diff
representations_within_shuffle,Byrd,1538,0,53,-18.935829172877316,-9.011700274459649,-9.909021375260226,6.353074778839545,5.507586044572144,1.1535134862033884,0.6831548352539507,2.348615658846087,intervals,3.1321711074194383,2.3632946426522015,1.325340924864268,0.753293739654132,2.319378649180425,intervals,10.36066142793288,0.31236274436965233,0.0,2.386484752546066e-10,2.220446049250313e-16,0,53,0
representations_within_shuffle,Buxtehude,1637,1,46,-19.737288625711383,-9.544806463323315,-5.529202361622396,15.56693882043442,10.026618428270847,1.5525612081279765,0.803020738466235,1.9842707182785433,intervals,6.654896871056781,5.111929718246925,1.301836534900366,0.580049326552186,2.216077589517956,intervals,6.029307806151313,0.7695436929035905,81.0,2.5195220132445684e-08,9.24769992138863e-06,8,38,0
representations_within_shuffle,Handel,1685,2,68,-28.237395279665346,-13.326116746522594,-9.262417102559912,22.029248790541885,14.891503838752834,1.4793165975093916,1.0981760242076903,2.4523415895595906,intervals,11.282335999608879,6.37282027011619,1.770383522741836,1.1561520129969234,2.6336152891324995,intervals,11.041396399403887,0.6260872434179986,192.0,2.0441815955505483e-09,1.109725672785106e-06,14,54,0
representations_within_shuffle,Scarlatti,1685,3,100,-24.36720171169576,-15.422531881763273,-6.305505459941466,10.730306889257253,10.49083577013263,1.0228266960203873,0.6415969784490841,1.3856791914620838,intervals,5.471351306671881,4.758946404322074,1.1496980301570114,0.7842597027736515,1.6265953056272444,intervals,6.249934209517075,0.5914177089461189,490.0,2.6151797240223703e-12,1.1159089057251951e-09,20,80,0
representations_within_shuffle,Bach,1721,4,517,-27.307847613951157,-14.530974170759263,-10.251242747865993,31.577684609517966,18.375237293338273,1.7184912556729859,1.5305508931625944,1.9054384013573737,intervals,15.729621007387822,8.253242812942,1.905871590585222,1.6845481003308498,2.113871728172164,intervals,11.383945400092829,0.3426317819933653,11956.0,6.674047087447465e-59,1.726760897649869e-51,93,424,0
representations_within_shuffle,Haydn,1732,5,284,-39.06233397575361,-33.07636409232943,-5.666242840636687,20.018215916436592,20.568513667041262,0.9732456238932587,0.8332482011296166,1.1992432966407855,MIDI,9.75549980424184,10.211069967631323,0.95538467909498,0.7938305900103942,1.1651458027643298,MIDI,5.686355499215079,0.10959389145475182,8528.0,2.885581894984182e-17,6.44661320223817e-15,77,207,0
representations_within_shuffle,Mozart,1756,6,340,-32.44273662378549,-23.97569556335194,-7.9731138060811375,22.12024023808087,23.376029541617072,0.9462787595600665,0.8116375645185179,1.0590176717570918,MIDI,10.825491149046274,11.420799518121928,0.9478750705560456,0.8196234787855001,1.0643766717111858,MIDI,7.988265197049572,0.14057041189110392,7090.0,1.4943023865663303e-33,1.9124547014346658e-34,61,279,0
representations_within_shuffle,Beethoven,1770,7,370,-31.137523229473338,-26.931532323695222,-1.6092879762767325,21.001910903055112,27.028674793205862,0.7770233303607735,0.6895913583835864,0.9246193794579144,MIDI,10.444722836046866,12.814209719635997,0.8150891131461488,0.7121658733479116,0.9570755526238612,MIDI,3.7848738365274937,0.23940265826872537,28636.0,0.0057843393778977265,0.05426549877583429,166,204,0
representations_within_shuffle,Schubert,1797,8,177,-35.000129424732016,-34.339205228686524,-0.983803674838537,20.401322434911723,22.835059980855696,0.8934210136524995,0.7495480174807666,1.1358397135342817,MIDI,9.900286413695078,11.23919659409853,0.8808713621837982,0.7181523180473797,1.1410187193624826,MIDI,3.5713492604804897,0.19535441581626262,7252.0,0.3602954217757768,0.29263710818803024,81,96,0
representations_within_shuffle,Chopin,1810,9,135,-10.711167627706013,-7.83813920083246,-0.5020181231943646,14.482531653657087,15.57397380658444,0.9299188398232757,0.693576641621341,1.3992796953451527,MIDI,6.279875098365993,5.408433101115538,1.16112651870848,0.8076995940283963,1.483098849717515,intervals,2.12047092055476,0.4484598078627144,3979.0,0.17962271617576808,0.08481264433974639,57,78,0
representations_within_shuffle,Schumann,1810,10,41,-23.05184396472083,-22.926774548881,0.5811554005829009,17.38470398582089,29.463381627935863,0.5900444221018232,0.4347131634189592,1.2286985922170968,MIDI,10.65073158370739,14.744537688002016,0.7223510027292444,0.4696012928242716,1.4333008990745757,MIDI,7.464179719662368,0.4732266311001605,356.0,0.34131038405666914,0.5327092552361137,23,18,0
representations_within_shuffle,Liszt,1811,11,73,-20.40962166446336,-19.45181327769565,-2.404549458486599,24.650603487709922,27.187473900950586,0.9066897343062106,0.7290338581735448,1.2966742242871216,MIDI,11.722842601914557,11.956720481889619,0.9804396297187589,0.6672460487280812,1.3447046607991333,MIDI,3.233874092265078,0.253868316196121,1209.0,0.4366255056951841,0.34918183817058834,32,41,0
representations_within_shuffle,Alkan,1813,12,87,-27.248398423269506,-24.459141618287127,-4.505266332362789,19.51435781916581,21.27556893613943,0.9172190824950414,0.5721478576155017,1.2438208822208692,MIDI,8.3739477615471,11.817735616295874,0.7085915638525524,0.5927411360689356,1.2152459344064859,MIDI,5.06143131074591,0.5582935649318448,1366.0,0.02037609471530997,0.05300311301096223,34,53,0
representations_within_shuffle,Brahms,1833,13,69,-17.043547010750512,-9.916563707612996,-0.6718424279115034,18.39650727922452,20.41971071109775,0.9009190942762154,0.5472639642295941,1.290576943881368,MIDI,9.479297917633069,8.073969826284033,1.1740566439540219,0.5961943124163872,1.9228546844225571,intervals,6.0254162242020515,1.1023928140207002,1185.0,0.8929864216143447,0.8099490529189248,33,36,0
representations_within_shuffle,Saint,1835,14,33,-27.74876170959255,-11.71672821560312,-3.911880399991116,18.76510482555157,31.179464907748926,0.6018417853248003,0.40372013172204924,1.1865469230631998,MIDI,12.698887902817257,9.81088793086445,1.2943668292109767,0.5369082927695888,2.1318189383624557,intervals,10.578879359299126,1.619545876637866,205.0,0.182668769499287,0.16275565745308995,12,21,0
representations_within_shuffle,Tchaikovsky,1840,15,92,-29.66548331608042,-28.19688837253568,-2.7572235637941356,20.14183376610117,29.019916232518096,0.6940693282750194,0.5334116733477436,1.009240437217593,MIDI,11.058503648187722,14.954325931725855,0.7394852632392424,0.5431761646155551,1.035821057103262,MIDI,4.1678543091335225,0.24256365249157374,1770.0,0.15076127546874846,0.04701156164485404,36,56,0
representations_within_shuffle,Dvorak,1841,16,66,-22.920855102047497,-21.493143726227608,0.09363125679367634,15.431825264925958,22.907368879336182,0.6736620581007183,0.401655166873882,0.8784241574582712,MIDI,8.004528444955088,12.274020101453868,0.6521521375060275,0.4196363217016933,0.8990026187011965,MIDI,5.048157672194943,0.6415907558438614,991.0,0.46451330845560534,1.0,33,33,0
representations_within_shuffle,Faure,1845,17,34,-13.620294289048017,-6.4543963491382375,-7.1398955048454305,13.128867315786522,8.146322303574351,1.611631215478178,0.8799042801697682,2.835687078516069,intervals,6.234423822295781,3.2342186695649184,1.9276444975609717,1.109341574525809,3.2634863663301856,intervals,7.1083336452749135,0.9513452323951057,42.0,1.318054273724556e-06,0.00019512558355927467,6,28,0
representations_within_shuffle,Debussy,1862,18,92,-21.675076000058915,-15.637868114030347,-3.070670947710832,22.307284710312477,27.870831211568692,0.8003810342424633,0.5570454411282629,1.1491933980198796,MIDI,10.987867487370323,11.075433525652487,0.9920936694641029,0.7551384196662279,1.513816939139214,MIDI,6.8232872244530665,0.5427845445299935,1748.0,0.12788048826496407,0.02801690195894671,35,57,0
