composer,birth_year,composer_index
Byrd,1538,0
Buxtehude,1637,1
Handel,1685,2
Scarlatti,1685,3
Bach,1721,4
Haydn,1732,5
Mozart,1756,6
Beethoven,1770,7
Schubert,1797,8
Chopin,1810,9
Schumann,1810,10
Liszt,1811,11
Alkan,1813,12
Brahms,1833,13
Saint,1835,14
Tchaikovsky,1840,15
Dvorak,1841,16
Faure,1845,17
Debussy,1862,18
