composer,birth_year,composer_index,serie,length_notes_shuffle,z_notes_shuffle,p_value_notes_shuffle,p_raw_notes_shuffle,pe_obs_notes_shuffle,mu_null_notes_shuffle,sigma_null_notes_shuffle,length_intervals_shuffle,z_intervals_shuffle,p_value_intervals_shuffle,p_raw_intervals_shuffle,pe_obs_intervals_shuffle,mu_null_intervals_shuffle,sigma_null_intervals_shuffle,length_notes_iaaft,z_notes_iaaft,p_value_notes_iaaft,p_raw_notes_iaaft,pe_obs_notes_iaaft,mu_null_notes_iaaft,sigma_null_notes_iaaft,length_intervals_iaaft,z_intervals_iaaft,p_value_intervals_iaaft,p_raw_intervals_iaaft,pe_obs_intervals_iaaft,mu_null_intervals_iaaft,sigma_null_intervals_iaaft,birth_year_num,composer_index_num
Byrd,1538,0,Serie_32,1211,-18.671066265534712,0.000999000999000999,0.0,0.8451924755600522,0.9300579702682498,0.004545294494768758,1211,-5.938325136872659,0.000999000999000999,0.0,0.8943251305792288,0.9210537650196343,0.00450103923654167,1211,-26.694023896479145,0.000999000999000999,0.0,0.8451924755600522,0.9428820831506303,0.003659605909151188,1211,0.050569350936982754,0.5230961298377028,0.5225,0.8943251305792288,0.8940577569285436,0.0052872668074853595,1538,0
Byrd,1538,0,Serie_33,2912,-24.89428417284052,0.000999000999000999,0.0,0.8722571942363448,0.9480304484105007,0.0030438012857916946,2912,-12.771889952011795,0.000999000999000999,0.0,0.9095866879281123,0.9454939513774022,0.0028114291294558127,2912,-37.88321627631604,0.000999000999000999,0.0,0.8722571942363448,0.9614531137644259,0.0023544970120143905,2912,-1.3195907385634547,0.10112359550561797,0.1,0.9095866879281123,0.914069955697313,0.0033974683499835207,1538,0
Byrd,1538,0,Serie_34,933,-13.978917258544643,0.000999000999000999,0.0,0.8150879466407202,0.8990484611585234,0.006006224442489081,933,-10.161029834918548,0.000999000999000999,0.0,0.8645749285606612,0.9136191830294078,0.004826701157810325,933,-20.569078153182275,0.000999000999000999,0.0,0.8150879466407202,0.9179192831352665,0.0049993167281848815,933,-3.064915843242446,0.004993757802746567,0.00375,0.8645749285606612,0.8826303781618031,0.00589100990846151,1538,0
Byrd,1538,0,Serie_35,892,-10.6162485606682,0.000999000999000999,0.0,0.8406984575627536,0.9012255471003148,0.005701363263272303,892,-5.123751997334703,0.000999000999000999,0.0,0.8457601836089819,0.8784014600926627,0.006370580875237591,892,-12.771336213791736,0.000999000999000999,0.0,0.8406984575627536,0.9108662270096888,0.0054941603816804335,892,-0.7764017762334617,0.21972534332084895,0.21875,0.8457601836089819,0.8510708003918449,0.006840036879650512,1538,0
Byrd,1538,0,Serie_36,852,-22.217866376747693,0.000999000999000999,0.0,0.7948037892259542,0.9133176098373057,0.005334167493931065,852,-10.391332940639426,0.000999000999000999,0.0,0.8741274461156487,0.9202203182767492,0.0044357035256599306,852,-30.604301732485677,0.000999000999000999,0.0,0.7948037892259542,0.9270107776278854,0.004319882530160684,852,-3.6933203885401182,0.0012484394506866417,0.0,0.8741274461156487,0.8939279477747961,0.0053611654490051,1538,0
Byrd,1538,0,Serie_46,877,-16.707643491155217,0.000999000999000999,0.0,0.804220761044945,0.9026337517264358,0.005890297499679664,877,-10.116069639975708,0.000999000999000999,0.0,0.8615483188440219,0.9112297198539998,0.00491113671397157,877,-22.89809124869857,0.000999000999000999,0.0,0.804220761044945,0.9187217152338378,0.0050004584637770005,877,-4.149000349502764,0.0012484394506866417,0.0,0.8615483188440219,0.8857577543142614,0.005835004442248561,1538,0
Byrd,1538,0,Serie_48,1728,-17.911487861521923,0.000999000999000999,0.0,0.8425118062213476,0.9223633040187176,0.004458116400754722,1728,-7.754771337939381,0.000999000999000999,0.0,0.897775364204481,0.9279712276761037,0.0038938431780564217,1728,-26.940834120822842,0.000999000999000999,0.0,0.8425118062213476,0.9395653131544105,0.0036024685240925516,1728,1.6267137893608832,0.9500624219725343,0.95,0.897775364204481,0.8898463841396412,0.00487423178969607,1538,0
Byrd,1538,0,Serie_49,893,-17.144125310811962,0.000999000999000999,0.0,0.8173750473358691,0.9104664613504695,0.005429930797104721,893,-7.4052894799239875,0.000999000999000999,0.0,0.8761351993152101,0.9117366032327909,0.004807564108614193,893,-21.517531303758243,0.000999000999000999,0.0,0.8173750473358691,0.9198787638793527,0.004763730332093459,893,-1.4689352806846971,0.07865168539325842,0.0775,0.8761351993152101,0.8848686036517084,0.005945397630062692,1538,0
Byrd,1538,0,Serie_51,1038,-19.719842286725736,0.000999000999000999,0.0,0.8295096216451555,0.9247001899437182,0.004827146531625127,1038,-7.816330287473892,0.000999000999000999,0.0,0.8719067018519588,0.9107349024733105,0.004967574193170418,1038,-25.157783097045037,0.000999000999000999,0.0,0.8295096216451555,0.9338733920592293,0.004148369115493806,1038,-1.6649600972224956,0.05867665418227216,0.0575,0.8719067018519588,0.8814605309210991,0.005738172995904264,1538,0
Byrd,1538,0,Serie_53,1286,-34.58808392434556,0.000999000999000999,0.0,0.7693466964044281,0.9276712310246679,0.004577430046906983,1286,-20.99857507754311,0.000999000999000999,0.0,0.8539088590318021,0.9341204046982553,0.0038198566031385278,1286,-43.20449132963398,0.000999000999000999,0.0,0.7693466964044281,0.9389111071636843,0.003924694066307683,1286,-6.469636452659213,0.0012484394506866417,0.0,0.8539088590318021,0.8882788469228677,0.005312506837526939,1538,0
Byrd,1538,0,Serie_54,1732,-16.13044292979309,0.000999000999000999,0.0,0.8795897337562893,0.9405826908729855,0.003781232628401143,1732,-8.056311913515078,0.000999000999000999,0.0,0.8919110165587926,0.9239950491501133,0.0039824715000790056,1732,-20.58800745587349,0.000999000999000999,0.0,0.8795897337562893,0.9477436488343998,0.0033103696520503734,1732,0.1485809982288193,0.5593008739076155,0.55875,0.8919110165587926,0.8912012564122267,0.004776924068532787,1538,0
Byrd,1538,0,Serie_55,966,-18.99382518732098,0.000999000999000999,0.0,0.8053236353625001,0.912244147895159,0.005629224839029894,966,-11.460409691087882,0.000999000999000999,0.0,0.8723836579084272,0.9217258393887564,0.004305446559968956,966,-27.88373838257071,0.000999000999000999,0.0,0.8053236353625001,0.9259939368953021,0.004327622784189849,966,-2.7218125476816866,0.004993757802746567,0.00375,0.8723836579084272,0.8882400950488063,0.005825690367209481,1538,0
Byrd,1538,0,Serie_57,972,-19.586628248063214,0.000999000999000999,0.0,0.8039996992890279,0.9105231648885701,0.005438581069208558,972,-7.300845006866698,0.000999000999000999,0.0,0.8910253166736297,0.9231424237437396,0.00439909449384319,972,-28.601692669755415,0.000999000999000999,0.0,0.8039996992890279,0.9281815306374164,0.004341765110975524,972,-0.8110204294084813,0.21972534332084895,0.21875,0.8910253166736297,0.89576745793339,0.005847129231034208,1538,0
Byrd,1538,0,Serie_58,1070,-16.427061224692345,0.000999000999000999,0.0,0.8756830782310143,0.9394834782019935,0.0038838596324872517,1070,-5.3605532099656905,0.000999000999000999,0.0,0.866019045327609,0.8967677881333214,0.005736113718365494,1070,-18.584139162351594,0.000999000999000999,0.0,0.8756830782310143,0.941088628982906,0.00351942859341005,1070,0.09547746787770221,0.5480649188514357,0.5475,0.866019045327609,0.8653964957087222,0.006520382585807321,1538,0
Byrd,1538,0,Serie_59,1581,-17.88878080879017,0.000999000999000999,0.0,0.8488335779098644,0.9256968559788349,0.0042967309449731496,1581,-7.493347661648309,0.000999000999000999,0.0,0.9078382329817758,0.9358921098396118,0.003743837617653657,1581,-26.789836916309604,0.000999000999000999,0.0,0.8488335779098644,0.9454224356266406,0.003605429104272492,1581,0.7129011938463918,0.766541822721598,0.76625,0.9078382329817758,0.9045707841810383,0.0045833122863888996,1538,0
Byrd,1538,0,Serie_60,1199,-18.935829172877316,0.000999000999000999,0.0,0.8275929881754621,0.9199500557351293,0.00487737118435535,1199,-9.02680779761709,0.000999000999000999,0.0,0.8994612779953719,0.9330931614138929,0.003725778167936528,1199,-27.470950104855646,0.000999000999000999,0.0,0.8275929881754621,0.9354990762059913,0.003928007135488777,1199,-1.3866991089559888,0.08239700374531835,0.08125,0.8994612779953719,0.9064624060648796,0.005048772314261221,1538,0
Byrd,1538,0,Serie_61,1178,-18.55785761388239,0.000999000999000999,0.0,0.8462202970033723,0.9287147170173409,0.004445255574773771,1178,-4.046202359349932,0.000999000999000999,0.0,0.9017848921169388,0.9202539400135361,0.0045645388580032795,1178,-24.17669002706091,0.000999000999000999,0.0,0.8462202970033723,0.9375071231655678,0.003775819852097967,1178,2.022888099151222,0.9775280898876404,0.9775,0.9017848921169388,0.890562690798879,0.005547613495164925,1538,0
Byrd,1538,0,Serie_62,1119,-8.979540294980369,0.000999000999000999,0.0,0.8588148798935209,0.9066069352841531,0.005322327627100061,1119,-7.375779193716302,0.000999000999000999,0.0,0.8555631606543133,0.8969121719140992,0.0056060532960385675,1119,-13.299054497453543,0.000999000999000999,0.0,0.8588148798935209,0.92117547872802,0.004689100179748843,1119,-2.227646315826956,0.019975031210986267,0.01875,0.8555631606543133,0.8696530303269506,0.006325003018895693,1538,0
Byrd,1538,0,Serie_63,1581,-13.839071078339666,0.000999000999000999,0.0,0.8923641806558338,0.942850736434119,0.0036481173839264863,1581,-4.288311807390082,0.000999000999000999,0.0,0.9050550835240231,0.9229395969490352,0.0041705254254579965,1581,-18.741761694154544,0.000999000999000999,0.0,0.8923641806558338,0.95169558963035,0.0031657327599582765,1581,1.7733231542332466,0.9700374531835206,0.97,0.9050550835240231,0.8961269785887664,0.005034674539687605,1538,0
Byrd,1538,0,Serie_65,1949,-18.313416202370895,0.000999000999000999,0.0,0.8499540036276666,0.9275171296712527,0.004235317167833742,1949,-12.756750314571404,0.000999000999000999,0.0,0.8976533622090777,0.9385846724216249,0.0032086000904002526,1949,-33.364894457527335,0.000999000999000999,0.0,0.8499540036276666,0.9529295004197676,0.0030863426504521467,1949,-3.0694111105501887,0.003745318352059925,0.0025,0.8976533622090777,0.9106040385916675,0.004219270705731058,1538,0
Byrd,1538,0,Serie_66,1279,-28.92952519124806,0.000999000999000999,0.0,0.7832878608183576,0.9213648477322399,0.004772874286773786,1279,-14.08517990324705,0.000999000999000999,0.0,0.8975501986719466,0.9444064792600531,0.0033266369978919947,1279,-45.70850273705937,0.000999000999000999,0.0,0.7832878608183576,0.9446333313096034,0.00352987870592468,1279,-6.60092640018829,0.0012484394506866417,0.0,0.8975501986719466,0.9245099782471712,0.004084241808006757,1538,0
Byrd,1538,0,Serie_67,913,-15.803658065457878,0.000999000999000999,0.0,0.8171018999769902,0.9057341751182377,0.005608339206918899,913,-7.457388146745266,0.000999000999000999,0.0,0.8772391901608025,0.9144604488719763,0.0049911923556532015,913,-23.326994875554146,0.000999000999000999,0.0,0.8171018999769902,0.9223667798135476,0.004512577826596568,913,-0.6491961196202258,0.24344569288389514,0.2425,0.8772391901608025,0.8813292944289631,0.0063002598822575594,1538,0
Byrd,1538,0,Serie_68,1441,-19.612312784610044,0.000999000999000999,0.0,0.8537492115750711,0.9337446324567137,0.0040788366859219015,1441,-8.216570927962428,0.000999000999000999,0.0,0.9005711749784738,0.9319223547629408,0.0038156038643533704,1441,-31.110316257803603,0.000999000999000999,0.0,0.8537492115750711,0.9512058556045799,0.003132615021393848,1441,1.1325110352134091,0.867665418227216,0.8675,0.9005711749784738,0.8945606196436657,0.005307281914189451,1538,0
Byrd,1538,0,Serie_69,1294,-20.339440264851973,0.000999000999000999,0.0,0.8056643775608605,0.911453807458342,0.005201196715343899,1294,-18.787099203777448,0.000999000999000999,0.0,0.8859023110995226,0.9456090882173446,0.003178073233669678,1294,-34.11613524060078,0.000999000999000999,0.0,0.8056643775608605,0.9381835206941994,0.0038843539046483533,1294,-9.044941837036411,0.0012484394506866417,0.0,0.8859023110995226,0.9249136688026686,0.004313057884286865,1538,0
Byrd,1538,0,Serie_71,1334,-14.652304497161134,0.000999000999000999,0.0,0.8546137608112855,0.9216291589008782,0.004573710442789175,1334,-7.051130463611218,0.000999000999000999,0.0,0.8908523536300467,0.9210133438101277,0.004277468745718559,1334,-19.37897711417188,0.000999000999000999,0.0,0.8546137608112855,0.9352094847991537,0.0041589255982416315,1334,0.5165462431498142,0.6941323345817728,0.69375,0.8908523536300467,0.8880824187740325,0.005362414096990755,1538,0
Byrd,1538,0,Serie_72,1238,-11.84865722267738,0.000999000999000999,0.0,0.8527637968400518,0.9155701563526303,0.005300715374934822,1238,-9.218496525889629,0.000999000999000999,0.0,0.874896999249754,0.9177721304609664,0.0046509895719763035,1238,-19.278210302566134,0.000999000999000999,0.0,0.8527637968400518,0.9340070952680785,0.004214255221461732,1238,-0.9620670121370913,0.16229712858926343,0.16125,0.874896999249754,0.8805931418591345,0.005920733730104114,1538,0
Byrd,1538,0,Serie_74,1130,-10.987100206568998,0.000999000999000999,0.0,0.8817861114005442,0.9309521177442484,0.004474884675604274,1130,-5.860937467830392,0.000999000999000999,0.0,0.860647663062296,0.8932899452336576,0.0055694643306687785,1130,-13.104635312499616,0.000999000999000999,0.0,0.8817861114005442,0.9349547042438338,0.004057235594536208,1130,-1.0990708114266081,0.13857677902621723,0.1375,0.860647663062296,0.8673695727306785,0.006115993254026427,1538,0
Byrd,1538,0,Serie_82,2531,-34.341767498886945,0.000999000999000999,0.0,0.824478763052785,0.9394233533288157,0.003347078460063424,2531,-18.236459937433995,0.000999000999000999,0.0,0.902622882737969,0.952013864833419,0.0027083645765078068,2531,-48.35443170948477,0.000999000999000999,0.0,0.824478763052785,0.956119120855145,0.002722405230471123,2531,-3.835044631352811,0.0012484394506866417,0.0,0.902622882737969,0.9177250974196355,0.003937950176172839,1538,0
Byrd,1538,0,Serie_87,1638,-22.78013600353189,0.000999000999000999,0.0,0.8242211106680547,0.9263441387303142,0.004482985880612217,1638,-17.671997658656036,0.000999000999000999,0.0,0.8720960148497711,0.9342743161186161,0.0035184647751687025,1638,-31.504129182668578,0.000999000999000999,0.0,0.8242211106680547,0.9417523773987252,0.0037306622903047317,1638,-7.246198715482381,0.0012484394506866417,0.0,0.8720960148497711,0.904582623373291,0.004483262162560951,1538,0
Byrd,1538,0,Serie_88,1405,-17.658852276914097,0.000999000999000999,0.0,0.8879103135011635,0.9485722632868365,0.003435214748637889,1405,-3.6077961221630104,0.001998001998001998,0.001,0.8996437765843109,0.9163067355424283,0.004618597723899997,1405,-20.69720764285896,0.000999000999000999,0.0,0.8879103135011635,0.952858960359722,0.003138039100698077,1405,2.61391692832127,0.9962546816479401,0.99625,0.8996437765843109,0.8854486750257577,0.005430586337596305,1538,0
Byrd,1538,0,Serie_91,920,-26.002663780509536,0.000999000999000999,0.0,0.7740347452195181,0.9132095341809873,0.005352328135926925,920,-10.70057285614721,0.000999000999000999,0.0,0.883808905376167,0.9283312951677103,0.004160748250591681,920,-37.66671701189307,0.000999000999000999,0.0,0.7740347452195181,0.9295939416199774,0.004129884649924291,920,-4.49923375997464,0.0012484394506866417,0.0,0.883808905376167,0.9061540387895838,0.004966430864784133,1538,0
Byrd,1538,0,Serie_92,1686,-26.401920801980086,0.000999000999000999,0.0,0.8356774467548211,0.9391774406594082,0.0039201690922739535,1686,-9.816889567597945,0.000999000999000999,0.0,0.9005346183890367,0.9372074468379585,0.003735687174272162,1686,-35.515895453070584,0.000999000999000999,0.0,0.8356774467548211,0.9496059626666679,0.003207817639354968,1686,-1.7939868290102106,0.039950062421972535,0.03875,0.9005346183890367,0.9083306812109029,0.004345663354823776,1538,0
Byrd,1538,0,Serie_93,1808,-19.646384396991795,0.000999000999000999,0.0,0.851862705871454,0.9320836074705774,0.0040832399477741385,1808,-7.455081400860388,0.000999000999000999,0.0,0.89049663726349,0.9212317541970578,0.00412270708808366,1808,-26.911828451293104,0.000999000999000999,0.0,0.851862705871454,0.9456512314395066,0.003485029853612422,1808,0.22148150146005247,0.5942571785268415,0.59375,0.89049663726349,0.8894300444552015,0.0048157196030249785,1538,0
Byrd,1538,0,Serie_95,1572,-21.5421079099913,0.000999000999000999,0.0,0.8231098560003126,0.9239730240804088,0.004682140136960113,1572,-17.180395742892987,0.000999000999000999,0.0,0.8844171721737824,0.9411787392026507,0.0033038567841109784,1572,-31.499963623477008,0.000999000999000999,0.0,0.8231098560003126,0.9411415062471226,0.003747040842892931,1572,-6.789849190269125,0.0012484394506866417,0.0,0.8844171721737824,0.9144884003918847,0.0044288506821622735,1538,0
Byrd,1538,0,Serie_96,1529,-33.182790577809605,0.000999000999000999,0.0,0.7866987059403482,0.9304181685762969,0.004331144552141992,1529,-24.11997556397374,0.000999000999000999,0.0,0.8851827981043643,0.9532192401818149,0.002820750870870356,1529,-53.873225034346305,0.000999000999000999,0.0,0.7866987059403482,0.9528782507107199,0.0030846407406355503,1529,-10.838453806977308,0.0012484394506866417,0.0,0.8851827981043643,0.9290775768299585,0.004049911500968592,1538,0
Byrd,1538,0,Serie_97,1052,-26.93036023824707,0.000999000999000999,0.0,0.8524473101428586,0.9453405252606072,0.003449386279869354,1052,-8.396925153469867,0.000999000999000999,0.0,0.9094881610783039,0.9407565252631751,0.003723787411865899,1052,-23.20727097210136,0.000999000999000999,0.0,0.8524473101428586,0.9391006216165128,0.003733886314242831,1052,-3.350329982944501,0.0024968789013732834,0.00125,0.9094881610783039,0.9242637895799737,0.0044102009583796165,1538,0
Byrd,1538,0,Serie_100,1064,-58.66636710310552,0.000999000999000999,0.0,0.710870523240402,0.9417566600582689,0.003935579246147744,1064,-32.442421743163976,0.000999000999000999,0.0,0.8365339148150583,0.9484370579382224,0.003449284520405554,1064,-52.547442977867654,0.000999000999000999,0.0,0.710870523240402,0.9223481807868047,0.004024509006755562,1064,-28.356977146317774,0.0012484394506866417,0.0,0.8365339148150583,0.9389641376094123,0.0036121700231244434,1538,0
Byrd,1538,0,Serie_101,1255,-39.344323212247836,0.000999000999000999,0.0,0.8238628933957958,0.9529168743389114,0.0032801169369954053,1255,-10.881090886275215,0.000999000999000999,0.0,0.9238122450164783,0.9562635283162827,0.0029823556883195037,1255,-28.056966578300038,0.000999000999000999,0.0,0.8238628933957958,0.9298372516479051,0.0037771138927781504,1255,-8.143000597898663,0.0012484394506866417,0.0,0.9238122450164783,0.9493206207635078,0.0031325523608105852,1538,0
Byrd,1538,0,Serie_108,816,-11.690960411773796,0.000999000999000999,0.0,0.8555965807743569,0.9147620388623511,0.005060786796302,816,-3.0033684347924168,0.001998001998001998,0.001,0.8618835924911098,0.8816864026161857,0.006593533412574673,816,-14.670888728675163,0.000999000999000999,0.0,0.8555965807743569,0.9221552111443228,0.004536782440444315,816,1.653881799894013,0.9575530586766542,0.9575,0.8618835924911098,0.8492367420597262,0.007646768004940885,1538,0
Byrd,1538,0,Serie_109,3046,-15.754515908925331,0.000999000999000999,0.0,0.8847398555014883,0.9346374077793027,0.0031671904466164034,3046,-12.57495808510762,0.000999000999000999,0.0,0.8784446453979491,0.9203293297529735,0.0033308011105522505,3046,-14.477772859404238,0.000999000999000999,0.0,0.8847398555014883,0.9297119974023653,0.003106288676967658,3046,1.697035567187222,0.9563046192259675,0.95625,0.8784446453979491,0.8703948510809778,0.004743444670587275,1538,0
Buxtehude,1637,1,Serie_1,2544,-8.636518324586362,0.000999000999000999,0.0,0.8815480945919407,0.9170843329301267,0.0041146486353212195,2544,-8.874472620207891,0.000999000999000999,0.0,0.8786679508194242,0.9125812901818863,0.003821448418832088,2544,-15.550406961698846,0.000999000999000999,0.0,0.8815480945919407,0.9357230156816713,0.0034838265791477434,2544,0.06655472517323535,0.5243445692883895,0.52375,0.8786679508194242,0.8783600697747559,0.004625983262148481,1637,1
Buxtehude,1637,1,Serie_2,2369,-16.854990900111986,0.000999000999000999,0.0,0.8491836391030669,0.9168485003896456,0.004014529683675421,2369,-10.060956971396042,0.000999000999000999,0.0,0.8481568735428103,0.8921217208527856,0.004369847464308836,2369,-20.753183921778966,0.000999000999000999,0.0,0.8491836391030669,0.9288935198310218,0.0038408506872193745,2369,-1.2987444219748574,0.10486891385767791,0.10375,0.8481568735428103,0.8548160092040366,0.005127364205422658,1637,1
Buxtehude,1637,1,Serie_3,1080,-11.227724209103192,0.000999000999000999,0.0,0.8472341768966888,0.9094187550316547,0.005538484645405525,1080,-3.415040137970676,0.000999000999000999,0.0,0.8541932995614219,0.8761774909501457,0.006437462079666088,1080,-13.426999595308626,0.000999000999000999,0.0,0.8472341768966888,0.9164986446081885,0.005158596097351537,1080,1.1313243423160226,0.8564294631710362,0.85625,0.8541932995614219,0.846430090120364,0.006862054629855512,1637,1
Buxtehude,1637,1,Serie_4,1110,-4.362776556724223,0.000999000999000999,0.0,0.8875872787204853,0.9112257533235407,0.005418218030584709,1110,-6.939066125110456,0.000999000999000999,0.0,0.8231877269402915,0.8687669155244245,0.006568490307246854,1110,-7.000643580481735,0.000999000999000999,0.0,0.8875872787204853,0.9212950882811956,0.004814958678183522,1110,-3.331076854269715,0.0024968789013732834,0.00125,0.8231877269402915,0.8466545673220256,0.007044821061890152,1637,1
