composer,birth_year,composer_index,serie,length_notes_shuffle,z_notes_shuffle,p_value_notes_shuffle,p_raw_notes_shuffle,pe_obs_notes_shuffle,mu_null_notes_shuffle,sigma_null_notes_shuffle,length_intervals_shuffle,z_intervals_shuffle,p_value_intervals_shuffle,p_raw_intervals_shuffle,pe_obs_intervals_shuffle,mu_null_intervals_shuffle,sigma_null_intervals_shuffle,length_notes_iaaft,z_notes_iaaft,p_value_notes_iaaft,p_raw_notes_iaaft,pe_obs_notes_iaaft,mu_null_notes_iaaft,sigma_null_notes_iaaft,length_intervals_iaaft,z_intervals_iaaft,p_value_intervals_iaaft,p_raw_intervals_iaaft,pe_obs_intervals_iaaft,mu_null_intervals_iaaft,sigma_null_intervals_iaaft,birth_year_num,composer_index_num
Byrd,1538,0,Serie_15,1507,-17.39214428594557,0.000999000999000999,0.0,0.8297253664104774,0.9156325370523037,0.00493942375531274,1507,-9.011700274459649,0.000999000999000999,0.0,0.8907336175908124,0.9269624188188429,0.004020195981296419,1507,-25.73370312555173,0.000999000999000999,0.0,0.8297253664104774,0.9335159647502091,0.004033255448442437,1507,-0.9992837699411857,0.149812734082397,0.14875,0.8907336175908124,0.8957878039873887,0.0050578089513790055,1538,0
Byrd,1538,0,Serie_16,2796,-25.07514777832014,0.000999000999000999,0.0,0.8376918757117338,0.9290361795956544,0.0036428221556842246,2796,-15.983935839366254,0.000999000999000999,0.0,0.9146283410291344,0.9539869343619063,0.002462384341898888,2796,-37.08872565126916,0.000999000999000999,0.0,0.8376918757117338,0.9487599841848298,0.002994659604037792,2796,-3.8875761518415537,0.0012484394506866417,0.0,0.9146283410291344,0.9276977658171944,0.0033618440585064914,1538,0
Byrd,1538,0,Serie_18,1375,-20.562228475910796,0.000999000999000999,0.0,0.8213966224157322,0.9211868820199514,0.004853085827789831,1375,-11.37499491711185,0.000999000999000999,0.0,0.8825499180828216,0.9273048589808315,0.003934502056847805,1375,-29.036452206268947,0.000999000999000999,0.0,0.8213966224157322,0.9362682540272467,0.003956118013161187,1375,-1.6474666102217699,0.06117353308364544,0.06,0.8825499180828216,0.8917304258308332,0.005572500037967864,1538,0
Byrd,1538,0,Serie_21,1149,-21.420380430970486,0.000999000999000999,0.0,0.8237719693619199,0.9241713774831769,0.004687097339134806,1149,-7.24916426999926,0.000999000999000999,0.0,0.8897894663925234,0.9220438794016281,0.0044493974488328146,1149,-29.412488884061478,0.000999000999000999,0.0,0.8237719693619199,0.9385943257407193,0.0039038639957131023,1149,0.5528666966301143,0.7016229712858927,0.70125,0.8897894663925234,0.8863386921726755,0.006241602615750687,1538,0
Byrd,1538,0,Serie_22,1099,-18.376755147347986,0.000999000999000999,0.0,0.8246103491371666,0.9166312101656457,0.005007459711501844,1099,-6.0267757110843485,0.000999000999000999,0.0,0.8987529726194858,0.9242572960238865,0.004231835499949589,1099,-25.43769276227688,0.000999000999000999,0.0,0.8246103491371666,0.9322413489217265,0.004231162031494168,1099,-0.353202133228865,0.3570536828963795,0.35625,0.8987529726194858,0.9003994338196173,0.004661526772446175,1538,0
Byrd,1538,0,Serie_23,936,-9.410432801472854,0.000999000999000999,0.0,0.8622598975357564,0.9118280662724633,0.005267363338373643,936,-7.09199639998893,0.000999000999000999,0.0,0.8379914803740818,0.8814033362500877,0.0061212461805640085,936,-12.9983457998958,0.000999000999000999,0.0,0.8622598975357564,0.92278724096772,0.004656542021866264,936,-1.7790591646885865,0.04744069912609238,0.04625,0.8379914803740818,0.850406487620086,0.006978411675351655,1538,0
Byrd,1538,0,Serie_24,865,-18.935723709783996,0.000999000999000999,0.0,0.7981163531698846,0.9071194099472245,0.0057564769347061475,865,-11.261627535914522,0.000999000999000999,0.0,0.8708813558045014,0.9196747725973504,0.004332714488846449,865,-25.381308038763073,0.000999000999000999,0.0,0.7981163531698846,0.9197082224424221,0.004790606894130077,865,-4.4856519760866655,0.0012484394506866417,0.0,0.8708813558045014,0.8962742677687391,0.005660918880824705,1538,0
Byrd,1538,0,Serie_25,1117,-25.957580673846927,0.000999000999000999,0.0,0.8009816138314166,0.9255937608402687,0.004800607135718263,1117,-12.850711151869834,0.000999000999000999,0.0,0.8775311319976317,0.9304924326847133,0.004121273917154032,1117,-33.97294607422549,0.000999000999000999,0.0,0.8009816138314166,0.9364769048776306,0.003988329147262597,1117,-5.285873726187934,0.0012484394506866417,0.0,0.8775311319976317,0.9055301824576084,0.005296957874960267,1538,0
Byrd,1538,0,Serie_26,1122,-20.822539461095037,0.000999000999000999,0.0,0.8117124688817305,0.9172832639025617,0.005070024970685263,1122,-7.804587886876804,0.000999000999000999,0.0,0.8915398266901584,0.9249470223822909,0.004280456082544183,1122,-27.618237978106247,0.000999000999000999,0.0,0.8117124688817305,0.9301745776102169,0.004289271054235778,1122,-2.80902803795524,0.0024968789013732834,0.00125,0.8915398266901584,0.9051512376751026,0.004845594561901314,1538,0
Byrd,1538,0,Serie_27,1461,-13.982378078469564,0.000999000999000999,0.0,0.8420918989943932,0.9136566491174133,0.005118210201540566,1461,-3.5050249611755095,0.000999000999000999,0.0,0.9099606025955277,0.9239073489018312,0.003979071892722302,1461,-20.39407426883399,0.000999000999000999,0.0,0.8420918989943932,0.9311473029088057,0.004366729410734078,1461,1.9550879392263192,0.9750312109862672,0.975,0.9099606025955277,0.9003163743702964,0.004932887176956211,1538,0
Byrd,1538,0,Serie_29,1806,-31.622874343871658,0.000999000999000999,0.0,0.7894685568509313,0.9255014770224537,0.004301725348944594,1806,-16.358842115908303,0.000999000999000999,0.0,0.9135660942713464,0.9575015900944451,0.002685733838116408,1806,-45.784522438838486,0.000999000999000999,0.0,0.7894685568509313,0.9448483033065204,0.003393717749555081,1806,-8.862621573994378,0.0012484394506866417,0.0,0.9135660942713464,0.9413814396204881,0.0031385008506693356,1538,0
Byrd,1538,0,Serie_30,1280,-21.970521800668095,0.000999000999000999,0.0,0.8238662212535028,0.9259799147678868,0.004647759140216633,1280,-15.004630500175102,0.000999000999000999,0.0,0.8725395167114947,0.9310454622851023,0.003899192690744694,1280,-28.865709081491044,0.000999000999000999,0.0,0.8238662212535028,0.9387881205380652,0.003981260219872835,1280,-4.482857174990485,0.0012484394506866417,0.0,0.8725395167114947,0.8970170950597776,0.0054602628173927616,1538,0
Byrd,1538,0,Serie_31,1260,-16.43624356359044,0.000999000999000999,0.0,0.8301195748596742,0.9145270974096333,0.005135450945551731,1260,-7.136649498457828,0.000999000999000999,0.0,0.8748370847496832,0.9091024170849523,0.004801319210460529,1260,-20.799975692086498,0.000999000999000999,0.0,0.8301195748596742,0.9268671338112667,0.004651330385371594,1260,-1.1565516744167454,0.12983770287141075,0.12875,0.8748370847496832,0.8813740658772636,0.005652130615674409,1538,0
