Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo
byrd,~1540,"Ne irascaris Domine
",NaN,NaN,NaN,NaN,neirascaris.krn
byrd,~1540,"Ave verum corpus
",NaN,NaN,NaN,NaN,aveverum.krn
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","2. Lento
","Op. 1
","No. 4
",Sonata,op1-4-2.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","6. Presto
","Op. 1
","No. 3
",Sonata,op1-3-6.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","5. Largo
","Op. 1
","No. 3
",Sonata,op1-3-5.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","1. Vivace
","Op. 1
","No. 1
",Sonata,op1-1-1.krn
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","1. Vivace
","Op. 1
","No. 4
",Sonata,op1-4-1.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","3. Adagio
","Op. 1
","No. 2
",Sonata,op1-2-3.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","6. Presto
","Op. 1
","No. 1
",Sonata,op1-1-6.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","3. Lento
","Op. 1
","No. 3
",Sonata,op1-3-3.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","2. Allegro
","Op. 1
","No. 1
",Sonata,op1-1-2.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","5. Grave
","Op. 1
","No. 1
",Sonata,op1-1-5.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","1. Adagio
","Op. 1
","No. 3
",Sonata,op1-3-1.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","2. Allegro
","Op. 1
","No. 3
",Sonata,op1-3-2.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","1. Lento
","Op. 1
","No. 2
",Sonata,op1-2-1.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","4. Andante
","Op. 1
","No. 1
",Sonata,op1-1-4.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","4. Allegro
","Op. 1
","No. 2
",Sonata,op1-2-4.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","5. Largo
","Op. 1
","No. 2
",Sonata,op1-2-5.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","2. Vivace
","Op. 1
","No. 2
",Sonata,op1-2-2.krn
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","6. Arioso and Variations
","Op. 1
","No. 2
",Sonata,op1-2-6.krn
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","4. Vivace
","Op. 1
","No. 3
",Sonata,op1-3-4.krn
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","3. Adagio
","Op. 1
","No. 1
",Sonata,op1-1-3.krn
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","3. Allegro
","Op. 1
","No. 4
",Sonata,op1-4-3.krn
vivaldi,"1678/03/04-1741/08/28
","Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m04.krn
