piece_id,gamma,g_obs,shuff_g_mean,shuff_g_var,shuff_g_std,Z_g
1,1,0.2543343555382225,0.0003184898240120422,2.662598604891106e-05,0.0051600374077046245,49.2275240747152
1,2,0.018083237527153018,-0.0004534125549783522,3.2914534416000626e-05,0.0057371189996374165,3.2310032410523255
1,3,0.018795300432983608,-0.0004634531950250927,3.3607891986208195e-05,0.005797231406991461,3.322060527855183
1,4,0.05613611562437648,-0.0007454594972139214,4.250206813179002e-05,0.0065193610217405525,8.725023040126722
1,5,0.01740350776365851,-0.00032281602218559876,5.04488981582956e-05,0.007102738778689218,2.4957026209424287
1,6,0.03536595312149915,-0.00037573639876062326,7.105966728241961e-05,0.008429689631440746,4.2399769247674
1,7,0.022689885691654754,-0.00011145444548095518,0.00012690774977839613,0.01126533398432537,2.0240269990096684
1,8,0.02028604715990301,-0.0014807724282270632,0.0001944518014368409,0.013944597571706432,1.5609500006149275
1,9,0.01354860041166206,-0.0016524473992088346,0.00032055631284611387,0.01790408648454631,0.8490267193465296
1,10,0.013682704454275108,-0.0008543117574545563,0.0006429115229449014,0.025355700008970396,0.5733234028871901
2,1,0.3387607789784145,0.0002718720316885511,1.246707922729538e-05,0.0035308751361801767,95.86544238800667
2,2,0.04115729632348719,-5.1783772706300484e-05,1.4195789387386338e-05,0.0037677300045765405,10.937376098111635
2,3,0.020209098036556794,-0.0002484017920785109,1.652540241265562e-05,0.0040651448206251665,5.032415997787062
2,4,0.024610646122027235,-0.00029871221985116605,2.5596158455379613e-05,0.005059264616066214,4.923513639270059
2,5,0.022237697019728997,-0.0004946422442310372,3.0692671629712746e-05,0.005540096716638866,4.103238702618096
2,6,0.023832115431382306,-0.0003611564965120125,6.679119473926328e-05,0.008172588007434565,2.960295062700556
2,7,0.023669193041952252,-0.000570460387048631,0.00014432914941416467,0.01201370673082062,2.017666484800661
2,8,0.02290109261394291,-0.0005330506401664777,0.0002900930263965073,0.01703211749596941,1.3758796144786456
2,9,0.015194908964939913,0.0008127115252096229,0.0007467408074090251,0.02732655864555625,0.5263084029817663
2,10,0.006784521132031984,-0.0032460586604817045,0.001735074386736631,0.04165422411636821,0.24080582474640616
3,1,0.12344198378286275,0.0002737726728592486,2.3010101197433413e-05,0.004796884530341898,25.676709608272493
3,2,0.03678304938252519,0.00026419679662234206,2.5918106840061153e-05,0.0050909828952827125,7.173242051105906
3,3,-0.005099981733551973,-1.9050115834904716e-05,3.149420425878325e-05,0.005611969730743676,-0.9053740240048948
3,4,0.004642054861427658,-0.0003695476811085596,3.1033705323022466e-05,0.005570790367894171,0.8996214561257431
3,5,-0.0074389078286445365,0.0004664208193116711,3.802768032680652e-05,0.0061666587652315025,-1.2819468287312366
3,6,-0.000781576678920981,-0.00036570085590599896,4.213970853059382e-05,0.006491510496840764,-0.06406456913493049
3,7,0.0018767418920885293,-0.0002627351867835914,5.0610493900160114e-05,0.0071141052775567015,0.30073733736013974
3,8,0.015456635752025494,-0.0004791053329138351,5.663423143893404e-05,0.007525571834680341,2.1175455413902404
3,9,0.018444853409015582,9.554326702224781e-05,8.609962719999262e-05,0.00927898847935445,1.9775119004426134
3,10,-0.005534883123480938,3.100824224763173e-05,9.421769489993112e-05,0.009706579979577313,-0.5734142589294303
4,1,0.2276067712712453,5.677355807291599e-05,1.3261502090719138e-05,0.0036416345355786512,62.485676552662355
4,2,0.058586226047900536,-0.00011224125228516421,1.2502279079421128e-05,0.0035358562017453604,16.600920385622896
4,3,0.013381640764696057,-0.00047322789818175873,1.2480680271769609e-05,0.00353280062723183,3.921780514892507
4,4,0.02155412836968107,0.0001888140209642153,1.3563098329994524e-05,0.0036828111993414112,5.80136020889085
4,5,0.0032704922851177765,5.7948379744284054e-05,1.7420339174820753e-05,0.004173767982868807,0.7696987275189587
4,6,-0.0022903474220541398,-0.0007274978770351056,2.155363114113392e-05,0.00464258884041371,-0.3366332015909825
4,7,-0.0012295115165856796,-0.0005642634449654768,2.150696086535364e-05,0.004637559796418117,-0.14344786931567252
4,8,0.010801934204211272,-0.0005319776058935984,3.003689513551795e-05,0.005480592589813436,2.068008454262915
4,9,0.004635731931921572,-0.0007141804094255836,4.322235718234561e-05,0.006574371238555487,0.8137526992653722
4,10,0.0034952290892800164,0.000649917829589541,7.67028845743476e-05,0.00875801830178195,0.32488071635013077
5,1,0.28239842229227863,-0.00042125678816931335,5.19437151174575e-05,0.007207198839872361,39.24127603026652
5,2,0.04138203350184211,-0.0005644971500058819,7.637001755762952e-05,0.008738994081565081,4.799926657501033
5,3,-0.008370321137982417,-0.0004094900347685171,6.878552679793702e-05,0.008293704045716667,-0.9598643813828056
5,4,0.03691566296580029,-0.0009268369441153656,8.462952795940936e-05,0.009199430849754204,4.113569690121292
5,5,0.008702664792334613,0.0008882703961973067,0.00012292425518307265,0.011087121140452676,0.7048172647474341
5,6,0.028455413137176033,0.0014796531408842115,0.0001457090410312666,0.012071000001295112,2.23475768315778
5,7,0.0055588360591368735,0.00024040147164473038,0.0002260048305165183,0.015033457038103987,0.3537732255469898
5,8,0.0197594862863969,-0.0006087949674585358,0.0003821355633711159,0.01954828799079643,1.0419470627527623
5,9,0.03874978689899,-0.00028033321210182906,0.0007069992458819458,0.026589457419848677,1.467879524384592
5,10,0.021305287836923315,-0.003888803995369028,0.0013639608828940907,0.03693184104392971,0.6821780642433845
6,1,0.2391963856258149,0.00014351921945896664,4.5676481794787904e-05,0.006758437822070119,35.37102399991211
6,2,0.16717253160721723,-0.00031329828678025476,5.29919155626184e-05,0.007279554626666277,23.00770287243504
6,3,0.0003447968478241803,-0.0006475666540511149,5.699218931245013e-05,0.007549317142129487,0.13145076345214615
6,4,0.04011064851016666,-0.0004338155004768344,9.200429139726256e-05,0.009591886748563212,4.2269539949183335
6,5,-0.002426109925065756,0.0003650100428283213,9.215119128626597e-05,0.009599541201863033,-0.2907555589586292
6,6,-0.007115691748858843,-0.0006353778790351953,0.0001633401684326512,0.012780460415519121,-0.5070485459158185
6,7,0.009622981852750678,-0.001963491398865166,0.00024356091959421786,0.015606438401961477,0.7424162357350933
6,8,0.017841140530793442,-0.0018627393282094954,0.0005025427941125045,0.022417466273254534,0.8789521357509935
6,9,0.021127436033522518,-0.0044934461565287005,0.0008616034272340513,0.029353082073847906,0.8728515160892802
6,10,0.019146375687706496,-0.004663485657231295,0.0016419352886274446,0.04052080069084821,0.5875960232522095
7,1,0.3387607789784145,-0.0001497876041906465,1.1773906119339348e-05,0.0034313125942326134,98.76994802287895
7,2,0.04115729632348719,-0.0001356094607949576,1.1829778106794752e-05,0.003439444447406405,12.005690574656628
7,3,0.020209098036556794,-4.7253442719110324e-05,1.6638869248462244e-05,0.004079077009381196,4.965915434469533
7,4,0.024610646122027235,0.00018855167067161578,2.2466190024826388e-05,0.004739851266108082,5.152502279129264
7,5,0.022237697019728997,-0.0001517283609260974,3.885866430553518e-05,0.006233671815674545,3.591691388750522
7,6,0.023832115431382306,-0.0010686127175308228,6.916506506001631e-05,0.008316553676855354,2.994116206838283
