piece_id,distance,MI,MI_var,shuff_MI,shuff_MI_var
1,1,4.090117428507082,0.05645892024040222,3.395893656862933,0.05463239178061485
1,2,3.88802044409816,0.05561676621437073,3.3933464871400467,0.05435056984424591
1,3,3.7020389991698472,0.05595562979578972,3.400732396948298,0.05422927811741829
1,4,3.8471804524764934,0.055811185389757156,3.4020094345063505,0.054223038256168365
1,5,3.6569632091692057,0.055905234068632126,3.402239902120101,0.05444387346506119
1,6,3.6788272651052694,0.05533798784017563,3.387891308357622,0.05459364131093025
1,7,3.5957806030991772,0.055315203964710236,3.3976212948198565,0.0544390007853508
1,8,3.7134586091161363,0.05546964704990387,3.3913679009811855,0.05439979210495949
1,9,3.557081898775534,0.05545015260577202,3.3992709290846665,0.0547395683825016
1,10,3.591905420094765,0.055353954434394836,3.3686912848867188,0.05457866191864014
2,1,4.245162249770967,0.06022373586893082,3.4738650456420377,0.05824532359838486
2,2,4.150652928248999,0.05949833244085312,3.464611225988085,0.058243073523044586
2,3,3.9846734192934417,0.05941590666770935,3.4702736428296035,0.05828557163476944
2,4,3.985354657093449,0.058630481362342834,3.4492583660924847,0.05815053731203079
2,5,3.791651957174045,0.05886515974998474,3.4753718308991672,0.058195676654577255
2,6,3.79940089433795,0.05852683633565903,3.481543499855606,0.05814386159181595
2,7,3.738655105276573,0.05904761701822281,3.4708530613089046,0.05828389897942543
2,8,3.7604352279825655,0.05850157514214516,3.472556290108143,0.05816584452986717
2,9,3.6933902542671078,0.05868788808584213,3.470091013192949,0.05818527191877365
2,10,3.666038689759569,0.05844981595873833,3.470756159526797,0.05829397961497307
3,1,3.850588727532866,0.059900086373090744,3.4593886523113646,0.059291668236255646
3,2,3.6995484832058985,0.05964483693242073,3.4746610145766628,0.05935729667544365
3,3,3.547933963702002,0.05948841571807861,3.4497126571339773,0.05937682092189789
3,4,3.5738438286414915,0.05931350588798523,3.4662957574136737,0.05941157042980194
3,5,3.5057613262993694,0.05944310501217842,3.4523364854245777,0.0595678985118866
3,6,3.5243642509170243,0.05959126353263855,3.464925171554805,0.05939123034477234
3,7,3.4872216596533896,0.05950145423412323,3.4561772687744217,0.059502288699150085
3,8,3.5261063892596756,0.059502266347408295,3.4753704001937287,0.059344805777072906
3,9,3.4849160408891944,0.059351846575737,3.459036660395329,0.05929148197174072
3,10,3.4817363399696735,0.05963215231895447,3.458013109705682,0.059300243854522705
4,1,4.33749119504307,0.04255644232034683,3.7062531673349284,0.04184743016958237
4,2,4.179480577695049,0.04259303957223892,3.697647133811204,0.041741564869880676
4,3,3.997065435599504,0.042280200868844986,3.700598303576337,0.041947025805711746
4,4,4.052040883853348,0.04195796325802803,3.699506474978845,0.04193176329135895
4,5,3.8984676702104046,0.04212583974003792,3.687869974250429,0.04169396683573723
4,6,3.921771716488827,0.04210076853632927,3.692588180334024,0.041878145188093185
4,7,3.8431283094716235,0.04211586341261864,3.6964339047529826,0.04189126193523407
4,8,3.920759308100221,0.04212078079581261,3.6948478961971,0.04199819639325142
4,9,3.83253186283193,0.042006172239780426,3.7073613674054826,0.04184436798095703
4,10,3.8375397700547627,0.04201538488268852,3.6992448849591693,0.041931573301553726
5,1,3.9740036474987015,0.08599284291267395,3.2394495611123695,0.0839972048997879
