piece_id,tau,S_obs,shuff_S_mean,shuff_S_var,shuff_S_std,Z_S
1,1,0.7811521354865907,0.8278396145238976,0.00010285176122111837,0.010141585735037612,-4.60356794855157
1,2,0.8287948220863314,0.974681052912746,3.61408613037657e-05,0.006011726981805287,-24.26694213957897
1,3,0.8437095620891014,0.9788887499005577,2.4938707509643432e-05,0.004993866989582665,-27.06904050377064
1,4,0.7703289025039511,0.9785584155118592,2.343716049477795e-05,0.004841194118683731,-43.012014784592736
1,5,0.8330433981681263,0.9790314316011046,2.62689957620444e-05,0.005125328844283497,-28.483642292690178
1,6,0.8256242169131573,0.9779529333624204,3.102069714018201e-05,0.005569622710757167,-27.349916567069332
1,7,0.8318694976951055,0.9792486765157846,2.520218406981992e-05,0.005020177693052301,-29.357362992279178
1,8,0.7897575102067576,0.9786707635026357,2.654019741245904e-05,0.005151717908859048,-36.66995294346712
1,9,0.8303174821136984,0.9788803686296029,2.448979516335036e-05,0.004948716516769814,-30.020488345304592
1,10,0.8293344501911056,0.978739122608147,2.789908939691257e-05,0.005281958859827722,-28.285845532298296
2,1,0.7144460047872913,0.8306702252423541,9.036872674570181e-05,0.009506246722324316,-12.226089207439124
2,2,0.7079424578618132,0.9751251436974829,2.6784914963517023e-05,0.005175414472630866,-51.62536976480075
2,3,0.7178152136324759,0.9794420301710337,2.0209581722293182e-05,0.004495506837086691,-58.19740154329402
2,4,0.6994820020692072,0.9786215798512672,2.2797345982820337e-05,0.004774656635070248,-58.462754312374365
2,5,0.7331849033460633,0.9795916812842647,2.2859137117100317e-05,0.00478112299748713,-51.53742709980651
2,6,0.6901793950177372,0.97870330280072,2.3341900814926046e-05,0.004831345652603014,-59.71916077408642
2,7,0.7289109892204988,0.9793153068360229,2.0554187148192136e-05,0.004533672589434766,-55.232113187675765
2,8,0.7072295969446297,0.9792519718354252,2.277066889520638e-05,0.004771862204130205,-57.005496649788235
2,9,0.6966527159871956,0.979251500674701,2.733021299397882e-05,0.0052278306202457265,-54.0566068826121
2,10,0.7067356297511154,0.9793546223554344,2.4430367191424624e-05,0.004942708487400873,-55.15579025128304
3,1,0.8167484965931484,0.8317211767942654,7.708477515786244e-05,0.00877979357148347,-1.7053567466264619
3,2,0.8856877844284364,0.9756097945687293,2.7963948576454208e-05,0.005288094985574125,-17.004613265381828
3,3,0.8913477197851738,0.979656796650098,2.5184043398441e-05,0.0050183705919791335,-17.59716131886885
3,4,0.8971896041310936,0.9799371033403603,2.226434665240173e-05,0.004718511063079299,-17.5367818583148
3,5,0.899609243673353,0.9796372171290421,2.0281162795181464e-05,0.004503461201696032,-17.770325949638465
3,6,0.8988666518925371,0.980288933642144,2.0540802261628122e-05,0.004532196185253692,-17.965303888328744
3,7,0.8983202318028605,0.9799118534683942,2.2179494343020927e-05,0.004709511051374753,-17.324860431470118
3,8,0.9020442656238771,0.9802725522289927,1.8982336215605486e-05,0.004356872297371761,-17.95514792855095
3,9,0.904189699495123,0.9800168330052815,2.3705794617503918e-05,0.004868859683488929,-15.573899935399728
3,10,0.9082789372276726,0.9797435305350041,2.5612392123635382e-05,0.005060868712349233,-14.1210130847591
4,1,0.7449480064269557,0.8301937630750348,4.602606386567915e-05,0.006784251164696009,-12.565241848898856
4,2,0.7497182205572931,0.9776184470075221,1.561101492971706e-05,0.003951077692189444,-57.68052268391127
4,3,0.7964507107577208,0.9814829679440623,1.182538363005955e-05,0.0034388055528132948,-53.807129930613904
4,4,0.7629508843573246,0.9815940947285715,1.2181865909161966e-05,0.0034902529864125845,-62.6439433537959
4,5,0.7998258408873369,0.9817634050586295,1.3467034611016476e-05,0.003669745851011549,-49.57770144249698
4,6,0.7801088748988196,0.9819982814587771,1.196018262249676e-05,0.0034583496963865234,-58.377383516450855
4,7,0.8001763764512355,0.981837666097811,1.317313066748178e-05,0.0036294807710582763,-50.051591702911004
4,8,0.7473160349491915,0.9817565516901294,1.2014712906202259e-05,0.0034662245896944213,-67.63569718995213
4,9,0.7945111060231501,0.9817098740504429,1.356897911987705e-05,0.003683609523263432,-50.81938431450441
4,10,0.7794590084430847,0.9820582570519669,1.0413137839526472e-05,0.003226939391982203,-62.78371670452483
5,1,0.74467116986645,0.8256612775058703,0.00016461966969047464,0.012830419700480364,-6.312350611288893
5,2,0.7747474835974923,0.9720699799385037,5.226957111610375e-05,0.007229769783063895,-27.293053895471118
5,3,0.7638898124559356,0.9759750356641294,3.836319226166351e-05,0.006193802730283191,-34.24152050746648
5,4,0.7785610353744638,0.9755109873414831,4.830241113602881e-05,0.006949993606905607,-28.338148652586852
5,5,0.7740460252121545,0.9763251581769175,3.746680672655578e-05,0.006121013537524303,-33.0466730264048
5,6,0.7463423504184756,0.9763922619323799,3.8036235412812175e-05,0.006167352382733792,-37.30124326249872
5,7,0.7704821370612814,0.9763992721611767,3.803353251932248e-05,0.006167133249681126,-33.38944153842343
5,8,0.770094977011563,0.9762065412539308,4.229873043325719e-05,0.006503747414626216,-31.69120064208604
5,9,0.7629150571397971,0.9755316843289749,4.229729636188214e-05,0.006503637164070744,-32.691957104214765
5,10,0.7715625020253064,0.9761829161123914,3.553081138707451e-05,0.005960772717280413,-34.32783362027642
6,1,0.8445057903689168,0.8245524079798536,0.0002006361400212403,0.0141646087140182,1.4086786858655722
6,2,0.7309987049257878,0.9708523500327139,6.811375622955657e-05,0.008253105853529117,-29.062228131287334
6,3,0.9043084204449579,0.9743303421854733,5.437560917683089e-05,0.00737398190781825,-9.49580872530686
6,4,0.7173881610171016,0.9746631711065663,6.435118397066565e-05,0.00802191897058713,-32.07150446579924
6,5,0.8958310563319806,0.9743793379914579,5.003633823381548e-05,0.007073636846334104,-11.104370123295887
6,6,0.8288772262957738,0.974037813877425,5.6218759102158454e-05,0.007497916984213579,-19.360122002854702
6,7,0.9125574826704409,0.9750741095673868,5.613531540383641e-05,0.007492350459224155,-8.344060683917824
6,8,0.7980418457257329,0.974168627299903,6.228653159947168e-05,0.007892181675523675,-22.3166152041835
6,9,0.9102325676893109,0.9749059663021535,5.512656015822291e-05,0.007424726268235275,-8.710543160295433
6,10,0.848327365184517,0.9747259665092232,5.730456185853244e-05,0.007569977665656117,-16.697354590378534
7,1,0.7144460047872913,0.8300162077517742,7.883954919780279e-05,0.008879163766808381,-13.015888207457255
7,2,0.7079424578618132,0.9743300927283299,3.407576316850124e-05,0.005837444917813036,-45.63428668142658
7,3,0.7178152136324759,0.9792225960143255,2.3827222462870866e-05,0.004881313600135814,-53.552671226568265
7,4,0.6994820020692072,0.9783326591144953,2.7678731399572876e-05,0.005261058011424401,-53.002771769435576
7,5,0.7331849033460633,0.9790028597496792,2.571851841624721e-05,0.0050713428612397336,-48.47196553843798
7,6,0.6901793950177372,0.9793115951080877,2.133972911584837e-05,0.004619494465398608,-62.58957603608729
7,7,0.7289109892204988,0.9797496883035671,1.7393553412405255e-05,0.004170557925794252,-60.14511812236679
7,8,0.7072295969446297,0.9795979814736013,2.6063948582810012e-05,0.005105286337005008,-53.35026608688813
7,9,0.6966527159871956,0.9792711328227315,2.37600295126904e-05,0.004874426070081523,-57.97983450199486
7,10,0.7067356297511154,0.9794582102331386,2.1988514761644585e-05,0.004689191269466899,-58.159832860268104
8,1,0.7435364355718024,0.8275538524658607,0.00011587524943807628,0.010764536656915442,-7.8050193493542634
8,2,0.7433305219954045,0.9727538126750506,4.301438812577506e-05,0.006558535516849403,-34.98087188675571
8,3,0.7825116908181396,0.9765765315281717,4.1854371385248146e-05,0.006469495450593357,-29.99690504338065
8,4,0.7538673584751054,0.9761309350317379,3.10029132886235e-05,0.005568025977725275,-39.91784116054619
8,5,0.7720414598248575,0.9767765481210893,3.891604885407319e-05,0.006238272906347813,-32.81919392912446
8,6,0.7682731283935795,0.9773276494850016,3.332257112289543e-05,0.005772570581889443,-36.21515200650792
8,7,0.7681095778315015,0.9769885231248229,3.738151275713801e-05,0.006114042260005896,-34.16380463374814
8,8,0.7685408010630731,0.9771022077208249,3.626922190408675e-05,0.006022393370088568,-34.63098370385669
8,9,0.7546657336111786,0.9766253027235843,3.977582625268856e-05,0.006306807928951742,-35.1936465503394
8,10,0.7598651021108513,0.976858328109012,3.345898536315612e-05,0.0057843742412776265,-37.513690668505596
9,1,0.6460460503976947,0.8296258978927639,6.573214301687894e-05,0.008107536186590778,-22.643111701270687
9,2,0.5991920419374127,0.9766587669978714,2.3173345890673596e-05,0.004813870157230417,-78.41231955405047
9,3,0.651090038467319,0.9802823716280087,2.1170683813383378e-05,0.004601161137515549,-71.54549108846054
9,4,0.6008526953285463,0.9797113324380191,2.4381253447801116e-05,0.004937737685195632,-76.7271696601806
9,5,0.648897658339114,0.9803575494899154,2.4154743469195468e-05,0.004914747548877304,-67.44189561201738
9,6,0.6325088869427901,0.9801860364986443,2.072042475882185e-05,0.004551969327535265,-76.37950182412796
9,7,0.637386679043003,0.9805499034739373,1.8435735805428152e-05,0.004293685573656757,-79.92276531294216
9,8,0.6244915045443595,0.9803456792603432,2.270637700979125e-05,0.004765120880921202,-74.67893965518653
9,9,0.6385785461465514,0.9807303946017015,1.79825104929886e-05,0.004240579028032446,-80.68517204687082
9,10,0.6184243890722504,0.9804414028507373,1.9350910410241142e-05,0.0043989669708058895,-82.29591542310797
10,1,0.5831573662518447,0.8524660217469074,3.936065914642056e-05,0.0062738073883743485,-42.925872412676235
10,2,0.568120668379334,0.9838995993981302,6.952582960604607e-06,0.002636775106186458,-157.68463910452084
10,3,0.600909493388022,0.98686557153258,6.474933583518388e-06,0.002544589079501519,-151.67717304680338
10,4,0.5814264200152234,0.9872948553350165,6.563131851934734e-06,0.002561861013391385,-158.42718757896452
10,5,0.600058129934322,0.9874757835651947,7.560331741242634e-06,0.002749605742873446,-140.89934698274456
