piece_id,m,L,N,K,circular,base,null_model,n_surr,H_obs,mu_null,sigma_null,Z,p_greater,p_less,p_two,shuff_H_orbit_var,shuff_H_orbit_std
1,3,1875,1873,19,False,2,shuffle,300,3.4915005752723047,3.964316077826044,0.0189025902100548,-25.013265235059382,1.0,0.0033222591362126,0.0066445182724252,0.0003573079166492596,0.0189025902100548
1,4,1875,1872,163,False,2,shuffle,300,5.564520322239117,6.822321608553483,0.0270953661051984,-46.42126928386651,1.0,0.0033222591362126,0.0066445182724252,0.0007341588643747344,0.0270953661051984
1,5,1875,1871,1110,False,2,shuffle,300,7.138915471361387,9.009065712807384,0.0333201779065763,-56.126658347670016,1.0,0.0033222591362126,0.0066445182724252,0.0011102342557258954,0.0333201779065763
1,6,1875,1870,10962,False,2,shuffle,300,8.2125522026227,10.259166707956748,0.0246179753429865,-83.13496446478142,1.0,0.0033222591362126,0.0066445182724252,0.0006060447099878913,0.0246179753429865
1,7,1875,1869,107509,False,2,shuffle,300,9.064936398252884,10.544992518995723,0.0180022182708244,-82.21520806363715,1.0,0.0033222591362126,0.0066445182724252,0.00032407986267040393,0.0180022182708244
2,3,2079,2077,19,False,2,shuffle,300,3.570443375182415,3.8849598736779503,0.0179356110637725,-17.535867463741784,1.0,0.0033222591362126,0.0066445182724252,0.00032168614423091845,0.0179356110637725
2,4,2079,2076,163,False,2,shuffle,300,5.571267214890049,6.668661725894823,0.0251421095897023,-43.647670339255896,1.0,0.0033222591362126,0.0066445182724252,0.0006321256746206004,0.0251421095897023
2,5,2079,2075,1110,False,2,shuffle,300,6.749629047348554,8.816346889568262,0.0296351152148853,-69.73881583499363,1.0,0.0033222591362126,0.0066445182724252,0.0008782400537995262,0.0296351152148853
2,6,2079,2074,10962,False,2,shuffle,300,7.84752816215291,10.251025464726304,0.0244259727299778,-98.39924612802004,1.0,0.0033222591362126,0.0066445182724252,0.0005966281438056192,0.0244259727299778
2,7,2079,2073,107509,False,2,shuffle,300,8.437330219866986,10.643708893973386,0.0191580957492367,-115.1669092265761,1.0,0.0033222591362126,0.0066445182724252,0.00036703263273692133,0.0191580957492367
3,3,2121,2119,19,False,2,shuffle,300,3.650217527610605,3.949360572659131,0.0186627088245241,-16.02891883816086,1.0,0.0033222591362126,0.0066445182724252,0.0003482967006689697,0.0186627088245241
3,4,2121,2118,163,False,2,shuffle,300,6.153180678799329,6.811041432394517,0.0274084895487294,-24.002079809089057,1.0,0.0033222591362126,0.0066445182724252,0.0007512252993428088,0.0274084895487294
3,5,2121,2117,1110,False,2,shuffle,300,7.957631426966763,9.044403097981553,0.0300173135657895,-36.20482787818068,1.0,0.0033222591362126,0.0066445182724252,0.0009010391137069303,0.0300173135657895
