piece_id,m,PE_obs,shuff_PE_mean,shuff_PE_var,shuff_PE_std,Z_PE
1,3,2.3480464554427156,2.35881320462821,0.00023950308976676627,0.015475887366053239,-0.6957112655854233
1,4,3.7622659537564607,4.114373658370948,0.0002994527634931773,0.017304703507809004,-20.347514446323398
1,5,4.947357866387156,5.989585502446632,0.00040787272545935913,0.02019585911664466,-51.606006461023064
1,6,5.741830718293702,7.232432207607929,0.00024532752178547593,0.015662934647934782,-95.16744612803251
1,7,6.2116824943231395,7.500528073655684,3.148569609849866e-05,0.005611211642639997,-229.6911364986691
2,3,2.324938061708656,2.2828266413586635,0.00030053459883714104,0.0173359337457531,2.4291405913055417
2,4,3.585123651307085,4.013516094771637,0.00047534437266824196,0.02180239373711616,-19.64887198304566
2,5,4.691704016085219,5.8943583441155605,0.0005109396248985888,0.02260397365284672,-53.20543841099728
2,6,5.421700232959937,7.25944251577958,0.0002753170189111741,0.01659267967843573,-110.75620806493478
2,7,5.906534847854901,7.597492736435161,3.291917163760731e-05,0.00573752312741372,-294.71914117450996
3,3,2.1515277428536614,2.348183987349246,0.0002347312646480526,0.015320942028741333,-12.835780210294326
3,4,3.697644945524654,4.105890392924545,0.0003429746168939386,0.018519573885323028,-22.043997876399846
3,5,5.197424073977538,5.996159989959358,0.0004148705217118419,0.020368370619954897,-39.21452191169863
3,6,6.336276667836012,7.315528558207043,0.0001971169797950897,0.014039835461823963,-69.74810303395199
3,7,6.9702038435663,7.619879315378602,2.7380409715065567e-05,0.005232629330944967,-124.15851204483782
4,3,2.2501047117228046,2.316127700676127,0.00011063248733678594,0.01051819791298804,-6.277024781193397
4,4,3.6677686133816407,4.066799889393686,0.00018946420958889534,0.013764599870279387,-28.989674946791332
4,5,4.939201143756339,6.0125049189946,0.0002910653000501169,0.017060635980235814,-62.911123388462684
4,6,5.925451372162539,7.662153611375698,0.00021897087411322942,0.01479766448170891,-117.36326643706924
4,7,6.533778409109017,8.19209639382746,3.618838441475919e-05,0.00601567821735498,-275.6660055277335
5,3,2.359306451690787,2.4052534667734498,0.00025779623996008145,0.016056034378391242,-2.861666461333671
5,4,3.7125912957332017,4.163885129868537,0.00034122232054560847,0.018472203998050923,-24.430968507220527
5,5,4.802540501352799,5.965666120365753,0.0005094073938167892,0.02257005524620596,-51.53401736615048
5,6,5.4432707642444065,6.932688159187575,0.0002405773885833812,0.015510557326652746,-96.02603978541833
5,7,5.824490156536302,7.108086943386894,2.9324686063727587e-05,0.0054152272402668,-237.03470415903564
6,3,2.158363283785001,2.1505862155311344,0.0006307927695623491,0.02511558817870585,0.3096510501179597
6,4,3.2499865983174643,3.792488248110708,0.0013240448008085665,0.03638742641089868,-14.909041482272979
6,5,4.105842079738176,5.5072003309541975,0.001390688472988323,0.03729193576349078,-37.57805065694569
6,6,4.60481644100015,6.616203478463761,0.0006122620546313947,0.02474392965216711,-81.28810038414616
6,7,4.979084881833272,6.88034817433933,5.8349634870287235e-05,0.007638693269813053,-248.8990230854746
7,3,2.324938061708656,2.28301922883088,0.00030079377486975944,0.017343407245110732,2.4169894810948
7,4,3.585123651307085,4.010681908626745,0.00047820506450491713,0.021867900322274134,-19.46040776883351
7,5,4.691704016085219,5.895687484262949,0.0005445434932963087,0.023335455712205595,-51.59459849536976
7,6,5.421700232959937,7.261715385809836,0.00024383159683429576,0.015615107967423592,-117.83557031360645
7,7,5.906534847854901,7.598040806804617,2.9445669670982808e-05,0.005426386428460731,-311.71866973534634
8,3,2.437427842078029,2.27947703032353,0.00038003579706086493,0.019494506843233173,8.102324055934057
8,4,3.9093952074049674,4.006262218623909,0.0005062809805664085,0.022500688446498888,-4.30506877375185
8,5,5.120134227381769,5.839964688375836,0.0008868764421558933,0.029780470818237467,-24.171225008076263
8,6,5.8694023418413375,7.053373289961177,0.00030553996092680977,0.01747970139695784,-67.73404883940968
8,7,6.269469304481126,7.3160645556178165,3.2113644142110584e-05,0.005666890164994429,-184.68599543392065
9,3,2.370277111702901,2.203409074507602,0.00026698235661840687,0.0163395947507399,10.212495459089807
9,4,3.8665498598808843,3.8898198529126193,0.0004612665797981237,0.021477117585889494,-1.083478401544138
9,5,5.152115322870957,5.750539012580518,0.0007453064856787945,0.027300301933839387,-21.920039242049562
9,6,6.029846089857521,7.246796784845083,0.0003808730731717236,0.019515969695911184,-62.35666041449774
9,7,6.529400081438297,7.719767903745986,4.510243439610058e-05,0.006715834601603928,-177.24793609768113
10,3,2.0692449004768014,2.2230580466631613,0.0001757160361835269,0.013255792552070468,-11.60346660391387
10,4,3.3833310261245275,3.9259724055069,0.0003055338963685412,0.017479527921787284,-31.044395581530512
10,5,4.656616555004253,5.832379598678085,0.0003946251860595043,0.0198651752083767,-59.187146921213134
10,6,5.710740667878934,7.517974364948302,0.0002770779635383495,0.01664565899982183,-108.57087106546594
10,7,6.450729001608738,8.163812439363985,3.9195660372468765e-05,0.0062606437666160785,-273.62736191603835
11,3,2.0307872445178528,2.180639372762902,0.0006975724549361835,0.026411596978149265,-5.67372462820118
11,4,3.3515050805427307,3.8382494717816917,0.0011303329618608286,0.033620424772165335,-14.477639546123205
11,5,4.466384119109303,5.5634555656570335,0.0016925097208271966,0.04114012300452195,-26.666703121600886
11,6,5.247127122062457,6.655035221396946,0.0004998300627656159,0.02235687953998983,-62.974266905905125
11,7,5.781809273141537,6.9028609750623975,4.7329056366481083e-05,0.006879611643579969,-162.95275954523137
12,3,2.439344941401778,2.139533079299305,9.34210232334574e-05,0.009665455148799637,31.018907799671176
12,4,3.9106815654380545,3.792754335247006,0.00018445600048932044,0.013581457966261224,8.682958080347538
12,5,5.309778507132676,5.6835048928485055,0.0003102574221721929,0.017614125643136334,-21.217424769617153
12,6,6.375310847221298,7.5508768398761505,0.00032499171372095333,0.01802752655582438,-65.20949998407005
12,7,7.046421361042982,8.628854292692816,7.507724547348176e-05,0.008664712659602843,-182.62959128783933
13,3,2.221882771142178,2.22473519296001,0.0005401057029491553,0.023240174331298706,-0.122736679044209
13,4,3.3352662506198834,3.910524770618295,0.0011071809776483253,0.03327432910891406,-17.2883581849379
13,5,4.1483211479838245,5.65720291575046,0.0013683783253469644,0.03699159803721602,-40.78985088042425
13,6,4.688582261972697,6.713629016732794,0.0003899293660184503,0.019746629231806888,-102.55151555174045
13,7,5.07535481932694,6.9372936138062355,3.50647991581109e-05,0.005921553779044053,-314.4341610251959
14,3,2.221150697494841,2.1675484634166726,0.00035184368325353655,0.018757496721405458,2.857643259881229
14,4,3.636976435825617,3.8282132984252697,0.0006048993180944673,0.024594701016569957,-7.775531097971565
14,5,4.79188630603397,5.65082521590906,0.00088384690144841,0.029729562752391938,-28.891743784761278
14,6,5.556373060476111,7.0804939555598825,0.0004862035357656742,0.022050023486737475,-69.12105540388613
14,7,6.010517141168509,7.525306450827987,5.65362640193271e-05,0.007519060048924141,-201.4599298054842
15,3,2.346185839177983,2.1691049381124534,0.00011521756269851051,0.010733944414729867,16.497281355633504
15,4,3.851593122262907,3.841140398122818,0.00020565794553228193,0.014340779111759652,0.7288811896919702
15,5,5.356452593144805,5.746610885996311,0.0002586671822471394,0.016083133471035405,-24.25884816252715
15,6,6.560484008247253,7.59205060182471,0.00029830733424495044,0.017271575905080303,-59.72625771074131
15,7,7.342481891611542,8.554050623214433,6.0028306536243656e-05,0.007747793656018703,-156.37596784236896
16,3,2.39805690238258,2.161645817978476,0.0005224384611584363,0.02285691276525411,10.343089061593826
16,4,3.839539557743379,3.809851702911129,0.0009728074449482807,0.03118986125246922,0.9518431195297345
16,5,5.131995143465688,5.5669410795604595,0.0014769873856584955,0.03843159358728825,-11.317405694013047
16,6,5.941694573827878,6.777314158017542,0.0006248426758666936,0.024996853319301883,-33.42899098201379
16,7,6.360035559521337,7.085297825339935,5.901836015342889e-05,0.007682340799094303,-94.40641658387528
17,3,2.3877147001367054,2.1092095323588542,0.0007840073239048269,0.02800013078370933,9.946566676034506
17,4,3.8991353482852107,3.7234556967003813,0.0014561223177847644,0.03815917082150455,4.603864491883176
17,5,5.137627301830641,5.422819324625771,0.0018656405989381966,0.04319306193057163,-6.6027276152255
17,6,5.839976153137166,6.580691439267471,0.0007241549225387654,0.02691012676556477,-27.525521993384018
17,7,6.188002939288728,6.876183630429076,7.279252791540843e-05,0.008531853720933595,-80.66016057587127
18,3,2.3162229880867526,2.1501105172806327,0.00011818853003349131,0.010871454825987703,15.279691031694842
18,4,3.8713824371726453,3.8138835572240426,0.00026220714573525956,0.01619281154510419,3.5508892194812938
18,5,5.463496006914551,5.705076815315212,0.00033406134534849934,0.0182773451395026,-13.21749994634261
18,6,6.66591998143566,7.5285715131913244,0.0003394834591583494,0.018425076910513816,-46.81942636903806
18,7,7.3896745622446405,8.478385915062159,7.04690151954839e-05,0.008394582490837998,-129.69213823388571
19,3,2.171117765413315,2.137944828777458,0.000344942594027247,0.018572630239878436,1.786119478361748
19,4,3.574297166827238,3.782281876664721,0.0006437494808539208,0.025372218682131856,-8.197340265869395
19,5,4.880738068077382,5.5880118188767,0.0010185793036554913,0.0319151892310776,-22.16103892345422
19,6,5.77552905631507,7.016158635246511,0.000540877896814787,0.023256781738125055,-53.34485196194047
19,7,6.345574477886688,7.480294791534716,7.167798859726916e-05,0.008466285407265052,-134.02811966087359
20,3,2.3185694453798407,2.167299782386266,0.000378443997381776,0.019453637124758342,7.775906480801796
20,4,3.8357173470896493,3.8326747968651187,0.0008573588457160129,0.02928069066323424,0.10390978339697826
20,5,5.089386105849605,5.630279506194166,0.0011194455906562823,0.033458116962200406,-16.166283385154056
20,6,5.865605410499854,6.96902667556979,0.0004591803733759721,0.02142849442625338,-51.49317740765146
20,7,6.245426316692689,7.349691387573782,5.485445697773571e-05,0.007406379478377793,-149.0964747492196
21,3,2.338093912901467,2.1111904137031288,0.0002505173222976243,0.0158277390140735,14.335812524870624
21,4,3.8726877244672835,3.743687767799611,0.0003984902869251609,0.01996222149273875,6.462204455280499
21,5,5.325688091141654,5.577630043043389,0.0007015641770390634,0.026487056783249124,-9.511889296098316
21,6,6.38603788050284,7.22781203385686,0.0005440365396300607,0.023324590878085315,-36.089557058208065
21,7,6.98017853454127,7.945844887564755,7.733868091109377e-05,0.00879424134937709,-109.80666946238456
22,3,2.4168818268400143,2.0742527249397913,0.0001741686279615716,0.013197296236789245,25.96206796852056
22,4,3.79187870812038,3.6824907579002466,0.0003729362375246501,0.019311557097361418,5.664377536655473
22,5,4.961013025916676,5.5088934099233455,0.0005334066729676564,0.02309559856266246,-23.72228554805248
22,6,5.726675338355185,7.239159337474739,0.0004756347255559954,0.02180905145933668,-69.35120502327229
22,7,6.1887365453447325,8.14282379949089,9.367049370917565e-05,0.009678351807470922,-201.90289555684018
23,3,2.3839479310420897,2.1633268144396967,0.0009086388861343633,0.03014363757303294,7.318994466671958
23,4,3.664876140981287,3.8035519877173822,0.0017433545757454794,0.041753497766600096,-3.3212989127590213
23,5,4.672437224244632,5.459308399183491,0.00199810057950518,0.04470011833882747,-17.603335386594843
23,6,5.321007012711813,6.4176866824263,0.0005807243204481802,0.02409822235037639,-45.50873727403209
23,7,5.735963883424596,6.6137108672718705,5.053994462497504e-05,0.007109145140238385,-123.46730394898678
