piece_id,d,C_obs,shuff_C_mean,shuff_C_var,shuff_C_std,Z_C
1,0,1.0,1.0,0.0,0.0,
1,1,0.4735015936209138,0.47341015314869567,2.8799139373311797e-07,0.0005366482961243034,0.1703918057292618
1,2,0.3006759944309565,0.22419479570585332,1.588724114576373e-06,0.0012604459982785352,60.67788610504379
1,3,0.19444706532119804,0.10613174124659125,1.8209439711435246e-06,0.0013494235699525647,65.44670334883159
1,4,0.1281576131355786,0.050223058985068646,1.1104210527565121e-06,0.00105376517913457,73.95817938728587
1,5,0.08949073168486578,0.02375177100952336,5.352192925087086e-07,0.0007315868318311289,89.85804256591219
1,6,0.06359698074997987,0.011231460493159505,2.2845637655943787e-07,0.0004779711043143067,109.55792051894747
1,7,0.04685245486658459,0.005310535541006495,8.9642278359277e-08,0.0002994032036556673,138.74908089946138
1,8,0.03531797627403376,0.0025116002562066866,3.253953764888282e-08,0.00018038718815060792,181.86644159249576
1,9,0.027174400810042687,0.0011867317155492148,1.1271986538487654e-08,0.00010616961212365643,244.77502154030165
1,10,0.021195733468340448,0.0005603677409704402,3.947114422979473e-09,6.282606483760918e-05,328.45230368490604
1,11,0.016761785315675015,0.0002647673620300161,1.3659436248364059e-09,3.695867455464828e-05,446.3638956871135
2,0,1.0,1.0,0.0,0.0,
2,1,0.429485459575029,0.4290222790827972,1.3826540029276328e-07,0.0003718405576221659,1.245642743206106
2,2,0.27895768145966104,0.18411259484596385,5.242176387818515e-07,0.0007240287554937659,130.99629799788227
2,3,0.18896475838877863,0.07900909904241765,4.593413154217745e-07,0.0006777472356430342,162.23697208006618
2,4,0.13064413143082046,0.03389849047325682,2.2527636688757485e-07,0.0004746328759026021,203.83257433144286
2,5,0.09260213167949458,0.014540541829138437,8.794576563153663e-08,0.00029655651338579065,263.22669146303906
2,6,0.06713032861444572,0.006234648345802871,3.1743536193046684e-08,0.00017816715800911986,341.78959213979147
2,7,0.04985308594308728,0.0026727482760307746,1.0592285218198135e-08,0.00010291882829782962,458.4228021963543
2,8,0.037919999850421576,0.0011455120708228907,3.4978983570501786e-09,5.9143033038982526e-05,621.789006920896
2,9,0.029519301693134256,0.0004909693585485157,1.1279354137078222e-09,3.3584749719297036e-05,864.3307625397226
