1	0.0	328988
2	2.0	190770
3	-2.0	190697
4	1.0	163239
5	-1.0	162403
6	3.0	161102
7	-3.0	160449
8	5.0	157501
9	-5.0	157018
10	4.0	142361
11	-4.0	141955
12	-7.0	121546
13	7.0	121306
14	-6.0	89355
15	6.0	88636
16	-8.0	81481
17	8.0	81229
18	-9.0	76447
19	9.0	76251
20	-10.0	64526
21	10.0	64435
22	12.0	64067
23	-12.0	63786
24	-11.0	50549
25	11.0	50493
26	-14.0	36094
27	14.0	35889
28	-13.0	34888
29	13.0	34495
30	15.0	28641
31	-15.0	28495
32	16.0	27293
33	-16.0	26814
34	-17.0	25140
35	17.0	24759
36	19.0	18866
37	-19.0	18865
38	-18.0	16388
39	18.0	16287
40	20.0	13508
41	-20.0	13459
42	21.0	12699
43	-21.0	12545
44	22.0	10269
45	-22.0	10097
46	-24.0	9273
47	24.0	9178
48	23.0	8637
49	-23.0	8607
50	-25.0	5998
51	25.0	5952
52	-26.0	5745
53	26.0	5708
54	27.0	4860
55	-27.0	4751
56	28.0	4453
57	-28.0	4441
58	29.0	3845
59	-29.0	3811
60	-31.0	3042
61	-30.0	3031
62	30.0	2960
63	31.0	2943
64	32.0	2491
65	-32.0	2423
66	33.0	2101
67	-33.0	2058
68	-34.0	1769
69	34.0	1718
70	-35.0	1554
71	35.0	1553
72	-36.0	1438
73	36.0	1435
74	37.0	1098
75	-37.0	1094
76	-38.0	995
77	38.0	905
78	39.0	809
79	-39.0	769
80	40.0	730
81	-40.0	687
82	-41.0	556
83	41.0	555
84	42.0	470
85	-42.0	464
86	-43.0	419
87	43.0	408
88	44.0	380
89	-44.0	359
90	45.0	276
91	-45.0	265
92	-46.0	228
93	46.0	203
94	47.0	182
95	-47.0	162
96	48.0	158
97	-48.0	131
98	49.0	103
99	-49.0	103
100	50.0	103
101	-50.0	87
102	-51.0	63
103	52.0	54
104	51.0	54
105	-52.0	51
106	-53.0	47
107	53.0	41
108	-54.0	36
109	55.0	34
110	54.0	30
111	56.0	28
112	-55.0	25
113	-56.0	19
114	57.0	15
115	-57.0	14
116	-58.0	11
117	-59.0	8
118	58.0	5
119	60.0	5
120	59.0	4
121	-60.0	4
122	-61.0	3
123	-62.0	3
124	-64.0	3
125	61.0	2
126	62.0	2
127	-66.0	1
128	65.0	1
129	64.0	1
130	-65.0	1
