1932	0.21052631578947367
1933	0.5
1934	0.38596491228070173
1935	0.08872901678657075
1936	0.2214765100671141
1937	0.27946127946127947
1938	0.3888888888888889
1939	0.38080495356037153
1940	0.54
1941	0.39544513457556935
1942	0.6370106761565836
1943	0.11134453781512606
1944	0.3575757575757576
1945	0.2413793103448276
1946	0.34579439252336447
1947	0.12655601659751037
1948	0.2767857142857143
1949	0.34146341463414637
1950	0.18066561014263074
1951	0.1596244131455399
1952	0.16962025316455695
1953	0.15492957746478872
1954	0.13559322033898305
1955	0.14078549848942598
1956	0.05217391304347826
