1	-2.0	29567
2	2.0	28337
3	-1.0	18848
4	1.0	18669
5	0.0	17879
6	5.0	12394
7	-3.0	10449
8	-7.0	8874
9	3.0	8515
10	-4.0	7624
11	-5.0	7581
12	4.0	6552
13	-12.0	6136
14	7.0	5692
15	12.0	5493
16	9.0	3623
17	8.0	3130
18	-8.0	3129
19	-9.0	3003
20	17.0	2763
21	-10.0	2734
22	-19.0	2721
23	-17.0	2547
24	19.0	2487
25	10.0	2266
26	-14.0	1957
27	14.0	1767
28	16.0	1533
29	24.0	1503
30	-24.0	1466
31	-6.0	1376
32	6.0	1369
33	21.0	1280
34	15.0	1280
35	-16.0	1186
36	-22.0	1172
37	-15.0	1119
38	20.0	1037
39	-11.0	1016
40	22.0	843
41	-20.0	803
42	-21.0	794
43	-26.0	752
44	26.0	709
45	29.0	708
46	11.0	706
47	18.0	695
48	13.0	649
49	-13.0	602
50	-18.0	582
51	-29.0	555
52	-23.0	524
53	-31.0	503
54	-28.0	502
55	28.0	496
56	31.0	470
57	27.0	422
58	23.0	413
59	-27.0	408
60	-25.0	232
61	25.0	198
62	33.0	167
63	-32.0	149
64	32.0	143
65	30.0	126
66	36.0	120
67	34.0	113
68	-33.0	103
69	-34.0	100
70	-36.0	91
71	-30.0	82
72	-35.0	69
73	-38.0	38
74	38.0	37
75	40.0	33
76	35.0	30
77	39.0	25
78	-40.0	19
79	37.0	13
80	-39.0	13
81	41.0	10
82	43.0	9
83	-43.0	9
84	-41.0	8
85	55.0	4
86	-48.0	3
87	-56.0	2
88	-50.0	2
89	-55.0	2
90	-58.0	2
91	45.0	2
92	60.0	2
93	-63.0	2
94	62.0	2
95	63.0	2
96	68.0	1
97	42.0	1
98	58.0	1
99	-53.0	1
100	69.0	1
101	-67.0	1
102	-37.0	1
103	67.0	1
104	50.0	1
105	-51.0	1
106	48.0	1
107	-57.0	1
108	56.0	1
