1932	0.5638881352558971
1933	1.0392878238158128
1934	1.3628941751613965
1935	1.3596267780275826
1936	1.6903923971350574
1937	2.683779493534298
1938	0.5344642276713728
1939	1.9161981630230804
1940	1.5219992559281328
1941	1.5435216425564775
1942	0.8098633331204365
1943	5.994427955328237
1944	1.3638496954776278
1945	4.152069621688875
1946	1.192088380540814
1947	5.4028401087261635
1948	3.069381216897866
1949	2.88004222362761
1950	4.854984859934347
1951	2.3930649179740717
1952	1.7314093274652542
1953	0.8297028524035442
1954	2.4457219575799245
1955	2.035646644261641
1956	1.5472193717123501
