representacion,m,tau,mPE_observada,mPE_null_media,mPE_null_std,mPE_null_q025,mPE_null_mediana,mPE_null_q975,mPE_zscore,mPE_null_menos_observada
alturas_MIDI,2,1,1.0916587542103522,0.7791444354690922,0.02416222443735079,0.7342370044326708,0.7774395447998416,0.8263611806186717,12.934004464347444,-0.31251431874126
alturas_MIDI,3,1,1.9925355429231089,2.0131794845195685,0.04533259036301407,1.9240245251436998,2.013683841120807,2.0991294164732586,-0.45538852801366997,0.02064394159645966
alturas_MIDI,4,1,2.2799128823527237,3.511453913486914,0.0644698153395734,3.3825757232429625,3.5127574993467876,3.634073580517747,-19.102599017035427,1.2315410311341903
alturas_MIDI,5,1,2.663496818137762,4.947595249880141,0.06041999134785215,4.82776870690785,4.950169842381124,5.0578603930649875,-37.8036868392166,2.2840984317423794
alturas_MIDI,6,1,3.081155550950922,5.675797720093426,0.030712414242401787,5.612456078487114,5.677013860553796,5.734520075522946,-84.48186940511899,2.594642169142504
alturas_MIDI,7,1,3.571044894403387,5.820804291652403,0.010401843124387546,5.796312477221344,5.823000885314585,5.836611731905063,-216.28468823706478,2.2497593972490164
intervalos,2,1,0.7321922503399787,0.7447415382846195,0.0221240421958494,0.7073551890703156,0.7471213306837545,0.7866482173681728,-0.5672240105831633,0.01254928794464083
intervalos,3,1,1.7926680331887288,1.9214564929808204,0.04409711899326608,1.832099028945274,1.9193038063998515,2.0055137766826916,-2.9205640353003215,0.12878845979209164
intervalos,4,1,2.709119908722942,3.3281602903669647,0.06627297586093166,3.197442014459253,3.3285222395271847,3.4577802715883053,-9.340766332011823,0.6190403816440226
intervalos,5,1,3.0631332855559688,4.703889891844482,0.07190704528472963,4.552607063504707,4.706236026234702,4.841517551337488,-22.817744767451163,1.6407566062885133
intervalos,6,1,3.4307464206713854,5.542765596455327,0.045781115858734754,5.4465291151550295,5.544857242919134,5.622021833287992,-46.13297723674818,2.1120191757839417
intervalos,7,1,3.8020359614859056,5.787794105611577,0.017950271417305506,5.748278767822492,5.789230352899382,5.817522074554891,-110.62552191891878,1.9857581441256715
