representacion,d,C_observado,C_null_media,C_null_std,C_null_q025,C_null_mediana,C_null_q975
alturas_MIDI,0,1.0,1.0,0.0,1.0,1.0,1.0
alturas_MIDI,1,0.5353803691564603,0.5270869070208628,0.0024603502920421405,0.5228389684319475,0.5269794721407625,0.5322770398481973
alturas_MIDI,2,0.34276349836122133,0.27776429187510837,0.003291232642895824,0.27163619113334486,0.2776522339140935,0.2843712264964637
alturas_MIDI,3,0.22273589787821288,0.14633770915991065,0.003278850360956394,0.14048516474038295,0.1462566844919786,0.15332240814214249
alturas_MIDI,4,0.14435052613420735,0.07705685699499765,0.0028005323100191207,0.07226022080386407,0.07694497153700189,0.08297438330170778
alturas_MIDI,5,0.10270829739520441,0.040567120924616125,0.0021652695780210542,0.03688114542004485,0.04039158185268242,0.045266948421597376
alturas_MIDI,6,0.07510781438675176,0.021341331723305147,0.0015960208768346007,0.01864757633258582,0.02125237191650854,0.02480809039158185
alturas_MIDI,7,0.05551147145075039,0.01121744005520095,0.0011438873463224402,0.009193979644643782,0.01110919441090219,0.013631188545799549
alturas_MIDI,8,0.044229774021045366,0.005897067448680353,0.0007918652589802116,0.0045018975332068315,0.005813351733655339,0.00765913403484561
alturas_MIDI,9,0.038381921683629465,0.0031046230809039133,0.0005422037211024402,0.0021903570812489216,0.0030360531309297912,0.004329825771951009
alturas_MIDI,10,0.033586337760910814,0.0016358288770053477,0.00037585018442029474,0.0010350181128169743,0.0015870277729860272,0.002484043470760738
intervalos,0,1.0,1.0,0.0,1.0,1.0,1.0
intervalos,1,0.6526461912198508,0.5599007461391637,0.016238694509004212,0.5279780496269304,0.5589189658164151,0.5902589796980738
intervalos,2,0.4198160680201284,0.3408842443171958,0.018217006989566544,0.3056259760541385,0.34003123373243105,0.37686968592746833
intervalos,3,0.259465556133958,0.21142155127537757,0.016346911655062652,0.18018046156515705,0.21065417317369425,0.2429346694429984
intervalos,4,0.17614089883741108,0.13167494360576087,0.013324051207964538,0.10647969807391984,0.13112961998958877,0.1583940655908381
intervalos,5,0.13288217942044075,0.08207208051362129,0.01028926823383794,0.06348559777893459,0.08167621030713171,0.10324527155995142
intervalos,6,0.10071143501648447,0.0511874023945862,0.007681702477339704,0.03747874370987333,0.050832899531494016,0.06720544855110186
intervalos,7,0.0799757070969981,0.03195203886864481,0.005601992264071813,0.02232994967898664,0.03151136560819018,0.04383263925039042
intervalos,8,0.0722019781363873,0.019949852507374632,0.004046254930390633,0.013064376192955057,0.019521082769390942,0.028926340447683496
intervalos,9,0.0650876279715426,0.012472462259239979,0.0028953657324024703,0.007685667187228874,0.012120423390595176,0.019023078257851808
intervalos,10,0.058285615131008155,0.007793180635085896,0.0020603318187567116,0.004442130834634739,0.0075481520041644976,0.012598906819364913
