1932	0.0
1933	0.28205128205128205
1934	0.017241379310344827
1935	0.016706443914081145
1936	0.020134228187919462
1937	0.11782477341389729
1938	0.05555555555555555
1939	0.24390243902439024
1940	0.2871287128712871
1941	0.10052910052910052
1942	0.06802721088435375
1943	0.03232125367286973
1944	0.08771929824561403
1945	0.03333333333333333
1946	0.24561403508771928
1947	0.04184934236747708
1948	0.043115438108484005
1949	0.031825795644891124
1950	0.07713310580204778
1951	0.009735744089012517
1952	0.0016750418760469012
1953	0.019742489270386267
1954	0.024390243902439025
1955	0.049407921600653326
1956	0.008620689655172414
