1	0.0	30908
2	-2.0	18036
3	2.0	17917
4	3.0	10197
5	-3.0	10111
6	1.0	9991
7	-1.0	9791
8	-5.0	6528
9	5.0	6527
10	-4.0	5882
11	4.0	5881
12	7.0	2660
13	-7.0	2515
14	-6.0	1160
15	6.0	1046
16	-9.0	602
17	9.0	573
18	-8.0	529
19	8.0	496
20	-10.0	336
21	10.0	318
22	12.0	175
23	-12.0	172
24	-11.0	153
25	11.0	135
26	14.0	85
27	-14.0	83
28	-16.0	67
29	16.0	59
30	19.0	52
31	-17.0	43
32	-19.0	40
33	21.0	29
34	-21.0	26
35	17.0	25
36	24.0	25
37	13.0	23
38	-24.0	22
39	-15.0	21
40	15.0	17
41	22.0	16
42	26.0	15
43	-13.0	14
44	-22.0	12
45	-26.0	7
46	-20.0	6
47	-18.0	5
48	-25.0	5
49	25.0	4
50	20.0	4
51	29.0	3
52	-28.0	3
53	18.0	3
54	-27.0	2
55	28.0	2
56	27.0	2
57	-29.0	1
