1	2.0	1079
2	-2.0	935
3	1.0	607
4	-1.0	499
5	-3.0	441
6	-4.0	359
7	-12.0	322
8	5.0	310
9	-7.0	305
10	3.0	295
11	12.0	290
12	-15.0	280
13	15.0	263
14	4.0	259
15	-5.0	223
16	16.0	217
17	9.0	208
18	-16.0	188
19	17.0	186
20	7.0	186
21	-9.0	182
22	-8.0	157
23	-17.0	150
24	-14.0	134
25	19.0	130
26	-19.0	117
27	8.0	113
28	0.0	113
29	-24.0	97
30	10.0	96
31	14.0	95
32	-10.0	92
33	24.0	86
34	6.0	84
35	-20.0	80
36	-21.0	72
37	21.0	72
38	18.0	67
39	-6.0	61
40	22.0	61
41	20.0	60
42	-13.0	45
43	27.0	45
44	-27.0	43
45	-18.0	41
46	13.0	39
47	-22.0	38
48	-11.0	34
49	11.0	31
50	28.0	31
51	-28.0	27
52	26.0	26
53	-26.0	22
54	-25.0	18
55	-29.0	16
56	23.0	14
57	25.0	13
58	29.0	13
59	31.0	13
60	-23.0	10
61	-32.0	6
62	-30.0	6
63	-31.0	6
64	33.0	5
65	30.0	5
66	32.0	4
67	-33.0	4
68	-34.0	3
69	34.0	3
70	39.0	2
71	-38.0	2
72	36.0	2
73	42.0	1
74	-37.0	1
75	38.0	1
76	-36.0	1
