b,PPn,RRn,TTn,PR,RT,PT,TPn
189,798,796,796,126,342,468,1266
190,794,794,796,126,344,470,1264
191,792,792,792,126,344,470,1262
192,790,790,790,126,344,470,1260
193,786,786,786,126,344,470,1256
194,784,784,782,126,342,468,1252
195,782,780,780,124,342,466,1248
196,780,782,782,126,342,468,1248
197,780,780,780,126,342,468,1248
198,780,780,780,126,342,468,1248
199,784,784,782,126,340,466,1250
200,780,780,782,126,342,468,1248
201,784,786,786,128,342,470,1254
202,786,786,784,128,340,468,1254
203,786,782,786,124,344,468,1254
204,786,788,786,126,342,468,1254
205,786,786,786,126,342,468,1254
206,788,790,788,128,340,468,1256
207,790,790,792,128,342,470,1260
208,788,786,786,126,342,468,1256
209,792,792,792,126,342,468,1260
210,790,790,790,126,342,468,1258
211,792,794,794,128,342,470,1262
212,800,800,800,128,342,470,1270
213,794,792,794,126,344,470,1264
214,796,798,794,128,340,468,1264
215,796,794,798,126,344,470,1266
216,800,800,798,126,342,468,1268
217,804,802,804,124,344,468,1272
218,800,800,800,124,344,468,1268
219,802,804,802,126,342,468,1270
220,798,798,800,126,344,470,1268
221,796,796,794,126,342,468,1264
222,794,794,794,126,342,468,1262
223,788,788,788,126,342,468,1256
224,788,786,786,124,342,466,1254
225,782,784,784,126,342,468,1250
226,784,784,782,126,340,466,1250
227,786,786,788,126,342,468,1254
228,786,786,786,126,342,468,1254
229,788,788,786,126,340,466,1254
230,788,788,790,126,342,468,1256
231,794,794,794,126,342,468,1262
232,794,796,796,128,342,470,1264
233,800,800,800,128,342,470,1270
234,802,798,800,124,344,468,1270
235,800,804,802,128,342,470,1270
236,804,802,802,126,342,468,1272
237,802,802,804,126,344,470,1272
238,800,800,800,126,344,470,1270
239,802,802,802,126,344,470,1272
240,808,806,806,124,344,468,1276
241,800,802,802,126,344,470,1270
242,804,806,804,128,342,470,1274
243,798,798,798,128,342,470,1268
244,800,800,800,128,342,470,1270
245,796,794,796,126,344,470,1266
246,796,798,796,128,342,470,1266
247,790,788,790,126,344,470,1260
248,788,788,786,126,342,468,1256
249,786,784,784,124,342,466,1252
250,782,784,786,126,344,470,1252
251,782,784,780,128,340,468,1250
252,782,780,782,126,342,468,1250
253,784,782,782,124,342,466,1250
254,784,786,786,126,342,468,1252
255,786,788,786,128,340,468,1254
256,790,788,790,126,342,468,1258
257,788,788,788,126,342,468,1256
258,792,794,792,128,340,468,1260
259,798,798,800,128,342,470,1268
260,804,804,804,128,342,470,1274
261,810,808,810,126,344,470,1280
262,810,810,810,126,344,470,1280
263,814,814,814,126,344,470,1284
264,814,814,814,126,344,470,1284
265,814,814,812,126,342,468,1282
266,814,814,818,126,346,472,1286
267,812,812,812,126,346,472,1284
268,816,814,814,124,346,470,1286
269,814,816,814,126,344,470,1284
270,814,814,814,126,344,470,1284
271,812,814,812,128,342,470,1282
272,808,806,808,126,344,470,1278
273,806,806,806,126,344,470,1276
274,806,806,806,126,344,470,1276
275,798,798,798,126,344,470,1268
276,798,800,798,128,342,470,1268
277,796,792,796,124,346,470,1266
278,794,794,792,124,344,468,1262
279,796,798,796,126,342,468,1264
280,798,800,800,128,342,470,1268
281,800,800,802,128,344,472,1272
282,798,796,794,126,342,468,1266
283,798,798,800,126,344,470,1268
284,802,802,800,126,342,468,1270
285,798,800,802,128,344,472,1270
286,800,798,798,126,344,470,1270
287,798,796,796,124,344,468,1266
288,798,800,798,126,342,468,1266
289,792,794,794,128,342,470,1262
290,796,794,794,126,342,468,1264
291,790,790,790,126,342,468,1258
292,792,794,794,128,342,470,1262
293,790,790,790,128,342,470,1260
294,794,794,794,128,342,470,1264
295,790,788,788,126,342,468,1258
296,792,790,790,124,342,466,1258
297,790,792,792,126,342,468,1258
298,786,786,786,126,342,468,1254
299,782,784,782,128,340,468,1250
300,778,776,776,126,340,466,1244
301,770,770,770,126,340,466,1236
302,760,762,760,128,338,466,1226
303,758,756,756,124,340,464,1222
304,750,750,749,126,340,466,1215
305,744,743,742.5,128,338,466,1208.5
306,738,738.5,737.25,126,338,464,1202.25
307,735,736.25,735.625,128,336,464,1200.125
308,733.5,733.125,732.812,130,336,466,1198.062
309,732.75,731.562,731.406,128,336,464,1196.031
310,732.375,731.781,731.703,126,336,462,1195.016
311,731.188,731.891,731.852,126,336,462,1194.508
312,731.594,730.945,731.926,128,336,464,1195.254
313,730.797,730.473,730.963,126,338,464,1194.627
314,728.398,729.236,729.481,126,338,464,1193.313
315,726.199,726.618,724.741,128,338,466,1189.657
