b,PPn,RRn,TTn,PR,RT,PT,TPn
6485,736,738,748,124,338,462,1198
6486,744,744,746,124,340,464,1208
6487,758,758,750,124,332,456,1214
6488,686,750,752,125,334,461,1208
6489,842,780,786,126,340,466,1308
6490,674,736,722,126,326,458,1188
6491,746,684,682,126,324,450,1196
6492,696,694,698,124,328,452,1148
6493,680,686,688,130,330,460,1140
6494,678,674,666,126,322,448,1126
6495,670,672,674,128,324,452,1122
6496,672,672,668,128,320,448,1120
6497,668,672,672,132,320,452,1120
6498,682,678,682,128,324,452,1134
6499,686,684,682,126,322,448,1134
6500,672,676,680,130,326,456,1128
6501,682,678,672,126,320,446,1128
6502,670,676,674,132,318,450,1120
6503,672,666,662,126,314,440,1112
6504,662,666,680,130,328,458,1120
6505,618,662,642,129,308,482,1100
6506,710,664,680,128,324,452,1162
6507,618,670,670,122,324,447,1122
6508,712,648,650,129,326,442,1154
6509,622,642,636,136,320,456,1078
6510,638,632,626,130,314,444,1082
6511,624,630,632,136,316,452,1076
6512,636,632,630,132,314,446,1082
6513,628,630,632,134,316,450,1078
6514,632,634,632,136,314,450,1082
6515,606,638,642,132,318,449,1092
6516,676,636,638,128,320,448,1124
6517,648,644,642,124,318,442,1090
6518,646,648,650,126,320,446,1092
6519,646,642,642,122,320,442,1088
6520,628,636,632,130,316,446,1074
6521,640,642,640,132,314,446,1086
6522,646,646,646,132,314,446,1092
6523,660,654,656,126,316,442,1102
6524,650,654,658,130,320,450,1100
6525,668,664,662,126,318,444,1112
6526,678,682,684,130,320,450,1128
6527,698,694,694,126,320,446,1144
6528,706,706,708,126,322,448,1154
6529,694,696,698,128,324,452,1146
6530,698,698,696,128,322,450,1148
6531,704,700,700,124,322,446,1150
6532,708,710,710,126,322,448,1156
6533,702,702,702,126,322,448,1150
6534,684,682,682,124,322,446,1130
6535,690,692,688,126,318,444,1134
6536,702,700,700,124,318,442,1144
6537,702,704,706,126,320,446,1148
6538,652,708,706,137,318,456,1152
6539,728,694,694,131.5,318,466,1194
6540,712,690,688,126,316,442,1154
6541,696,696,700,126,320,446,1142
6542,704,706,702,128,316,444,1148
6543,712,712,712,128,316,444,1156
6544,640,702,706,126,320,443,1150
6545,764,698,696,124,318,442,1206
6546,696,700,698,128,316,444,1140
6547,712,712,708,128,312,440,1152
6548,720,716,724,124,320,444,1164
6549,692,706,700,138,314,452,1144
6550,710,698,698,126,314,440,1150
