representacion,longitud_serie,fit_d_min,fit_d_max,pendiente_observada,constante_decaimiento_lambda,intercepto_observado,R2_observado,error_estandar_pendiente_observada,pendiente_null_media,pendiente_null_std,pendiente_null_q025,pendiente_null_mediana,pendiente_null_q975,zscore_pendiente,p_empirico_bilateral,p_decaimiento_mas_rapido,p_decaimiento_mas_lento,n_shuffles
alturas_MIDI,360,1,10,-0.34023053449018575,0.34023053449018575,-0.3134198309348679,0.9985713453857415,0.004549905412565772,-0.6436376494682208,0.022858853808149067,-0.6908844495315876,-0.6434743058441739,-0.5983249113756851,13.273067736662803,0.000999000999000999,1.0,0.000999000999000999,1000
intervalos,359,1,10,-0.31369972783605143,0.31369972783605143,-0.034098416458700376,0.9933224367732465,0.009093541020236738,-0.4888049650187955,0.026682649942412772,-0.539026199733867,-0.4894138847383551,-0.4363385226162776,6.562513002294038,0.000999000999000999,1.0,0.000999000999000999,1000
