measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
S_theta,0.7070773198822525,0.7128022703879044,0.006270755718529006,-0.9129602176553729,0.9129602176553729,static_transform_control,static_tanh,3,4000
gamma_R,0.243154864209137,0.24165608873183264,0.0014548215993469445,1.0302125552556798,1.0302125552556798,static_transform_control,static_tanh,3,4000
PE,0.9518232883302805,0.9491836763882685,0.00247431525255647,1.0668050238484184,1.0668050238484184,static_transform_control,linear_AR1_original,4,4000
S_theta,0.7196150773988661,0.7271046482038259,0.007528794055632803,-0.9947902346135188,0.9947902346135188,static_transform_control,linear_AR1_original,4,4000
gamma_R,0.25080099741851325,0.24881768659791678,0.0045734010058563765,0.43366212979285634,0.43366212979285634,static_transform_control,linear_AR1_original,4,4000
PE,0.9824216181400546,0.9738524848117542,0.002419315684900895,3.541965764030238,3.541965764030238,static_transform_control,static_square,4,4000
S_theta,0.7116242527055288,0.7022368372336202,0.009171609410031133,1.0235297920168094,1.0235297920168094,static_transform_control,static_square,4,4000
gamma_R,0.09455830564717482,0.12287576360835273,0.0071009902131756505,-3.987818193107182,3.987818193107182,static_transform_control,static_square,4,4000
PE,0.9518232883302805,0.9473269346573794,0.003521340362344294,1.2768869834291547,1.2768869834291547,static_transform_control,static_exp,4,4000
S_theta,0.6629897345971811,0.6658820012600505,0.008977447550532312,-0.32217026572300633,0.32217026572300633,static_transform_control,static_exp,4,4000
gamma_R,0.25080099741851325,0.2566560204184196,0.007748101686935777,-0.7556719357179623,0.7556719357179623,static_transform_control,static_exp,4,4000
PE,0.9518232883302805,0.9525118162517734,0.00274449115278311,-0.2508763494444717,0.2508763494444717,static_transform_control,static_tanh,4,4000
S_theta,0.7136025177574241,0.7185523179702966,0.006692625903658893,-0.7395901525239025,0.7395901525239025,static_transform_control,static_tanh,4,4000
gamma_R,0.25080099741851325,0.24735985214788234,0.001663897983731152,2.0681227480752353,2.0681227480752353,static_transform_control,static_tanh,4,4000
PE,0.9425020299581388,0.9440477663361729,0.002511210735008346,-0.6155343143788314,0.6155343143788314,static_transform_control,linear_AR1_original,5,4000
S_theta,0.719668921138863,0.7124880049292516,0.007024880274066292,1.0222118996278444,1.0222118996278444,static_transform_control,linear_AR1_original,5,4000
gamma_R,0.2555660689913697,0.25569869736952194,0.004135247714984325,-0.03207265617284985,0.03207265617284985,static_transform_control,linear_AR1_original,5,4000
PE,0.9776855874682379,0.9702344506128638,0.0029348496127667776,2.5388479269810325,2.5388479269810325,static_transform_control,static_square,5,4000
S_theta,0.701733912858189,0.6929064228604477,0.009012283075091495,0.9794954202158903,0.9794954202158903,static_transform_control,static_square,5,4000
gamma_R,0.10209649312248859,0.13280104240535448,0.007667753739950365,-4.004373422021851,4.004373422021851,static_transform_control,static_square,5,4000
PE,0.9425020299581388,0.9434761047501048,0.0033161756541373994,-0.29373437765598687,0.29373437765598687,static_transform_control,static_exp,5,4000
S_theta,0.6531569364934895,0.656429781293645,0.008775973543368306,-0.372932391373117,0.372932391373117,static_transform_control,static_exp,5,4000
gamma_R,0.2555660689913697,0.26213770678722076,0.006467357483890184,-1.0161240989415914,1.0161240989415914,static_transform_control,static_exp,5,4000
