measure,obs,mu_null,sigma_null,Z,absZ,experiment,epsilon,rep,N
PE,0.9645096915306361,0.9655174096552495,0.0020249284531483874,-0.4976561631333177,0.4976561631333177,mixed_linear_nonlinear,0.0,0,4000
S_theta,0.7689676483550663,0.7713763241741678,0.007021799668746206,-0.3430282737661216,0.3430282737661216,mixed_linear_nonlinear,0.0,0,4000
gamma_R,0.14129009396545744,0.14036506722379108,0.0031496858501662436,0.29368857266115567,0.29368857266115567,mixed_linear_nonlinear,0.0,0,4000
PE,0.9663691279675102,0.9654848074949268,0.001930899862638914,0.45798360116654413,0.45798360116654413,mixed_linear_nonlinear,0.0,1,4000
S_theta,0.7741357332190915,0.7730601251119006,0.006868462334946974,0.15660100539798283,0.15660100539798283,mixed_linear_nonlinear,0.0,1,4000
gamma_R,0.13126446740238862,0.13088427428894284,0.0033449147113037135,0.11366302170903408,0.11366302170903408,mixed_linear_nonlinear,0.0,1,4000
PE,0.9699841746888731,0.9710647999143407,0.0015409778924268473,-0.7012593955944049,0.7012593955944049,mixed_linear_nonlinear,0.0,2,4000
S_theta,0.7742392267572121,0.7815089346507067,0.007061718285174221,-1.0294531160719078,1.0294531160719078,mixed_linear_nonlinear,0.0,2,4000
gamma_R,0.12550141127223025,0.12229286402268719,0.003551129048359434,0.9035287667243063,0.9035287667243063,mixed_linear_nonlinear,0.0,2,4000
PE,0.9707792205403346,0.9691068710894277,0.0019167854676300775,0.8724760695178817,0.8724760695178817,mixed_linear_nonlinear,0.0,3,4000
S_theta,0.7779748623252043,0.7836714223058847,0.006740410166964581,-0.8451355094976003,0.8451355094976003,mixed_linear_nonlinear,0.0,3,4000
gamma_R,0.12157557280714693,0.12612817010835284,0.003439048752415412,-1.323795511188494,1.323795511188494,mixed_linear_nonlinear,0.0,3,4000
PE,0.9678515609812697,0.9670536659283742,0.0018678338608773028,0.4271766721911503,0.4271766721911503,mixed_linear_nonlinear,0.0,4,4000
S_theta,0.7856598330548177,0.7800239271868057,0.00639600703717278,0.8811600480200887,0.8811600480200887,mixed_linear_nonlinear,0.0,4,4000
gamma_R,0.14165682045458783,0.136473764952279,0.003391563696693862,1.5282200087709783,1.5282200087709783,mixed_linear_nonlinear,0.0,4,4000
PE,0.9636995868610407,0.9645021551055365,0.0020089028186924133,-0.39950575858027265,0.39950575858027265,mixed_linear_nonlinear,0.0,5,4000
S_theta,0.7589446400833244,0.7678038676886146,0.007386925152783708,-1.1993119494315843,1.1993119494315843,mixed_linear_nonlinear,0.0,5,4000
gamma_R,0.14592859713407214,0.13704319889338656,0.003035036867691936,2.9276080087431287,2.9276080087431287,mixed_linear_nonlinear,0.0,5,4000
PE,0.9741289495231167,0.9704551240988742,0.001964704007030078,1.8699129289179461,1.8699129289179461,mixed_linear_nonlinear,0.0,6,4000
S_theta,0.7931679023342021,0.7828942726746072,0.00671823642794729,1.529215259060765,1.529215259060765,mixed_linear_nonlinear,0.0,6,4000
gamma_R,0.12606378625283066,0.13108263881161528,0.0037406916621705415,-1.3416910593139943,1.3416910593139943,mixed_linear_nonlinear,0.0,6,4000
PE,0.968354909453076,0.9657203772963916,0.001697492698024303,1.5520138376740704,1.5520138376740704,mixed_linear_nonlinear,0.0,7,4000
S_theta,0.7763451447126454,0.7771933897443752,0.00715100045437398,-0.11861907115542536,0.11861907115542536,mixed_linear_nonlinear,0.0,7,4000
gamma_R,0.13755668626453277,0.1381017177183467,0.003399005107003492,-0.1603502897630016,0.1603502897630016,mixed_linear_nonlinear,0.0,7,4000
PE,0.9642664961049315,0.9651923169156056,0.001873122681524867,-0.4942659761721318,0.4942659761721318,mixed_linear_nonlinear,0.0,8,4000
S_theta,0.7572832117448247,0.7715655930635047,0.007579986434993919,-1.884222543294227,1.884222543294227,mixed_linear_nonlinear,0.0,8,4000
gamma_R,0.13694288029540336,0.1354616737828634,0.0037680339984847654,0.3930979691625933,0.3930979691625933,mixed_linear_nonlinear,0.0,8,4000
PE,0.9702688091499817,0.9682293629491674,0.0017097505461261165,1.1928326067420798,1.1928326067420798,mixed_linear_nonlinear,0.0,9,4000
S_theta,0.7974401345916825,0.778606121287132,0.00654036389986295,2.8796583176274235,2.8796583176274235,mixed_linear_nonlinear,0.0,9,4000
gamma_R,0.13850738640296856,0.13776379321286236,0.0038267791093065683,0.19431306821389496,0.19431306821389496,mixed_linear_nonlinear,0.0,9,4000
PE,0.9683561173542844,0.9665258366177397,0.0016939496081212998,1.0804812184316253,1.0804812184316253,mixed_linear_nonlinear,0.0,10,4000
S_theta,0.7768512854500954,0.7765432815769864,0.007013163460067333,0.04391796581710838,0.04391796581710838,mixed_linear_nonlinear,0.0,10,4000
gamma_R,0.14883868330061933,0.1468434785109123,0.0035596171581157338,0.560511060903857,0.560511060903857,mixed_linear_nonlinear,0.0,10,4000
PE,0.9705442238530614,0.9691103867947432,0.0016140284462374049,0.8883592241888726,0.8883592241888726,mixed_linear_nonlinear,0.0,11,4000
S_theta,0.7760963324075862,0.7835765589655831,0.006425194124561727,-1.1642024214337785,1.1642024214337785,mixed_linear_nonlinear,0.0,11,4000
