measure,obs,mu_null,sigma_null,Z,absZ,experiment,epsilon,rep,N
gamma_R,0.12981153743132856,0.12644777755860004,0.0038829356722315193,0.8662929692047596,0.8662929692047596,mixed_linear_nonlinear,0.0,11,4000
PE,0.9642465138082152,0.9662753679506104,0.0019071539422820525,-1.0638124681049606,1.0638124681049606,mixed_linear_nonlinear,0.0,12,4000
S_theta,0.7656487198631783,0.774822939623657,0.007327173097261307,-1.252081756319881,1.252081756319881,mixed_linear_nonlinear,0.0,12,4000
gamma_R,0.13417374286600348,0.13360178242959062,0.0036953240405016045,0.15477950787103975,0.15477950787103975,mixed_linear_nonlinear,0.0,12,4000
PE,0.974182061537126,0.9700080577118457,0.001673910793641959,2.4935640782857176,2.4935640782857176,mixed_linear_nonlinear,0.0,13,4000
S_theta,0.7856700270780439,0.7812117356677749,0.006403472842629926,0.6962302362850272,0.6962302362850272,mixed_linear_nonlinear,0.0,13,4000
gamma_R,0.1380128761817977,0.13363996148924825,0.003883135520267089,1.1261298169291456,1.1261298169291456,mixed_linear_nonlinear,0.0,13,4000
PE,0.966782782976096,0.9666247574047366,0.002093487449783244,0.07548436527561533,0.07548436527561533,mixed_linear_nonlinear,0.0,14,4000
S_theta,0.7759640008730793,0.7764041190567811,0.00758769911893393,-0.058004169222205186,0.058004169222205186,mixed_linear_nonlinear,0.0,14,4000
gamma_R,0.1392066896172347,0.14114548795285672,0.0036345690275427786,-0.53343280067865,0.53343280067865,mixed_linear_nonlinear,0.0,14,4000
PE,0.966513514425903,0.9663059134579783,0.001902691951473107,0.1091090797771996,0.1091090797771996,mixed_linear_nonlinear,0.0,15,4000
S_theta,0.7766784659719486,0.7768882038518329,0.006084882544690893,-0.03446868174428734,0.03446868174428734,mixed_linear_nonlinear,0.0,15,4000
gamma_R,0.12715201660881803,0.12942696424303834,0.003556432301761051,-0.6396712888626674,0.6396712888626674,mixed_linear_nonlinear,0.0,15,4000
PE,0.9660136995155004,0.9680514701921255,0.0017866517299086019,-1.1405528243208722,1.1405528243208722,mixed_linear_nonlinear,0.0,16,4000
S_theta,0.7699949053530482,0.7757405997187183,0.007131743526312991,-0.8056507282505468,0.8056507282505468,mixed_linear_nonlinear,0.0,16,4000
gamma_R,0.14107608454538179,0.13818218312860864,0.0034363502585989594,0.8421439023951609,0.8421439023951609,mixed_linear_nonlinear,0.0,16,4000
PE,0.9659509338714821,0.9676838951253077,0.0019337543909529107,-0.8961640950543053,0.8961640950543053,mixed_linear_nonlinear,0.0,17,4000
S_theta,0.7682815398065219,0.7732995110980372,0.005898173899924937,-0.8507669283164281,0.8507669283164281,mixed_linear_nonlinear,0.0,17,4000
gamma_R,0.1349258594689483,0.13553897825940284,0.004008057695350499,-0.15297154808070063,0.15297154808070063,mixed_linear_nonlinear,0.0,17,4000
PE,0.9659303274255006,0.9645348480179561,0.0017465385805913835,0.7989971839453793,0.7989971839453793,mixed_linear_nonlinear,0.0,18,4000
S_theta,0.7762009700700846,0.7724736392316939,0.006390257485868019,0.5832833569904918,0.5832833569904918,mixed_linear_nonlinear,0.0,18,4000
gamma_R,0.13546090496565244,0.13838652912688867,0.0032549512076196414,-0.8988227394584372,0.8988227394584372,mixed_linear_nonlinear,0.0,18,4000
PE,0.9704106568718196,0.9687159665331074,0.0016878254878816554,1.0040672752484194,1.0040672752484194,mixed_linear_nonlinear,0.0,19,4000
S_theta,0.7853088997856577,0.7821844584735311,0.00548429924769274,0.5697065697939414,0.5697065697939414,mixed_linear_nonlinear,0.0,19,4000
gamma_R,0.15252177907396802,0.14860694362975746,0.004038077576109463,0.9694799989410704,0.9694799989410704,mixed_linear_nonlinear,0.0,19,4000
PE,0.9597322499159632,0.9615913768788414,0.0018893023844906648,-0.9840282731551552,0.9840282731551552,mixed_linear_nonlinear,0.1,0,4000
S_theta,0.7543786343098045,0.7655695698537813,0.006054965964383137,-1.8482243516817154,1.8482243516817154,mixed_linear_nonlinear,0.1,0,4000
gamma_R,0.17506008399498285,0.16839401695139497,0.0037155366163244903,1.7941061364595394,1.7941061364595394,mixed_linear_nonlinear,0.1,0,4000
PE,0.9623494612124296,0.9615809736157989,0.002196679411306061,0.3498405787733114,0.3498405787733114,mixed_linear_nonlinear,0.1,1,4000
S_theta,0.7539089302781722,0.7633521387955841,0.008157253637756953,-1.1576455675844997,1.1576455675844997,mixed_linear_nonlinear,0.1,1,4000
gamma_R,0.1630925716183711,0.15893011080211727,0.0038097160100306966,1.092590840181886,1.092590840181886,mixed_linear_nonlinear,0.1,1,4000
PE,0.9567552176920258,0.9595526941963459,0.0021991651646047733,-1.2720629397669254,1.2720629397669254,mixed_linear_nonlinear,0.1,2,4000
S_theta,0.7641314162933033,0.759279096092564,0.007056893668988053,0.6876000161463448,0.6876000161463448,mixed_linear_nonlinear,0.1,2,4000
gamma_R,0.17194237294330028,0.16545737043774994,0.0041352299992031775,1.5682326029749118,1.5682326029749118,mixed_linear_nonlinear,0.1,2,4000
PE,0.9607618373580971,0.9572342031338414,0.0021469188853042395,1.6431148136999667,1.6431148136999667,mixed_linear_nonlinear,0.1,3,4000
S_theta,0.7551678845635356,0.7546572512981184,0.0069785320216684725,0.07317201724253602,0.07317201724253602,mixed_linear_nonlinear,0.1,3,4000
gamma_R,0.18606825081519385,0.17384060921137512,0.0038803715639394378,3.151152254967295,3.151152254967295,mixed_linear_nonlinear,0.1,3,4000
PE,0.9599205393342771,0.9609049685779376,0.002235931205189524,-0.4402770717523246,0.4402770717523246,mixed_linear_nonlinear,0.1,4,4000
S_theta,0.7774316976165127,0.7637181161610163,0.006269312234669046,2.1874140164308353,2.1874140164308353,mixed_linear_nonlinear,0.1,4,4000
gamma_R,0.17865352922481115,0.16913304579420438,0.0036033693059523667,2.6421059353755347,2.6421059353755347,mixed_linear_nonlinear,0.1,4,4000
PE,0.9621489938611519,0.9609102829412202,0.0023174912056464114,0.534505122139725,0.534505122139725,mixed_linear_nonlinear,0.1,5,4000
S_theta,0.7479473260005868,0.7624899370607942,0.007009390949297272,-2.074732478956014,2.074732478956014,mixed_linear_nonlinear,0.1,5,4000
gamma_R,0.19701061103702344,0.1844789279997042,0.0038867440645583566,3.224211018057655,3.224211018057655,mixed_linear_nonlinear,0.1,5,4000
PE,0.963069545828618,0.9598326215644302,0.002514733678475632,1.2871837252165843,1.2871837252165843,mixed_linear_nonlinear,0.1,6,4000
S_theta,0.7709928937941138,0.7654632425673941,0.00701884137617019,0.7878296331775795,0.7878296331775795,mixed_linear_nonlinear,0.1,6,4000
gamma_R,0.18322590512811043,0.1728477012343715,0.003570425320750681,2.906713615720418,2.906713615720418,mixed_linear_nonlinear,0.1,6,4000
PE,0.9641951377302277,0.9636326548344363,0.0017924042208545654,0.3138147574341468,0.3138147574341468,mixed_linear_nonlinear,0.1,7,4000
S_theta,0.7555821684085405,0.7687262458226995,0.007347095441200575,-1.7890168324819213,1.7890168324819213,mixed_linear_nonlinear,0.1,7,4000
gamma_R,0.18402314889952143,0.16673330547845985,0.0032714816302471658,5.285019258920705,5.285019258920705,mixed_linear_nonlinear,0.1,7,4000
PE,0.9573894990050997,0.9588506013733908,0.0024110047212130095,-0.6060138976235646,0.6060138976235646,mixed_linear_nonlinear,0.1,8,4000
S_theta,0.75936930081569,0.7615676082058546,0.006297633730918804,-0.34906879061127166,0.34906879061127166,mixed_linear_nonlinear,0.1,8,4000
gamma_R,0.18297645639233806,0.17341200354427602,0.003382339904813255,2.8277621756616766,2.8277621756616766,mixed_linear_nonlinear,0.1,8,4000
PE,0.9612501620914333,0.9598419988235507,0.0021562478274754293,0.6530618836756458,0.6530618836756458,mixed_linear_nonlinear,0.1,9,4000
S_theta,0.7654379505071679,0.7596100456237507,0.006618724150562755,0.8805178688284973,0.8805178688284973,mixed_linear_nonlinear,0.1,9,4000
gamma_R,0.179546666058798,0.16779051420478275,0.0036645830279530152,3.2080462536503265,3.2080462536503265,mixed_linear_nonlinear,0.1,9,4000
PE,0.9609448406646547,0.9596751006578027,0.002190955578186396,0.5795370839526712,0.5795370839526712,mixed_linear_nonlinear,0.1,10,4000
S_theta,0.7575218741937831,0.760135601795538,0.00695548558919542,-0.3757793137857924,0.3757793137857924,mixed_linear_nonlinear,0.1,10,4000
gamma_R,0.181882652694215,0.17415505408512666,0.003943875895492327,1.9593919316580513,1.9593919316580513,mixed_linear_nonlinear,0.1,10,4000
PE,0.9630198150440671,0.9608186451668521,0.0019436487664722616,1.1324936455520775,1.1324936455520775,mixed_linear_nonlinear,0.1,11,4000
S_theta,0.7558324804497993,0.7643190773423185,0.007025810923719301,-1.2079170624800384,1.2079170624800384,mixed_linear_nonlinear,0.1,11,4000
gamma_R,0.17263285774554626,0.1667839803356725,0.004144973897498454,1.4110770187005641,1.4110770187005641,mixed_linear_nonlinear,0.1,11,4000
PE,0.9605645153701604,0.9642637163070256,0.0017661620433515705,-2.0944855829000484,2.0944855829000484,mixed_linear_nonlinear,0.1,12,4000
S_theta,0.7693605576610221,0.7693081973299642,0.00586249927888638,0.008931400852601473,0.008931400852601473,mixed_linear_nonlinear,0.1,12,4000
gamma_R,0.16129605820590454,0.1562095908420155,0.0037549827717612842,1.354591398432228,1.354591398432228,mixed_linear_nonlinear,0.1,12,4000
PE,0.957412858379645,0.9615474062642541,0.002042239933382856,-2.0245162270235553,2.0245162270235553,mixed_linear_nonlinear,0.1,13,4000
S_theta,0.7543309129319704,0.7596241206352454,0.0067401136491646715,-0.7853291470732134,0.7853291470732134,mixed_linear_nonlinear,0.1,13,4000
gamma_R,0.17609233600320773,0.16674792314698178,0.003885357993100874,2.4050326566608717,2.4050326566608717,mixed_linear_nonlinear,0.1,13,4000
PE,0.9594087606183059,0.9595713340682559,0.002068862848644227,-0.07858106691630307,0.07858106691630307,mixed_linear_nonlinear,0.1,14,4000
S_theta,0.7664798196195164,0.7600524907315663,0.006417060286166631,1.0016002034148817,1.0016002034148817,mixed_linear_nonlinear,0.1,14,4000
gamma_R,0.17227024843906136,0.16291237925960497,0.004212532813416721,2.2214353202548374,2.2214353202548374,mixed_linear_nonlinear,0.1,14,4000
PE,0.9619925645136478,0.9644483954008686,0.0020534262838885,-1.1959673967795277,1.1959673967795277,mixed_linear_nonlinear,0.1,15,4000
S_theta,0.7557941499920139,0.7668207330911124,0.006992845635371791,-1.5768377673493843,1.5768377673493843,mixed_linear_nonlinear,0.1,15,4000
gamma_R,0.17849502331320344,0.17224059911344522,0.004154611764953639,1.5054172456058623,1.5054172456058623,mixed_linear_nonlinear,0.1,15,4000
PE,0.9569126516139264,0.9616697789792751,0.0018697265497863251,-2.544290428935918,2.544290428935918,mixed_linear_nonlinear,0.1,16,4000
S_theta,0.7744476513534783,0.7695995068552587,0.006476585168614624,0.7485649261147012,0.7485649261147012,mixed_linear_nonlinear,0.1,16,4000
gamma_R,0.19479153593789378,0.17876878018497952,0.003953448368637647,4.052855699348788,4.052855699348788,mixed_linear_nonlinear,0.1,16,4000
PE,0.9604650760037917,0.9615924978936681,0.0019607339504825764,-0.5749999328562018,0.5749999328562018,mixed_linear_nonlinear,0.1,17,4000
S_theta,0.764079288806352,0.7619075510642753,0.007105222856922178,0.3056537121789073,0.3056537121789073,mixed_linear_nonlinear,0.1,17,4000
gamma_R,0.17413754632294176,0.16839471681495494,0.004006991332600688,1.4332023783688876,1.4332023783688876,mixed_linear_nonlinear,0.1,17,4000
PE,0.959693354003338,0.9619599285811663,0.0018201706658974642,-1.2452538766252095,1.2452538766252095,mixed_linear_nonlinear,0.1,18,4000
S_theta,0.7678149614808277,0.7696047084943086,0.007503889595370126,-0.23850924120540887,0.23850924120540887,mixed_linear_nonlinear,0.1,18,4000
gamma_R,0.17241433753618995,0.16205176433287488,0.003506977975320505,2.954844106874675,2.954844106874675,mixed_linear_nonlinear,0.1,18,4000
PE,0.9603763645184521,0.9624606261822527,0.002004545944969968,-1.0397674690523633,1.0397674690523633,mixed_linear_nonlinear,0.1,19,4000
S_theta,0.7570748358350696,0.7692392980991353,0.006753777108086122,-1.8011346938739583,1.8011346938739583,mixed_linear_nonlinear,0.1,19,4000
gamma_R,0.17847597967090878,0.16952887581833115,0.0037734260705664965,2.3710823228701607,2.3710823228701607,mixed_linear_nonlinear,0.1,19,4000
PE,0.958203434727322,0.9566867552968273,0.002239561268953286,0.6772216735126262,0.6772216735126262,mixed_linear_nonlinear,0.2,0,4000
S_theta,0.7528584088248397,0.7490825811654254,0.007061727028159179,0.534688985337143,0.534688985337143,mixed_linear_nonlinear,0.2,0,4000
gamma_R,0.23221043365872973,0.2110183536842876,0.003830360293356016,5.532659685095693,5.532659685095693,mixed_linear_nonlinear,0.2,0,4000
PE,0.9558968504156586,0.9606936586429465,0.0018840269420887029,-2.546040144187097,2.546040144187097,mixed_linear_nonlinear,0.2,1,4000
S_theta,0.7531791866469237,0.7633958424005219,0.0060240795062664965,-1.6959696071358976,1.6959696071358976,mixed_linear_nonlinear,0.2,1,4000
gamma_R,0.21300168999031377,0.18502281704392576,0.004453302973613633,6.282723882063777,6.282723882063777,mixed_linear_nonlinear,0.2,1,4000
PE,0.9545873700852852,0.9567285738559912,0.002300588938396179,-0.9307198408937596,0.9307198408937596,mixed_linear_nonlinear,0.2,2,4000
S_theta,0.7398365932657331,0.7463088379519565,0.006961513671897333,-0.9297180169811161,0.9297180169811161,mixed_linear_nonlinear,0.2,2,4000
gamma_R,0.23271053652487683,0.20672673134207442,0.003886587160444113,6.685506875351611,6.685506875351611,mixed_linear_nonlinear,0.2,2,4000
PE,0.9549552421703782,0.9581761780143638,0.0024039785102423694,-1.3398355394037629,1.3398355394037629,mixed_linear_nonlinear,0.2,3,4000
S_theta,0.756070239570707,0.751945305620782,0.006732807914310772,0.6126617605051982,0.6126617605051982,mixed_linear_nonlinear,0.2,3,4000
gamma_R,0.2255728463339809,0.19933895077481215,0.0034232722004840376,7.663397481351139,7.663397481351139,mixed_linear_nonlinear,0.2,3,4000
PE,0.9477338762412599,0.9531321035365811,0.0023158426839635675,-2.3309991359525606,2.3309991359525606,mixed_linear_nonlinear,0.2,4,4000
S_theta,0.7515825134635458,0.7474162327383866,0.006845771354001585,0.6085918605393956,0.6085918605393956,mixed_linear_nonlinear,0.2,4,4000
gamma_R,0.22975162898725454,0.20260534176380443,0.003975714882407502,6.828026663474324,6.828026663474324,mixed_linear_nonlinear,0.2,4,4000
PE,0.9591859770748283,0.9595782403012127,0.0021129206306324637,-0.18564976871232416,0.18564976871232416,mixed_linear_nonlinear,0.2,5,4000
S_theta,0.7590910146139926,0.7545088102265431,0.006460242794363991,0.7092929063667819,0.7092929063667819,mixed_linear_nonlinear,0.2,5,4000
gamma_R,0.23032700157349673,0.20544285162323667,0.003781214808056987,6.580993467294448,6.580993467294448,mixed_linear_nonlinear,0.2,5,4000
PE,0.9528294859234636,0.9583199462461396,0.002104614838599359,-2.608772028961805,2.608772028961805,mixed_linear_nonlinear,0.2,6,4000
S_theta,0.7479808643886853,0.7518976823690271,0.006549354180095726,-0.5980464443724093,0.5980464443724093,mixed_linear_nonlinear,0.2,6,4000
gamma_R,0.24414587118086284,0.2106148632367776,0.0033574687819271742,9.986990236388307,9.986990236388307,mixed_linear_nonlinear,0.2,6,4000
PE,0.9524205120890177,0.9548613062501624,0.002152237956932125,-1.1340726304371684,1.1340726304371684,mixed_linear_nonlinear,0.2,7,4000
S_theta,0.7497877410250865,0.7529928324978529,0.006242676283640827,-0.5134162540456311,0.5134162540456311,mixed_linear_nonlinear,0.2,7,4000
gamma_R,0.23005964139068913,0.20312976811582234,0.004242851492041387,6.34711663261866,6.34711663261866,mixed_linear_nonlinear,0.2,7,4000
PE,0.9604255136233385,0.9597054111610918,0.0020577508360127526,0.34994638303345993,0.34994638303345993,mixed_linear_nonlinear,0.2,8,4000
S_theta,0.7479130510580342,0.7592512825454607,0.006664843033685355,-1.7012000777994307,1.7012000777994307,mixed_linear_nonlinear,0.2,8,4000
gamma_R,0.22102270778179978,0.195824453266795,0.0037267223483361768,6.761505730700521,6.761505730700521,mixed_linear_nonlinear,0.2,8,4000
PE,0.9564501506637209,0.9592002424084405,0.0017808372268412072,-1.544269011939769,1.544269011939769,mixed_linear_nonlinear,0.2,9,4000
S_theta,0.7537942261431156,0.7590852117492679,0.006925261800256733,-0.7640123592087332,0.7640123592087332,mixed_linear_nonlinear,0.2,9,4000
gamma_R,0.22589144130794314,0.2052411535587884,0.0038762835686044655,5.327341868486997,5.327341868486997,mixed_linear_nonlinear,0.2,9,4000
PE,0.9492579210310768,0.9537074504241977,0.0021137581965469656,-2.1050323544053815,2.1050323544053815,mixed_linear_nonlinear,0.2,10,4000
S_theta,0.7388192590088856,0.7429946089857208,0.0070034807201019,-0.5961821191069785,0.5961821191069785,mixed_linear_nonlinear,0.2,10,4000
gamma_R,0.22692918707602716,0.20810349271319645,0.0037891034270895584,4.968377011891408,4.968377011891408,mixed_linear_nonlinear,0.2,10,4000
PE,0.9540935078117606,0.9575376035504423,0.0021485398599296003,-1.6029936436899532,1.6029936436899532,mixed_linear_nonlinear,0.2,11,4000
S_theta,0.7431282754488849,0.7475900389239466,0.007171312385829052,-0.6221683333553255,0.6221683333553255,mixed_linear_nonlinear,0.2,11,4000
gamma_R,0.23022323568843406,0.2093169277799862,0.0037825408284734136,5.527054130142829,5.527054130142829,mixed_linear_nonlinear,0.2,11,4000
PE,0.9539353204420197,0.9550291822848321,0.002246721740640371,-0.486870190921232,0.486870190921232,mixed_linear_nonlinear,0.2,12,4000
S_theta,0.7435689030941173,0.7439092348758468,0.0075147078157625944,-0.04528875773661794,0.04528875773661794,mixed_linear_nonlinear,0.2,12,4000
gamma_R,0.23022042091007044,0.20585540104903535,0.0036055196619616137,6.757699900540577,6.757699900540577,mixed_linear_nonlinear,0.2,12,4000
PE,0.9543331596504715,0.9587365709512032,0.002164789329625003,-2.034106155491133,2.034106155491133,mixed_linear_nonlinear,0.2,13,4000
S_theta,0.7406019171911136,0.7517338763016619,0.008073592481086815,-1.3788111223877135,1.3788111223877135,mixed_linear_nonlinear,0.2,13,4000
gamma_R,0.229657452171245,0.2021226535349387,0.0034263007747037063,8.036305171920413,8.036305171920413,mixed_linear_nonlinear,0.2,13,4000
PE,0.9524560530534171,0.9545684554242707,0.0019249344370416129,-1.0973892565921055,1.0973892565921055,mixed_linear_nonlinear,0.2,14,4000
S_theta,0.7365653864309722,0.7474090721192238,0.0076456206908406986,-1.4182871642118053,1.4182871642118053,mixed_linear_nonlinear,0.2,14,4000
gamma_R,0.2233738409428978,0.19808473095935553,0.0037320707195921507,6.776160443794037,6.776160443794037,mixed_linear_nonlinear,0.2,14,4000
PE,0.9549768287675419,0.9561232492540681,0.002038367884739626,-0.5624207951415428,0.5624207951415428,mixed_linear_nonlinear,0.2,15,4000
S_theta,0.7384919007812439,0.7467656385358121,0.00686390993440021,-1.2053971910532033,1.2053971910532033,mixed_linear_nonlinear,0.2,15,4000
gamma_R,0.23128244098917972,0.20155864761308095,0.0036679208529173707,8.103717219649713,8.103717219649713,mixed_linear_nonlinear,0.2,15,4000
PE,0.9591812997955362,0.9629222040481337,0.002143191061632215,-1.7454833213742633,1.7454833213742633,mixed_linear_nonlinear,0.2,16,4000
S_theta,0.7725171030992729,0.7643805889955283,0.007758599321376448,1.0487091505456314,1.0487091505456314,mixed_linear_nonlinear,0.2,16,4000
gamma_R,0.22628362322102147,0.1984363227720616,0.003769176211492083,7.388166242813069,7.388166242813069,mixed_linear_nonlinear,0.2,16,4000
PE,0.9592724265198957,0.9596150654752301,0.0020867229342026853,-0.16419954451945107,0.16419954451945107,mixed_linear_nonlinear,0.2,17,4000
S_theta,0.7591101961665404,0.7533559882011438,0.007345941723606743,0.7833179436892376,0.7833179436892376,mixed_linear_nonlinear,0.2,17,4000
gamma_R,0.22935040208511737,0.20322898793078548,0.004022528623616472,6.493779559695791,6.493779559695791,mixed_linear_nonlinear,0.2,17,4000
PE,0.9561791391423847,0.9594533909568479,0.002372277355853807,-1.380214588477043,1.380214588477043,mixed_linear_nonlinear,0.2,18,4000
S_theta,0.7649497570054713,0.7539128439095256,0.006559327523490951,1.6826287536975593,1.6826287536975593,mixed_linear_nonlinear,0.2,18,4000
gamma_R,0.23132116728208774,0.2029425228546862,0.003427725251195074,8.279147932730998,8.279147932730998,mixed_linear_nonlinear,0.2,18,4000
PE,0.9540776117945187,0.9575351496895521,0.002020446846509647,-1.7112738704343529,1.7112738704343529,mixed_linear_nonlinear,0.2,19,4000
S_theta,0.7410283150452683,0.746990263326919,0.006851232713219993,-0.8702008136647574,0.8702008136647574,mixed_linear_nonlinear,0.2,19,4000
gamma_R,0.22467611154371825,0.20451285401356778,0.0038147805329920787,5.285561608529981,5.285561608529981,mixed_linear_nonlinear,0.2,19,4000
PE,0.9505252051086817,0.9542519607276294,0.0022502306734380442,-1.6561660379705785,1.6561660379705785,mixed_linear_nonlinear,0.30000000000000004,0,4000
S_theta,0.727606433221524,0.7380526223465467,0.006775078943226876,-1.5418549676776658,1.5418549676776658,mixed_linear_nonlinear,0.30000000000000004,0,4000
gamma_R,0.25407096949878405,0.22432162827529517,0.00418603174910226,7.106812132963145,7.106812132963145,mixed_linear_nonlinear,0.30000000000000004,0,4000
PE,0.9448226339649631,0.9506980886819899,0.002320786497350024,-2.5316653314450193,2.5316653314450193,mixed_linear_nonlinear,0.30000000000000004,1,4000
S_theta,0.721671606732324,0.723419192426724,0.0071781831424342895,-0.24345794189466533,0.24345794189466533,mixed_linear_nonlinear,0.30000000000000004,1,4000
gamma_R,0.27185100030896114,0.23757901796834927,0.0038989948341118623,8.789953256867694,8.789953256867694,mixed_linear_nonlinear,0.30000000000000004,1,4000
PE,0.9542138569918416,0.955825916929813,0.0021149784329337635,-0.7622110527790464,0.7622110527790464,mixed_linear_nonlinear,0.30000000000000004,2,4000
S_theta,0.735590722860174,0.7356557315123524,0.0071112288266515465,-0.009141690383349742,0.009141690383349742,mixed_linear_nonlinear,0.30000000000000004,2,4000
gamma_R,0.2676739080226127,0.23355280227428912,0.003320950786750479,10.274499063477776,10.274499063477776,mixed_linear_nonlinear,0.30000000000000004,2,4000
PE,0.953809515251866,0.956432409386131,0.0021212363109638275,-1.2364931340786447,1.2364931340786447,mixed_linear_nonlinear,0.30000000000000004,3,4000
S_theta,0.7388366518147702,0.7408841515843747,0.007256642196042103,-0.28215526055855983,0.28215526055855983,mixed_linear_nonlinear,0.30000000000000004,3,4000
gamma_R,0.26386485648800184,0.2261640602058995,0.003507331480390931,10.749139764200496,10.749139764200496,mixed_linear_nonlinear,0.30000000000000004,3,4000
