measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
S_theta,0.7709515242615033,0.7782736487180193,0.006254932710847047,-1.1706160233855603,1.1706160233855603,nonlinear_ar1_sweep,0.0,16,4000
gamma_R,0.1369189610642284,0.14035946354442352,0.003925771757412143,-0.8763888205418968,0.8763888205418968,nonlinear_ar1_sweep,0.0,16,4000
PE,0.9687636910437656,0.9691670074643873,0.0017499147085172956,-0.23047775909231424,0.23047775909231424,nonlinear_ar1_sweep,0.0,17,4000
S_theta,0.7876193577173589,0.7851587493774015,0.006604900887831709,0.3725428105197817,0.3725428105197817,nonlinear_ar1_sweep,0.0,17,4000
gamma_R,0.13528513988862745,0.1377473919047219,0.003952771395330876,-0.6229178897122505,0.6229178897122505,nonlinear_ar1_sweep,0.0,17,4000
PE,0.9707971669555622,0.9723590279646388,0.0019075136387055362,-0.8187941503456434,0.8187941503456434,nonlinear_ar1_sweep,0.0,18,4000
S_theta,0.7937126656762405,0.7894585311399692,0.007236047241280511,0.5879086183962644,0.5879086183962644,nonlinear_ar1_sweep,0.0,18,4000
gamma_R,0.1304208772379405,0.12962236160648336,0.003999869514084513,0.19963542026692832,0.19963542026692832,nonlinear_ar1_sweep,0.0,18,4000
PE,0.9701445957903914,0.9690790824747516,0.0019374098970885902,0.5499679325685992,0.5499679325685992,nonlinear_ar1_sweep,0.0,19,4000
S_theta,0.7836238773296498,0.7768481367686044,0.006839910366246649,0.990618326591243,0.990618326591243,nonlinear_ar1_sweep,0.0,19,4000
gamma_R,0.1420443468763919,0.13865672882278152,0.0038191492616764383,0.8870085512508511,0.8870085512508511,nonlinear_ar1_sweep,0.0,19,4000
PE,0.9598423973242789,0.9618709565075381,0.0018444748233275169,-1.0998031296515924,1.0998031296515924,nonlinear_ar1_sweep,0.15,0,4000
S_theta,0.7664550583434941,0.7684629408486526,0.0061405961823213714,-0.3269849450350004,0.3269849450350004,nonlinear_ar1_sweep,0.15,0,4000
gamma_R,0.18879721661396398,0.1717619452260033,0.003730731851951697,4.566200966453497,4.566200966453497,nonlinear_ar1_sweep,0.15,0,4000
PE,0.961825712766639,0.961043047561151,0.0018278483405415142,0.4281893569223063,0.4281893569223063,nonlinear_ar1_sweep,0.15,1,4000
S_theta,0.7530022195523942,0.7688793580290888,0.006092895550330763,-2.6058445193324657,2.6058445193324657,nonlinear_ar1_sweep,0.15,1,4000
gamma_R,0.177573559119382,0.16985177731384626,0.004232258501228296,1.8245061834702911,1.8245061834702911,nonlinear_ar1_sweep,0.15,1,4000
PE,0.9631155637658186,0.9625969410874944,0.002115190061989126,0.245189634560093,0.245189634560093,nonlinear_ar1_sweep,0.15,2,4000
S_theta,0.7663060357402683,0.7652322790516927,0.0069404041850204354,0.15471097359044028,0.15471097359044028,nonlinear_ar1_sweep,0.15,2,4000
gamma_R,0.18496416982106256,0.1698897002139586,0.003747490928952125,4.022549992220818,4.022549992220818,nonlinear_ar1_sweep,0.15,2,4000
PE,0.9624671945678559,0.9614782935650298,0.0019642927677707396,0.5034387027491888,0.5034387027491888,nonlinear_ar1_sweep,0.15,3,4000
S_theta,0.7664107043240411,0.7663062031821808,0.0074464003873557045,0.014033779601454568,0.014033779601454568,nonlinear_ar1_sweep,0.15,3,4000
gamma_R,0.18696561046837146,0.17176645267712284,0.0034813386319803626,4.36589467385497,4.36589467385497,nonlinear_ar1_sweep,0.15,3,4000
PE,0.9601916936449028,0.9603449804923353,0.002019155319089,-0.0759163230205109,0.0759163230205109,nonlinear_ar1_sweep,0.15,4,4000
S_theta,0.765037942024392,0.7656897574507968,0.007017143509293985,-0.09288899757308533,0.09288899757308533,nonlinear_ar1_sweep,0.15,4,4000
gamma_R,0.17734521275509585,0.1629798564534354,0.0033636314134895345,4.2707878883665735,4.2707878883665735,nonlinear_ar1_sweep,0.15,4,4000
PE,0.9564583006585421,0.9593566735144147,0.002062787606081478,-1.405075756383081,1.405075756383081,nonlinear_ar1_sweep,0.15,5,4000
S_theta,0.7547965557425201,0.7570621997780747,0.006416630596900105,-0.3530893669722946,0.3530893669722946,nonlinear_ar1_sweep,0.15,5,4000
gamma_R,0.1817746158160527,0.16833974179275135,0.0036698289011856794,3.6608992912341756,3.6608992912341756,nonlinear_ar1_sweep,0.15,5,4000
PE,0.9617377898845275,0.9642332443902923,0.0021036217879469707,-1.186265763200839,1.186265763200839,nonlinear_ar1_sweep,0.15,6,4000
S_theta,0.7591242513070107,0.7697032489490327,0.00635384933232611,-1.664974582919354,1.664974582919354,nonlinear_ar1_sweep,0.15,6,4000
gamma_R,0.18166916069821148,0.17068656007635302,0.003636605590931081,3.020014226796199,3.020014226796199,nonlinear_ar1_sweep,0.15,6,4000
PE,0.9559727926083371,0.9592367677457235,0.0022870270245463242,-1.427169466016206,1.427169466016206,nonlinear_ar1_sweep,0.15,7,4000
S_theta,0.7550248902394298,0.7631554738661096,0.006363266277135989,-1.277737450009604,1.277737450009604,nonlinear_ar1_sweep,0.15,7,4000
gamma_R,0.18889563892422878,0.18155556767718903,0.0035361517797586747,2.0757229056329356,2.0757229056329356,nonlinear_ar1_sweep,0.15,7,4000
PE,0.9615437512516519,0.9625334110440491,0.0018787692844576534,-0.5267596189613382,0.5267596189613382,nonlinear_ar1_sweep,0.15,8,4000
S_theta,0.7758820601981506,0.7714181501473577,0.00690065823889592,0.646881775079351,0.646881775079351,nonlinear_ar1_sweep,0.15,8,4000
gamma_R,0.16401524012420998,0.15654944692769565,0.003913003912454254,1.9079442197214038,1.9079442197214038,nonlinear_ar1_sweep,0.15,8,4000
PE,0.9632291846753606,0.9618898587586723,0.0020150088441905317,0.6646749569113264,0.6646749569113264,nonlinear_ar1_sweep,0.15,9,4000
S_theta,0.770757157375968,0.7629109379065895,0.007643054405801373,1.0265816586916985,1.0265816586916985,nonlinear_ar1_sweep,0.15,9,4000
gamma_R,0.18245474472758338,0.1726850311862139,0.0038306287408066938,2.5504203624055934,2.5504203624055934,nonlinear_ar1_sweep,0.15,9,4000
PE,0.9596942341033761,0.9612142593914822,0.0023036250793997365,-0.6598405711498022,0.6598405711498022,nonlinear_ar1_sweep,0.15,10,4000
S_theta,0.7563623794994924,0.763257873778135,0.007300632216881303,-0.9445064583171532,0.9445064583171532,nonlinear_ar1_sweep,0.15,10,4000
