representacion,d,C_observado,C_null_media,C_null_std,C_null_q025,C_null_mediana,C_null_q975
alturas_MIDI,0,1.0,1.0,0.0,1.0,1.0,1.0
alturas_MIDI,1,0.5605774728416237,0.5687825328759291,0.003534011607945037,0.5625786163522013,0.5684962835906232,0.5765894797026873
alturas_MIDI,2,0.44259576901086334,0.3233253573470554,0.005100648983688607,0.31409233847913093,0.3232132647226987,0.33479774156660946
alturas_MIDI,3,0.35020011435105775,0.1836835620354486,0.005453060188071913,0.173642081189251,0.1834190966266438,0.1960270154373928
alturas_MIDI,4,0.2787307032590051,0.10427192681532288,0.004934479101421245,0.09499571183533448,0.1039451114922813,0.11526586620926244
alturas_MIDI,5,0.22467124070897657,0.05920060034305314,0.00405619276194244,0.05202901658090337,0.05877644368210406,0.06798170383076044
alturas_MIDI,6,0.18299028016009147,0.03360088622069754,0.003157748751116718,0.02830188679245283,0.033233276157804456,0.040738993710691826
alturas_MIDI,7,0.14959977129788452,0.019078759291023453,0.0023768357885277872,0.01509433962264151,0.018810748999428244,0.024471841052029732
alturas_MIDI,8,0.12155517438536306,0.010829759862778706,0.0017572531107095458,0.008032447112635791,0.010606060606060607,0.014695540308747854
alturas_MIDI,9,0.09905660377358491,0.006156489422527159,0.001282231324545842,0.004201686678101772,0.005989136649514008,0.009035162950257287
alturas_MIDI,10,0.08138936535162951,0.0034995425957690097,0.0009160750243736533,0.002144082332761578,0.0033447684391080617,0.005603916523727844
intervalos,0,1.0,1.0,0.0,1.0,1.0,1.0
intervalos,1,0.8281195990321466,0.5926852171909197,0.022351598136850465,0.5481334255098513,0.5930406728885816,0.6369620636017974
intervalos,2,0.685159580596843,0.38082915658485983,0.026585717241508336,0.3300344221684526,0.38133713561470217,0.43372652379306376
intervalos,3,0.567548104620348,0.24874193455467217,0.025307943288895244,0.20203868533241157,0.2491502477243922,0.30105714944117984
intervalos,4,0.476437377578062,0.16313356953566077,0.021837778523051462,0.12351293351768637,0.163166839497638,0.21037633944002762
intervalos,5,0.3979145062795253,0.10708402465721865,0.017844293788672298,0.07684785113492337,0.10669431962207628,0.14625028805161885
intervalos,6,0.3326132042862081,0.07036605599723465,0.014101892918038317,0.04717709413526904,0.06979490724737873,0.10263207166724274
intervalos,7,0.2791220186657449,0.0463017916810692,0.010871346468673866,0.028341398778661136,0.04552655835925798,0.07187824058071206
intervalos,8,0.23698006682797557,0.030500633713561456,0.008277997686682553,0.017335666551446017,0.02994296577946768,0.05090232169604793
intervalos,9,0.20042631639589814,0.0200972462265238,0.00623578465138384,0.010311527825786381,0.01964512040557668,0.0355520509275262
intervalos,10,0.17075699965433805,0.01325063371356146,0.004654511562725038,0.006135499481507086,0.012789491876944347,0.0245780043783846
