representacion,m,tau,mPE_observada,mPE_null_media,mPE_null_std,mPE_null_q025,mPE_null_mediana,mPE_null_q975,mPE_zscore,mPE_null_menos_observada
alturas_MIDI,2,1,0.9136221837222911,0.8293501616051528,0.029614816915966027,0.771608307956746,0.833085524115279,0.8831275033264778,2.8456033463338843,-0.08427202211713825
alturas_MIDI,3,1,2.224380709907365,2.1355088050614346,0.05196670375352176,2.02897630897137,2.1371028072584592,2.229057686369097,1.7101701363906021,-0.08887190484593033
alturas_MIDI,4,1,3.3530186428070037,3.6936459288832406,0.07020755888153506,3.5475600572081154,3.697523822128213,3.819664674251159,-4.851718126975408,0.34062728607623693
alturas_MIDI,5,1,4.247011960411377,5.019325806987265,0.0584806675087305,4.901466572976806,5.020971432362276,5.132693634804966,-13.206310383864725,0.7723138465758881
alturas_MIDI,6,1,4.798569153532421,5.51016957763409,0.02467405820507955,5.458061392408907,5.512255209423692,5.553483294512759,-28.840023728045466,0.7116004241016691
alturas_MIDI,7,1,5.133697984277663,5.582430482654848,0.007711688173612641,5.565123279743694,5.585814240357424,5.5909869805108565,-58.18862073710779,0.44873249837718543
intervalos,2,1,0.8967587435331255,0.7745963097303886,0.02720012369696206,0.7297548733969983,0.771908303937084,0.8251860750877542,4.491245523871679,-0.12216243380273684
intervalos,3,1,2.3357175980518354,2.000983042278784,0.052396864046541355,1.9040288789268887,2.0006451866916577,2.105685942358608,6.388446367242976,-0.3347345557730512
intervalos,4,1,3.9282039157397177,3.4493105863883,0.07682205038447182,3.298501120174506,3.448876069752612,3.60031737962717,6.233800412182405,-0.47889332935141793
intervalos,5,1,4.975473191970825,4.755312570192016,0.07823431173325758,4.600038323691134,4.754762081892155,4.908996394282453,2.8141184718215912,-0.2201606217788088
intervalos,6,1,5.282798961645891,5.408755689598352,0.04129513052723259,5.324523186172021,5.4112089784003885,5.485579758995324,-3.0501593370530125,0.12595672795246138
intervalos,7,1,5.407382903485687,5.561150502655211,0.014320471477962346,5.530135407567599,5.561288089839957,5.582056544688196,-10.737607306166955,0.15376759916952398
