representacion,m,tau,mPE_observada,mPE_null_media,mPE_null_std,mPE_null_q025,mPE_null_mediana,mPE_null_q975,mPE_zscore,mPE_null_menos_observada
alturas_MIDI,2,1,1.0900842752864128,0.9046256618502968,0.02521012270856939,0.85688472278793,0.9055359412036676,0.9527743726525202,7.356513713956466,-0.18545861343611603
alturas_MIDI,3,1,2.4054646800966517,2.3069196584386,0.03974774748882861,2.2230300166988526,2.3082868775623813,2.381625677459057,2.479260533839023,-0.0985450216580519
alturas_MIDI,4,1,3.638791280911683,3.967377781546986,0.051054864579897455,3.863637074198168,3.9682813048665833,4.0609815720097755,-6.43594892159761,0.32858650063530304
alturas_MIDI,5,1,4.521180083703315,5.3248428799174645,0.044290340391323346,5.2356862430797575,5.325414975860641,5.405858167569567,-18.145328961427232,0.8036627962141498
alturas_MIDI,6,1,4.960366362566682,5.749011834389777,0.01814033553213018,5.70996041569934,5.748882264183902,5.782086919540068,-43.47469044474097,0.7886454718230951
alturas_MIDI,7,1,5.2353001272146855,5.802324592320675,0.0054476228547712035,5.787327259332999,5.803979443850954,5.808142489980443,-104.08658606191341,0.5670244651059893
intervalos,2,1,1.0449046397901194,0.8052119073689025,0.02645367178468787,0.7489842599841701,0.8059623723673444,0.8514000985296802,9.060849260251192,-0.23969273242121691
intervalos,3,1,2.462732002723119,2.0842293043993942,0.04893390611960129,1.987157410861274,2.0858559017102483,2.1746775664959217,7.734978225498928,-0.37850269832372474
intervalos,4,1,3.9323170929286473,3.5999827764377246,0.07140868980201434,3.4573481495323266,3.600076047986403,3.738083080738769,4.653975831405718,-0.3323343164909227
intervalos,5,1,4.819257889529084,4.961594396501225,0.07196244526476361,4.81405249705989,4.963040518032697,5.0915630286921045,-1.977927604439478,0.14233650697214095
intervalos,6,1,5.278224823101305,5.632323759861276,0.03728767094342443,5.549912959470583,5.635335381812715,5.69837125776036,-9.496408002989385,0.3540989367599705
intervalos,7,1,5.481404649377575,5.782173386926803,0.012141466918139039,5.755027943815805,5.784257041791227,5.800959383491468,-24.772026277968674,0.3007687375492276
