representacion,d,C_observado,C_null_media,C_null_std,C_null_q025,C_null_mediana,C_null_q975
alturas_MIDI,0,1.0,1.0,0.0,1.0,1.0,1.0
alturas_MIDI,1,0.5605774728416237,0.5688766723842196,0.006779570355843988,0.5605774728416237,0.5671240708976558,0.5866266437964551
alturas_MIDI,2,0.44259576901086334,0.4285501715265865,0.006645734398797275,0.41789594053745,0.42778730703259005,0.44311034877072614
alturas_MIDI,3,0.35020011435105775,0.32489791309319566,0.00689204039912404,0.31222984562607203,0.32484276729559747,0.338489136649514
alturas_MIDI,4,0.2787307032590051,0.2470922527158379,0.007134985523505996,0.2331267867352773,0.24698399085191539,0.26095197255574615
alturas_MIDI,5,0.22467124070897657,0.18869036592338484,0.007187778466501916,0.17463693539165237,0.1885934819897084,0.20263507718696397
alturas_MIDI,6,0.18299028016009147,0.1444002858776442,0.007047657251316311,0.1313857918810749,0.14398227558604917,0.15840623213264723
alturas_MIDI,7,0.14959977129788452,0.11084382504288161,0.006717642379110244,0.09868496283590623,0.11036306460834763,0.12418667810177245
alturas_MIDI,8,0.12155517438536306,0.08529259576901095,0.006242522678577699,0.073812893081761,0.08494854202401372,0.09743353344768439
alturas_MIDI,9,0.09905660377358491,0.06580751858204693,0.005712653823989228,0.05551600914808462,0.06532304173813608,0.07710191538021727
alturas_MIDI,10,0.08138936535162951,0.05096260720411662,0.00516478423016168,0.04196612349914237,0.05055746140651801,0.06123785020011435
intervalos,0,1.0,1.0,0.0,1.0,1.0,1.0
intervalos,1,0.8281195990321466,0.6658000057610325,0.029418197191677268,0.6405540672888582,0.657232976149326,0.7384491300841111
intervalos,2,0.685159580596843,0.44462455351999053,0.04050118479268748,0.40876901140684413,0.4328839728079272,0.5473312017513537
intervalos,3,0.567548104620348,0.2987763567231251,0.042058877028890315,0.26101293351768634,0.2858048162230672,0.4082274743634059
intervalos,4,0.476437377578062,0.20243651342320543,0.038950555409420475,0.1668301359603641,0.1902868994123747,0.3060044359949303
intervalos,5,0.3979145062795253,0.1374460191266275,0.03399030368932049,0.1066921592349349,0.12658428390367554,0.22940863002650075
intervalos,6,0.3326132042862081,0.09367646042170749,0.02845775596942722,0.06725933287245074,0.08445673464684872,0.17321047931789377
intervalos,7,0.2791220186657449,0.06390920612973842,0.023235173673618183,0.04286136075584745,0.05624207858048162,0.12936902292890884
intervalos,8,0.23698006682797557,0.04366102085493725,0.01865485128935581,0.02693210623343703,0.0373602949648577,0.0963287821177555
intervalos,9,0.20042631639589814,0.02998559741905749,0.014840026306413182,0.016733638668049316,0.02491646503053347,0.07181558935361217
intervalos,10,0.17075699965433805,0.020645898144947546,0.011709797489081823,0.010077485885470677,0.01667818873142067,0.05404136421246687
