representacion,longitud_serie,fit_d_min,fit_d_max,pendiente_observada,constante_decaimiento_lambda,intercepto_observado,R2_observado,error_estandar_pendiente_observada,pendiente_null_media,pendiente_null_std,pendiente_null_q025,pendiente_null_mediana,pendiente_null_q975,zscore_pendiente,p_empirico_bilateral,p_decaimiento_mas_rapido,p_decaimiento_mas_lento,n_shuffles
alturas_MIDI,274,1,10,-0.2133878709582806,0.2133878709582806,-0.4003505639047289,0.9990028840403681,0.0023834947497020373,-0.26833823102120113,0.011495609956027185,-0.29003233452967175,-0.26885248693327535,-0.24647589700233488,4.780116955352151,0.000999000999000999,1.0,0.000999000999000999,1000
intervalos,273,1,10,-0.1755439189894638,0.1755439189894638,-0.03326354066058046,0.9994005909310983,0.0015199617182647064,-0.39796657561950005,0.046263879203277895,-0.4601487541411517,-0.4076140318359701,-0.2893473940478453,4.807695776066204,0.000999000999000999,1.0,0.000999000999000999,1000
