representacion,m,tau,mPE_observada,mPE_null_media,mPE_null_std,mPE_null_q025,mPE_null_mediana,mPE_null_q975,mPE_zscore,mPE_null_menos_observada
alturas_MIDI,2,1,0.7346581754654258,0.7754229051765498,0.02313547088182974,0.7340861007668733,0.775570644374078,0.8221625464903318,-1.7620012974596517,0.04076472971112399
alturas_MIDI,3,1,1.6597331724926716,2.004524502700833,0.04494022717167377,1.9156682484583372,2.0058465780836174,2.088882423210265,-7.672220456096991,0.34479133020816133
alturas_MIDI,4,1,2.270529785623911,3.500320069028033,0.06430223212868075,3.374144181734274,3.499795317049762,3.622626844143397,-19.125156976558486,1.2297902834041219
alturas_MIDI,5,1,2.8329107755502947,4.945050470453629,0.05982110578129396,4.827869481523348,4.943848810301518,5.058097946744364,-35.307600341346415,2.1121396949033344
alturas_MIDI,6,1,3.4321705891872343,5.696420435942915,0.030758565904515034,5.631352235200011,5.69830469059314,5.753516144333121,-73.61363510199652,2.264249846755681
alturas_MIDI,7,1,4.0282191609555955,5.848441071072252,0.010268403062276865,5.826219969709121,5.8497164843043725,5.865380827367875,-177.26436127187336,1.8202219101166568
intervalos,2,1,0.6997623249912988,0.7388915054819012,0.020429920754503714,0.6931315754726863,0.7357199159028953,0.7833997891921018,-1.9152879230809803,0.03912918049060243
intervalos,3,1,1.66719289396437,1.9096165403885978,0.041611435391602836,1.8273237129548083,1.9091809877485644,1.993069899813331,-5.825890026210168,0.24242364642422776
intervalos,4,1,3.0349077352645373,3.311747203138627,0.06263129012310711,3.191596241653133,3.3120478631761046,3.4355348553274756,-4.420146341069105,0.27683946787408953
intervalos,5,1,4.050524531628573,4.694078782841885,0.07067090124741846,4.555351635851075,4.6961274322509095,4.830078400957203,-9.106354098417839,0.6435542512133114
intervalos,6,1,4.803005700210407,5.554883797945025,0.04656949509430829,5.4616704450666695,5.5559334923531125,5.642087379202368,-16.145292024574957,0.7518780977346182
intervalos,7,1,5.447835405105545,5.811951906387996,0.018542334003499816,5.77073345973605,5.813932434161881,5.846832159467052,-19.63703712886011,0.3641165012824512
