label,SBP
1.0000000000,0.7730740734
3.0000000000,0.8048297532
4.0000000000,0.7697114467
5.0000000000,0.8421725158
6.0000000000,0.7961867772
7.0000000000,0.8031453929
9.0000000000,0.8130494965
10.0000000000,0.8039753087
11.0000000000,0.7673746444
13.0000000000,0.7858960812
14.0000000000,0.8021592358
15.0000000000,0.7889127246
17.0000000000,0.8182602293
18.0000000000,0.8162944718
19.0000000000,0.7952223022
20.0000000000,0.8406681448
22.0000000000,0.8264733993
23.0000000000,0.8234353322
24.0000000000,0.8133141461
25.0000000000,0.8122830583
27.0000000000,0.8118020357
28.0000000000,0.8182542657
29.0000000000,0.8254637195
32.0000000000,0.8124735319
35.0000000000,0.8177180383
36.0000000000,0.8083237403
37.0000000000,0.8076298019
38.0000000000,0.8139122714
39.0000000000,0.8061457857
40.0000000000,0.8293163688
42.0000000000,0.8064608932
43.0000000000,0.7886896935
45.0000000000,0.8231577135
46.0000000000,0.8269141042
47.0000000000,0.8106077116
48.0000000000,0.8096766729
49.0000000000,0.8174625848
50.0000000000,0.8068573923
51.0000000000,0.8024292939
52.0000000000,0.8226080474
54.0000000000,0.8203884160
55.0000000000,0.8270833951
56.0000000000,0.8620796966
58.0000000000,0.7445540992
59.0000000000,0.8094344762
60.0000000000,0.7851375841
61.0000000000,0.8212687768
62.0000000000,0.7976221515
63.0000000000,0.8227232867
64.0000000000,0.8166813486
66.0000000000,0.8090358991
67.0000000000,0.8561007182
68.0000000000,0.7986962915
69.0000000000,0.8254150840
70.0000000000,0.8326141983
71.0000000000,0.8133069178
72.0000000000,0.8234668145
73.0000000000,0.8284067516
75.0000000000,0.8346689737
76.0000000000,0.7958741528
77.0000000000,0.8305914430
78.0000000000,0.8333000428
79.0000000000,0.8281489117
80.0000000000,0.8272280873
82.0000000000,0.8193024208
83.0000000000,0.7878166533
84.0000000000,0.8162733186
86.0000000000,0.8227275329
87.0000000000,0.7656383341
88.0000000000,0.8127071596
90.0000000000,0.8248993939
93.0000000000,0.8248268619
94.0000000000,0.8064414866
95.0000000000,0.8303674024
96.0000000000,0.8084367985
99.0000000000,0.8181944215
100.0000000000,0.8222742349
101.0000000000,0.8134933895
102.0000000000,0.7968110548
103.0000000000,0.8165225354
104.0000000000,0.7946370305
105.0000000000,0.8186111001
107.0000000000,0.8169596962
108.0000000000,0.8137261067
109.0000000000,0.7961829466
110.0000000000,0.8201120243
111.0000000000,0.8002346387
112.0000000000,0.7635641435
113.0000000000,0.8247769076
115.0000000000,0.8188571096
116.0000000000,0.8153947022
117.0000000000,0.8048368167
119.0000000000,0.7672678274
120.0000000000,0.8098736738
121.0000000000,0.8287182278
122.0000000000,0.8441604233
123.0000000000,0.7967849004
124.0000000000,0.8272196045
125.0000000000,0.8027121749
126.0000000000,0.8180884930
127.0000000000,0.7876425559
128.0000000000,0.7869079449
129.0000000000,0.8242020322
131.0000000000,0.8157950641
133.0000000000,0.8024798876
134.0000000000,0.8180415839
135.0000000000,0.8303716366
137.0000000000,0.8139339756
138.0000000000,0.8096159887
139.0000000000,0.8130810290
141.0000000000,0.8252096031
142.0000000000,0.7694387447
143.0000000000,0.8229632690
144.0000000000,0.8244286435
145.0000000000,0.8075463606
146.0000000000,0.8076524580
147.0000000000,0.8231619294
148.0000000000,0.8112090406
149.0000000000,0.8012368101
150.0000000000,0.8170610406
152.0000000000,0.8069176595
153.0000000000,0.8226075435
156.0000000000,0.8021403021
157.0000000000,0.8227733883
158.0000000000,0.8131493072
160.0000000000,0.8136814750
161.0000000000,0.8268809559
