piece,measure,obs,iaaft_mu,iaaft_sigma,iaaft_z,shuffle_mu,shuffle_sigma,shuffle_z
1,mPE_m5_tau1,0.9154357954913058,0.9664954261547962,0.004097631585012331,12.460766568241088,0.919483686514532,0.005902711922753892,0.6857680124321048
1,gamma_rank_max5_mu2,0.1621743211955442,0.12564425727744008,0.0029049578465229547,-12.575075387695636,0.0001335114623241381,0.0035766409676576236,-45.305304949113236
1,H_orbit_m3,0.8219303564438456,0.9366938295902258,0.004399559440259183,26.08521937360605,0.9333564279297328,0.0044608757959102565,24.97851914820022
1,S_eff_tau1,0.7811521354865907,0.8115257289409846,0.010241874306878439,2.9656284137362485,0.8274674254294923,0.010022789389923068,4.620998021715097
2,mPE_m5_tau1,0.9064264972504511,0.9578705990577926,0.004057927120524411,12.677433645159528,0.889898162402727,0.006277842905152111,-2.6328047862044444
2,gamma_rank_max5_mu2,0.23585023684077855,0.1997890848352015,0.002850137180856166,-12.652426784153763,-6.665079090595253e-05,0.002595517074947166,-90.89398405768021
2,H_orbit_m3,0.8405141951888045,0.9200292799608252,0.004155508065224328,19.134864744325345,0.9146282485206594,0.004349828703772821,17.03838435466943
2,S_eff_tau1,0.7144460047872913,0.7537354982586503,0.010120930656405427,3.8820040177326107,0.8309855263273644,0.009107939256381536,12.795377555731832
3,mPE_m5_tau1,0.8388188002990329,0.9446557635490918,0.004919689519928511,21.51293548532648,0.9152333897040656,0.0059217227112923565,12.904114753518414
3,gamma_rank_max5_mu2,0.06085886361105752,0.0464236190757527,0.0022870009195473935,-6.311866520001931,-4.5609729273992835e-05,0.0029061272124198665,-20.957263357242276
3,H_orbit_m3,0.8592937417266693,0.9329400934391856,0.00418864088683899,17.582398133943265,0.9300927162057746,0.004320396449833656,16.387147638229177
3,S_eff_tau1,0.8167484965931484,0.8288825084760622,0.008382248309510244,1.4475843991816446,0.8327366185471932,0.009732568043329164,1.6427444311579442
4,mPE_m5_tau1,0.8772511259051423,0.9677857730373001,0.0025770907152212414,35.130562768872274,0.9031935029637841,0.004195692953549164,6.183097129807115
4,gamma_rank_max5_mu2,0.13604111677519437,0.11977072514631185,0.0014282642973391206,-11.39172326802156,-2.5776199201549278e-06,0.0020249527399017124,-67.18363925951074
4,H_orbit_m3,0.855203309820966,0.9386794715531614,0.0027573638018001455,30.27390207911556,0.9335550621279327,0.0031446450981111027,24.91592846328837
4,S_eff_tau1,0.7449480064269557,0.8300677060281201,0.007386017985043302,11.524437088229668,0.830257430166403,0.006984145639989896,12.2147257713215
5,mPE_m5_tau1,0.9198257442500662,0.9903842638362615,0.0021521757892940347,32.78473809490264,0.9364253578620128,0.006754277077378818,2.4576447518774933
5,gamma_rank_max5_mu2,0.18617007614737535,0.1694103091981343,0.0026648198848942136,-6.2892681956650796,-2.1335510280559762e-05,0.004720505746444392,-39.44310666243763
5,H_orbit_m3,0.8004617306814574,0.8951674038475509,0.006208650840115713,15.253824962127908,0.8984881700818507,0.006001260698202139,16.33430779465389
5,S_eff_tau1,0.74467116986645,0.7801886631547688,0.012929096392915467,2.7470978797699024,0.8269070779013858,0.012533864577132259,6.561097539299518
6,mPE_m5_tau1,0.8414837811539002,0.9029535055828154,0.009194879132730361,6.685212882255923,0.8392410866093495,0.010416130907857276,-0.2153097502700335
6,gamma_rank_max5_mu2,0.1367643722954066,0.12301059859092653,0.0028281131647848196,-4.863233153375797,-0.00018753295740682482,0.004204124883377319,-32.575603497010114
6,H_orbit_m3,0.8201075926544703,0.952901343411365,0.0054733775365316565,24.2617560858122,0.9514387002395001,0.005917148744506452,22.19499851291706
6,S_eff_tau1,0.8445057903689168,0.8914844825317417,0.013582318080486317,3.458812544695083,0.8237304133843095,0.013419591781374234,-1.5481377766976898
7,mPE_m5_tau1,0.9064264972504511,0.9577070848161449,0.003832503725171446,13.380440370843928,0.8899309363881684,0.006605104140854179,-2.4973960304809717
7,gamma_rank_max5_mu2,0.23585023684077855,0.19984303172960735,0.0027062425136845985,-13.305239618805164,-8.933739393561494e-05,0.0026972393457456475,-87.474467034919
7,H_orbit_m3,0.8405141951888045,0.9198796976771721,0.0041902880919518,18.940345090067503,0.9142009845408904,0.004728769655634196,15.582655683871193
7,S_eff_tau1,0.7144460047872913,0.753176261887836,0.01014591316701935,3.817325898908999,0.8308946802009965,0.008957962356945372,12.99946023142408
